OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,62683, 158415, 0.5,0.5,0.5,0.5,21503.5303424,17345.3429932,31745.837493,25506.8695538,19764.353869,16441.0172488,11962.2930614,7768.36042286,6376.98389837,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79899.8499599,78514.738923,0.5,0.5,0.5,
29UL,50224, 113814, 0.5,0.5,0.5,0.5,12451.1476863,11543.8031784,12219.297486,11669.5259036,15060.8768935,15760.0196073,16253.9031931,10820.8969073,8034.25803057,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,56477.4555864,57336.2732997,0.5,0.5,0.5,
00MA,51937, 119644, 0.5,0.5,0.5,0.5,16014.6709491,13943.0404895,15248.7117876,17649.1031755,18257.904361,16421.6326724,10997.8732759,6424.96840229,4686.32830912,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59360.3252266,60283.9081957,0.5,0.5,0.5,
00MG,109954, 268582, 0.5,0.5,0.5,0.5,42379.9084385,29899.4420277,32335.4793632,44339.4306413,38449.8673001,32698.4084352,26444.5601226,13377.3540877,8657.08362798,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,132550.749785,136030.784259,0.5,0.5,0.5,
00MF,73326, 166576, 0.5,0.5,0.5,0.5,22809.4812606,19881.6861162,14806.1287643,22428.2907048,25268.4750677,23036.476838,17551.0108953,12123.1310167,8670.94316077,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,82399.3765391,84176.2472852,0.5,0.5,0.5,
00ME,65814, 153924, 0.5,0.5,0.5,0.5,20089.4977344,17744.0270214,14730.6712275,21754.772878,22729.2504687,19963.4029555,16025.1102183,11451.1871541,9436.47428441,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,75908.7538181,78015.6401242,0.5,0.5,0.5,
00MD,51821, 147405, 0.5,0.5,0.5,0.5,24914.1137008,17154.6011401,23305.6384063,28269.0587274,19238.9279465,15160.2115713,9818.30143521,5409.32648634,4134.39875754,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,74563.4221118,72841.1560597,0.5,0.5,0.5,
29UD,43020, 104736, 0.5,0.5,0.5,0.5,14057.5351858,11641.6550479,15070.0018105,15769.1293363,14856.3739482,12779.1366366,9544.75569179,6397.64565512,4619.3335444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,52077.3862784,52658.1805783,0.5,0.5,0.5,
29UE,50837, 114444, 0.5,0.5,0.5,0.5,12784.1473473,12211.2609684,11159.1344267,11239.306442,15195.6866567,17006.3198303,17000.4492387,10906.5028466,6941.62183841,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,56388.5017896,58055.9278055,0.5,0.5,0.5,
29UG,44702, 107294, 0.5,0.5,0.5,0.5,14000.9610912,12444.8065302,13785.1952731,13708.0477537,15100.9385374,13525.0928053,11132.7587146,7610.15164615,5986.01398591,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,52669.0488969,54624.9174407,0.5,0.5,0.5,
