Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,261.124119724,260.518786603,258.238556194,255.023521435,253.491756425,254.174778336,253.984117153,254.002599153,253.565578435,253.071675224,252.881444071,251.513145066,251.284337806,250.979370031,250.04765954,249.685814428,248.982195637,248.772918595,248.84825582,248.505709303,249.475009423,250.273225978,251.12872246,252.459487781,253.199597231,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,253.929725914,260.924304219,264.461731714,268.931399635,268.884669497,269.70789211,268.570951043,266.690257567,263.342731121,261.279411951,261.962363482,262.303502736,262.321756074,261.618224974,261.123895996,260.268419438,259.431783587,258.537755289,257.966531519,257.433377841,256.938287844,256.899644637,256.823304632,256.499685775,256.368671896,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,232.37707049,232.30818875,236.760096146,244.935931668,255.240080275,260.638119554,267.234026872,271.569826171,275.773904641,275.993616371,276.152599516,275.814330229,273.269099596,270.188019303,268.923183721,269.206982009,269.282019725,268.901290312,268.729507948,268.101921051,267.113373877,265.877589695,265.116414254,264.944057869,265.857241715,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,269.954934509,267.535376068,263.511984587,257.353757066,253.983242146,250.589501642,249.588521709,255.104045822,263.6795389,273.852214371,280.714666164,286.913169631,291.782108376,295.987161861,296.739882621,296.368008683,295.365869569,294.151936,290.672548622,289.40854188,289.692415709,289.900370605,289.785660175,289.880038787,291.158200705,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,307.311093903,306.332798462,304.418080832,303.161505972,301.231996271,298.945954167,296.784905874,292.754645702,286.590251782,284.012818982,282.081525433,282.410751958,287.927970698,297.170165426,307.744846963,313.812785783,320.812950674,325.286657812,330.957361986,331.4455836,331.209597513,330.609169152,328.733141121,325.655109344,324.117710362,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,269.558038285,271.946653504,276.461637672,279.513164009,278.708601239,282.11778812,281.00088841,279.479568087,277.419837447,276.549529223,274.52405503,273.421638343,269.651807197,264.545619536,262.096059707,259.898282911,259.829728048,264.951107577,272.601233818,281.584619508,287.657784017,293.865167616,297.279448122,302.289130177,301.891063056,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,266.973070666,267.576386659,268.571705466,270.092384189,274.001817905,276.266546355,277.465857907,281.989132107,284.651108698,284.255004128,287.664466373,286.679442869,284.091043199,283.089314927,281.015721821,280.180831975,278.672625882,275.162297729,270.048853046,269.054675044,266.192414645,266.392512511,270.188931709,278.244474797,281.709972266,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,249.4323668,253.410265739,259.109464171,266.664042383,272.883997525,275.498009302,275.977221193,276.981792778,277.981198372,281.637192781,284.053429069,286.069345084,289.944804235,292.622263529,291.974400848,295.784221907,294.798457043,291.808170895,290.665580075,290.443435126,287.73850877,285.954946651,282.966797691,278.242027218,282.536186862,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.408208516,285.177952454,273.263967231,260.923198014,255.473304584,254.68066964,258.673271762,264.791823316,271.706776947,278.88598694,280.592645491,280.826425895,281.848222957,283.659831895,287.59738453,289.638586303,292.078675862,296.246184006,299.610496581,298.447451666,301.327584729,299.274726659,298.13913194,296.586710798,297.593803763,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,320.430132582,316.201609856,315.661571853,311.500733464,305.316625239,295.546789099,287.739609279,275.250439618,263.270569999,258.322045963,257.138298253,261.411518725,267.549138948,274.616871578,282.349092018,284.869535184,285.118122856,286.421091856,287.580484569,292.194234722,293.595819724,295.662062587,300.120322471,303.508193016,299.748928297,
50-54,289.1,289.1,289.1,289.1,289.1,297.7,306.640448548,315.936041071,320.801374867,322.837163557,322.049295147,321.683959798,317.953085986,316.845402739,313.315217071,306.828824668,296.870643265,290.064312073,278.305532698,266.521625633,260.979965959,260.184337249,264.861820665,271.816889738,278.110212345,285.732302759,287.476345682,288.273436141,290.257649325,292.496584456,293.763434474,
55-59,254.2,254.2,254.2,254.2,254.2,257.9,262.875877982,269.679574337,279.105706401,288.766176323,297.601694654,307.776715856,316.048218242,321.353695854,323.433344188,322.157960482,323.246001419,318.694294116,318.074964,314.481717841,308.453289989,299.723775377,292.413086616,280.417485755,269.461101325,263.558143406,263.147202077,267.834497392,274.954501694,282.221838323,281.99982034,
60-64,258.0,258.0,258.0,258.0,258.0,252.2,249.815016298,246.94024275,247.174350162,251.068541614,257.572340681,261.846883965,270.221232263,280.175198662,289.853921206,298.991850681,308.358582494,318.071227239,322.537819242,325.072838551,324.237717351,324.758971151,321.617884665,320.934744659,317.653375231,311.241755534,301.836796432,294.234791934,283.146925215,273.239968748,280.713687287,
65-69,239.9,239.9,239.9,239.9,239.9,251.6,257.800054573,264.869717788,268.845458337,255.527839089,249.10972193,246.398597228,244.160788749,244.945616203,249.845283953,255.542097077,260.820597056,269.153226218,278.679676145,288.590578219,298.096672917,308.292616944,317.362134108,322.763601932,324.599173994,324.212876961,325.508576883,322.178103834,321.675972602,318.143669604,312.044773454,
70-74,172.2,172.2,172.2,172.2,172.2,177.6,187.256792586,195.583337174,206.153601233,229.502919604,241.613966557,247.898739546,255.835723133,259.887915349,247.185539099,241.654583985,239.469302533,237.786742993,239.69197907,244.020896306,250.133753686,255.817434106,263.539828017,273.548258468,283.412441101,292.724026376,302.409134918,311.470286993,316.971582855,320.314542,318.660702341,
75-79,140.0,140.0,140.0,140.0,140.0,143.4,149.329511451,153.07415553,153.876304626,157.107984658,165.77582983,174.399966427,183.11843865,192.986110456,215.853956986,228.482676371,234.842138234,241.572330203,245.910604836,234.717659685,229.453200932,229.034398781,228.129784402,229.969911337,234.036626317,241.397982938,246.030382909,254.879323142,264.634353126,274.542219937,281.756688111,
80-84,105.4,105.4,105.4,105.4,105.4,105.9,109.414050673,113.245326006,116.553099818,119.968353498,125.574618117,131.873603752,135.636675251,137.296933224,141.154608795,149.981603914,157.773142424,166.975594165,176.340936957,197.501351906,208.562150854,216.949741338,222.42250325,226.699858703,218.234677226,214.647660261,214.70124463,214.076211915,216.189190807,220.92857835,231.684438122,
85-89,64.5,64.5,64.5,64.5,64.5,64.9,68.4345108947,71.9941920855,77.4974338621,81.3411104679,84.2086556769,88.3002895751,91.2694150211,95.1544975799,99.1144002536,104.914600471,110.818733172,114.343462398,116.654814756,120.83619217,129.235781816,137.834262783,146.325677871,154.947704713,173.379205621,184.146375646,191.273464136,196.972670955,201.594507603,196.135610448,200.179847144,
