Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,261.124119724,260.518786603,258.238556194,255.023521435,253.491756425,254.174778336,253.984117153,254.002599153,253.565578435,253.071675224,252.881444071,251.513145066,251.284337806,250.979370031,250.04765954,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,253.929725914,260.924304219,264.461731714,268.931399635,268.884669497,269.70789211,268.570951043,266.690257567,263.342731121,261.279411951,261.962363482,262.303502736,262.321756074,261.618224974,261.123895996,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,232.37707049,232.30818875,236.760096146,244.935931668,255.240080275,260.638119554,267.234026872,271.569826171,275.773904641,275.993616371,276.152599516,275.814330229,273.269099596,270.188019303,268.923183721,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,269.954934509,267.535376068,263.511984587,257.353757066,253.983242146,250.589501642,249.588521709,255.104045822,263.6795389,273.852214371,280.714666164,286.913169631,291.782108376,295.987161861,296.739882621,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,307.311093903,306.332798462,304.418080832,303.161505972,301.231996271,298.945954167,296.784905874,292.754645702,286.590251782,284.012818982,282.081525433,282.410751958,287.927970698,297.170165426,307.744846963,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,269.558038285,271.946653504,276.461637672,279.513164009,278.708601239,282.11778812,281.00088841,279.479568087,277.419837447,276.549529223,274.52405503,273.421638343,269.651807197,264.545619536,262.096059707,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,266.973070666,267.576386659,268.571705466,270.092384189,274.001817905,276.266546355,277.465857907,281.989132107,284.651108698,284.255004128,287.664466373,286.679442869,284.091043199,283.089314927,281.015721821,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,249.4323668,253.410265739,259.109464171,266.664042383,272.883997525,275.498009302,275.977221193,276.981792778,277.981198372,281.637192781,284.053429069,286.069345084,289.944804235,292.622263529,291.974400848,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.408208516,285.177952454,273.263967231,260.923198014,255.473304584,254.68066964,258.673271762,264.791823316,271.706776947,278.88598694,280.592645491,280.826425895,281.848222957,283.659831895,287.59738453,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,320.430132582,316.201609856,315.661571853,311.500733464,305.316625239,295.546789099,287.739609279,275.250439618,263.270569999,258.322045963,257.138298253,261.411518725,267.549138948,274.616871578,282.349092018,
50-54,289.1,289.1,289.1,289.1,289.1,297.7,306.640448548,315.936041071,320.801374867,322.837163557,322.049295147,321.683959798,317.953085986,316.845402739,313.315217071,306.828824668,296.870643265,290.064312073,278.305532698,266.521625633,260.979965959,
55-59,254.2,254.2,254.2,254.2,254.2,257.9,262.875877982,269.679574337,279.105706401,288.766176323,297.601694654,307.776715856,316.048218242,321.353695854,323.433344188,322.157960482,323.246001419,318.694294116,318.074964,314.481717841,308.453289989,
60-64,258.0,258.0,258.0,258.0,258.0,252.2,249.815016298,246.94024275,247.174350162,251.068541614,257.572340681,261.846883965,270.221232263,280.175198662,289.853921206,298.991850681,308.358582494,318.071227239,322.537819242,325.072838551,324.237717351,
65-69,239.9,239.9,239.9,239.9,239.9,251.6,257.800054573,264.869717788,268.845458337,255.527839089,249.10972193,246.398597228,244.160788749,244.945616203,249.845283953,255.542097077,260.820597056,269.153226218,278.679676145,288.590578219,298.096672917,
70-74,172.2,172.2,172.2,172.2,172.2,177.6,187.256792586,195.583337174,206.153601233,229.502919604,241.613966557,247.898739546,255.835723133,259.887915349,247.185539099,241.654583985,239.469302533,237.786742993,239.69197907,244.020896306,250.133753686,
75-79,140.0,140.0,140.0,140.0,140.0,143.4,149.329511451,153.07415553,153.876304626,157.107984658,165.77582983,174.399966427,183.11843865,192.986110456,215.853956986,228.482676371,234.842138234,241.572330203,245.910604836,234.717659685,229.453200932,
80-84,105.4,105.4,105.4,105.4,105.4,105.9,109.414050673,113.245326006,116.553099818,119.968353498,125.574618117,131.873603752,135.636675251,137.296933224,141.154608795,149.981603914,157.773142424,166.975594165,176.340936957,197.501351906,208.562150854,
85-89,64.5,64.5,64.5,64.5,64.5,64.9,68.4345108947,71.9941920855,77.4974338621,81.3411104679,84.2086556769,88.3002895751,91.2694150211,95.1544975799,99.1144002536,104.914600471,110.818733172,114.343462398,116.654814756,120.83619217,129.235781816,
90+,34.6,34.6,34.6,34.6,34.6,35.7,39.6325845156,44.6332951609,49.5961522492,54.3866154308,59.5935582741,64.2408997972,68.5476310579,75.307878163,82.3388503956,88.3910392539,93.9685228529,101.044617633,108.838475623,117.706546747,127.169135554,
Total,4287.7,4287.7,4287.7,4287.7,4287.7,4313.1,4354.69760891,4397.88820422,4440.06227742,4478.60634208,4522.31577197,4562.58570427,4599.81057956,4642.56737855,4680.07661829,4724.80473284,4763.93315633,4805.06907757,4844.70509241,4883.92625012,4925.93379682,
Births,na,na,na,na,na,na,49.78,49.685,49.875,49.875,49.97,50.065,50.16,50.16,49.97,49.875,49.875,49.59,49.4,49.4,49.21,
Deaths,na,na,na,na,na,na,38.9416821612,40.1816457186,40.8757490848,41.4738795637,41.8533674263,42.0825292841,42.3928898285,42.2777854768,42.7586066448,43.5543877038,43.9094113605,43.9333357629,43.8545830721,43.652053819,44.233361161,
Migration,na,na,na,na,na,na,30.7592910715,33.687241025,33.1748222888,30.1429442198,35.5927973205,32.2874615833,29.4577651148,34.8745844712,30.2978463847,38.4075022491,33.1628348555,35.4792570037,34.0905979134,33.4732115257,37.030907864,
West Midlands,
0-4,361.2,361.2,361.2,361.2,361.2,361.8,359.671466838,358.736337838,356.049145545,351.894197743,349.780285529,350.12062388,350.670636601,351.144580461,350.193983253,349.984351276,349.717528079,349.184949482,348.082330366,347.245508974,346.522995023,
5-9,337.0,337.0,337.0,337.0,337.0,345.7,352.23422434,357.30653092,361.714889268,367.056066885,366.153962657,365.090787902,363.491269238,361.204005262,356.118643597,353.872174094,354.611373419,355.293903223,355.501422607,354.816077762,354.473043166,
10-14,331.3,331.3,331.3,331.3,331.3,326.1,322.963629462,323.28259709,329.18587579,337.749218628,348.44089625,355.640171593,360.579757427,364.589466223,370.196899041,369.694047874,368.232764474,366.900047319,364.081439378,360.060773675,357.815135406,
15-19,363.3,363.3,363.3,363.3,363.3,360.3,354.631628858,351.212921617,344.459047588,335.834733319,331.060466077,328.320370194,328.904009062,335.205957809,343.903007532,353.931195555,361.530624817,367.003596468,371.679513819,377.155019407,376.387354946,
20-24,388.7,388.7,388.7,388.7,388.7,390.6,394.147993912,391.839279114,386.331385907,383.342182503,381.53944135,376.791237718,373.097282507,368.064072437,358.900111661,355.715617252,352.176827682,353.824301365,359.330525036,368.42864182,380.18954391,
25-29,367.1,367.1,367.1,367.1,367.1,370.3,377.173659933,382.445791676,392.102557751,399.097799053,400.904904754,404.445826923,402.263038966,396.748164426,394.283775046,391.94231168,387.852543256,384.950060257,378.979756934,371.405332679,367.949418353,
30-34,351.7,351.7,351.7,351.7,351.7,360.0,363.05366485,363.704406857,365.676237194,368.838178776,372.791075687,378.339766166,384.018508127,392.220929379,398.959153498,400.242805937,403.784897991,401.73410664,396.349513594,394.277624536,392.195337876,
35-39,342.0,342.0,342.0,342.0,342.0,332.6,330.193716087,336.155438378,343.570783886,352.576276435,361.30990476,364.242928453,365.439987413,366.76206992,369.274897187,373.112734684,378.815215749,383.716759685,392.471515557,397.898221618,399.996641267,
40-44,402.1,402.1,402.1,402.1,402.1,393.5,381.628292294,369.05245592,353.911735684,339.270854123,331.380637335,328.853374225,334.970251924,342.415563472,351.056890594,360.493549139,362.92752997,363.489105498,365.636880266,368.30728907,372.304622382,
45-49,406.9,406.9,406.9,406.9,406.9,407.6,408.62827468,405.620970979,405.229870726,400.68322526,390.24875391,379.649564821,366.752202495,351.42540107,338.065358336,329.602674377,327.485713043,333.88934601,340.965309056,350.436289222,359.509797866,
50-54,365.2,365.2,365.2,365.2,365.2,375.0,386.35288604,397.78143987,403.304508135,404.398714855,404.787063397,405.509331558,402.997917478,402.171837648,397.319115486,388.566225444,377.098080789,365.184301183,350.04115464,335.932303244,328.729333156,
55-59,322.9,322.9,322.9,322.9,322.9,325.8,329.318862589,335.3134873,346.573310525,359.528987022,369.388541988,381.307565457,393.184515147,398.498730069,400.44367345,399.41886525,400.796460211,398.260458752,397.792090902,393.407603282,384.448235538,
60-64,320.6,320.6,320.6,320.6,320.6,313.7,309.87357987,306.993748189,308.39812305,313.195463399,317.659868345,321.269110691,327.64979868,338.526534219,351.516829972,361.961569169,373.75530794,385.098406682,391.326366228,392.955235099,392.935038454,
65-69,303.2,303.2,303.2,303.2,303.2,311.9,317.297279799,322.303985014,325.09074336,310.165154613,304.098656758,300.580553487,298.075146852,300.446928345,304.398952998,308.586749366,313.74321699,320.49686406,331.108826047,343.70877512,354.183882043,
70-74,227.3,227.3,227.3,227.3,227.3,234.3,246.179658515,255.984364255,266.223023018,288.26292095,298.45882223,303.416434814,308.81709481,312.297571859,298.609099959,293.257497513,290.263291548,287.652427989,289.830545854,294.688096404,300.269154837,
75-79,185.2,185.2,185.2,185.2,185.2,190.2,197.423883085,202.634590794,203.499913734,207.832926302,217.151640263,228.680795403,238.820633519,248.450986074,270.475077318,280.170354527,286.168548027,291.480500842,295.333377196,283.386626252,279.112682336,
80-84,138.9,138.9,138.9,138.9,138.9,140.7,144.254464527,148.095173898,153.158199968,158.982479737,166.434131319,173.496986225,178.831704121,180.457110489,185.048522276,195.217002896,206.685653035,216.368274281,225.337453357,246.936694603,256.934632986,
85-89,83.1,83.1,83.1,83.1,83.1,84.3,88.5367466538,94.3105410893,100.665646182,106.17305343,110.827878074,114.546859644,118.713222224,124.208998748,130.193888794,138.146113945,144.59438687,149.880416784,151.859736522,157.660880334,167.310664724,
90+,44.9,44.9,44.9,44.9,44.9,47.2,52.1806501838,57.6830973455,64.8860139522,71.2623457645,78.2040435456,84.6410732246,90.6789702164,99.0175506613,107.579647532,116.265522831,123.484854892,132.088125043,142.83843992,154.294116555,166.082519021,
Total,5642.6,5642.6,5642.6,5642.6,5642.6,5671.6,5715.74456252,5760.45715814,5810.03101126,5856.1447788,5900.62097423,5944.94336238,5987.95594681,6033.85645857,6076.53752753,6120.18136281,6163.72481878,6206.49595156,6248.54619728,6293.00110966,6337.35003329,
Births,na,na,na,na,na,na,69.16,69.16,69.54,69.54,69.73,69.635,69.445,69.35,69.255,69.255,68.97,68.78,68.78,68.685,68.4,
Deaths,na,na,na,na,na,na,51.3617311277,52.5601990987,52.9933141331,54.1678390286,54.6079660678,54.5106113445,55.1370807609,55.0568010912,55.3950304195,55.6353609069,55.986415224,56.3241909075,56.2386127557,55.8699307477,56.6087184709,
Migration,na,na,na,na,na,na,26.3462936444,28.1127947253,33.027167253,30.7416065624,29.3541614989,29.1979994966,28.7046651896,31.6073128542,28.8210993778,30.0241961856,30.5598711954,30.315323691,29.5088584714,31.6398431239,32.5576421071,
South West,
0-4,303.4,303.4,303.4,303.4,303.4,304.8,305.763380961,305.81063435,303.973218142,300.895776241,299.974115292,300.199884861,300.369224544,300.139649665,300.081936406,299.891412337,299.605626019,299.566814012,298.692409575,298.083355161,297.341693488,
5-9,282.4,282.4,282.4,282.4,282.4,290.9,298.13669335,307.203163167,314.674661932,320.950694003,321.514863647,323.010721148,322.526162941,320.689166113,317.213195959,316.158837159,316.251400342,316.55337034,316.988458961,316.930027428,316.606025269,
10-14,288.2,288.2,288.2,288.2,288.2,283.2,279.252144459,278.659237529,283.883623517,294.69376747,305.238218938,314.569753624,322.439422576,329.64525878,336.985746135,337.284351001,338.381978791,337.898112395,335.396774109,332.054336517,331.532570598,
15-19,323.3,323.3,323.3,323.3,323.3,322.8,320.951912823,318.559568034,313.097787896,305.365913438,302.016220892,297.805411739,297.449848908,302.81271009,313.629742326,325.378781529,333.907142624,342.702854528,350.16993659,356.840166323,357.931590887,
20-24,338.7,338.7,338.7,338.7,338.7,339.7,342.892879849,342.356753021,341.415219635,342.32754752,341.102639181,339.508138897,337.770084335,332.963711235,324.691563449,322.398290879,318.983648811,320.09001882,326.385593089,337.336960875,349.754419905,
25-29,310.2,310.2,310.2,310.2,310.2,313.3,318.035788603,321.701843301,327.093503764,330.621199606,329.493996162,331.482043614,330.27385967,328.927231541,328.238841324,327.806921138,326.072211733,324.459825973,320.311764003,314.292602475,311.327833838,
30-34,306.3,306.3,306.3,306.3,306.3,312.6,314.418207803,314.761782683,315.228785503,317.149481722,322.121999665,326.594435388,329.733956574,334.600524909,338.137292517,337.417229729,339.539297959,338.064870034,334.855918027,334.960510394,333.858932467,
35-39,307.2,307.2,307.2,307.2,307.2,298.2,296.520719746,302.407133692,310.14461757,318.537317344,326.523994718,328.746011533,328.830523914,329.173054339,331.37138394,335.558556806,339.651208308,343.873711936,349.159775508,351.648903075,350.944589631,
40-44,369.3,369.3,369.3,369.3,369.3,361.0,351.548271508,341.219086776,327.658522483,314.858275351,308.542313673,307.265149001,313.297998801,321.190221898,330.011167567,337.629564715,340.143492689,340.649593453,341.813431522,343.231084348,348.368777931,
45-49,394.6,394.6,394.6,394.6,394.6,393.0,391.775397586,386.502681341,383.970802466,377.402828541,370.394497983,360.313199388,350.316538801,335.631039612,324.50798056,317.748748138,316.345810407,322.394079154,330.97741102,340.088911424,348.134536979,
50-54,362.9,362.9,362.9,362.9,362.9,371.4,383.802943663,394.793937321,401.333394466,405.288515083,403.346377996,402.047020289,396.97097669,394.105832518,387.475584943,380.399036324,370.769756956,360.819291105,346.317660239,334.841043909,328.274133572,
55-59,326.9,326.9,326.9,326.9,326.9,332.0,338.007991746,347.388408214,359.363698414,370.746809735,380.884587523,393.820800735,404.964973683,412.597895625,416.591736543,414.813338949,413.339025399,409.263003763,406.327903452,399.997691073,392.550108706,
60-64,342.1,342.1,342.1,342.1,342.1,332.3,328.44983177,324.814721532,326.898095574,333.926959404,343.00013322,348.934521088,359.209126256,371.57900471,383.524777881,393.840462903,408.629544964,419.619696131,427.495772194,431.683569012,429.953741215,
65-69,331.9,331.9,331.9,331.9,331.9,346.1,358.18622323,366.029379841,369.054487498,348.417274012,338.566552397,334.91103196,331.430580164,333.884593031,341.107498335,350.025759289,357.38586346,367.769959841,380.960300237,393.049334376,404.9896315,
70-74,239.6,239.6,239.6,239.6,239.6,248.9,262.279143206,276.603934897,293.668194327,326.266298823,342.695126396,353.281378284,361.654605109,364.835665281,346.113228465,336.450906701,332.961409966,330.219247278,333.645868676,341.356102137,351.003377577,
75-79,199.1,199.1,199.1,199.1,199.1,203.4,211.906133519,217.047610931,219.244586681,226.428258052,239.951842105,252.682697976,266.313005672,283.653130518,315.485241153,331.872761057,343.356393319,350.898514355,354.103068993,336.163867598,329.244698538,
80-84,156.0,156.0,156.0,156.0,156.0,157.7,163.487802053,168.413478793,173.198456714,179.474469773,186.908157666,194.305101545,200.052411339,203.328041593,210.576070779,224.050517756,237.469165545,250.884757005,267.101871113,297.37398271,313.699683498,
85-89,99.8,99.8,99.8,99.8,99.8,100.2,105.926667397,113.141471383,119.541667636,126.70344285,132.658168951,136.033298597,141.409917669,147.026848243,154.030808396,161.43458031,168.95451835,176.121848561,179.104212613,186.531054862,199.842630019,
90+,58.4,58.4,58.4,58.4,58.4,60.4,68.1758230525,76.0230282097,83.2871657942,91.1959790952,99.9116523802,106.451743385,114.794994903,124.818543174,133.581665322,143.72416044,152.746240574,164.030934758,175.059426444,188.29313283,202.047549068,
Total,5340.3,5340.3,5340.3,5340.3,5340.3,5371.9,5439.51795632,5503.43785502,5566.73049001,5631.25080806,5694.84545878,5751.96234305,5809.80821255,5871.60212288,5933.355462,5993.88421716,6054.49373621,6115.88050344,6174.86755637,6234.75663653,6297.40652469,
Births,na,na,na,na,na,na,57.0,57.285,57.665,57.76,57.665,57.76,57.855,57.57,57.57,57.475,57.475,57.285,57.095,57.095,57.0,
Deaths,na,na,na,na,na,na,63.5584339664,66.3037007873,68.5780549145,69.5127935887,70.936723841,71.8143596591,71.6118653453,72.0680101878,72.8263678231,73.3956796831,73.6082557699,73.1253368506,73.941001345,73.323148313,74.3169994418,
