OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,82404, 186203, 0.5,0.5,0.5,0.5,26635.7584121,26934.6492234,18442.8688129,22572.6759227,28990.7248556,23460.6139951,18436.6151018,11826.4154857,8902.75238544,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,93878.1659729,92324.9082219,0.5,0.5,0.5,
29UL,51182, 113714, 0.5,0.5,0.5,0.5,13791.0696,13146.9005697,11624.9413349,12377.0118976,11636.9892489,12397.9712721,14591.1883107,12281.4516424,11866.601487,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,56392.9378679,57321.1874955,0.5,0.5,0.5,
00MA,56257, 132573, 0.5,0.5,0.5,0.5,17925.2843945,17498.6200404,14343.9604805,13720.5534194,15948.1631869,17208.7331544,17090.0577473,11249.2735964,7588.3048199,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,66162.5925756,66410.3582639,0.5,0.5,0.5,
00MG,121384, 301086, 0.5,0.5,0.5,0.5,42548.9618573,42989.3076405,34903.0921091,28579.5487639,38135.6691976,38709.9996628,33802.4736517,24646.6699738,16770.1534257,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,149808.567921,151277.308361,0.5,0.5,0.5,
00MF,74637, 172013, 0.5,0.5,0.5,0.5,21511.6592447,21355.5044636,20020.3158413,17373.3620993,17220.195602,22597.123323,23070.1043227,16157.1654251,12708.052126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85639.9900206,86373.4924271,0.5,0.5,0.5,
00ME,67996, 160274, 0.5,0.5,0.5,0.5,20695.4319504,20019.7535695,18036.6192221,15484.1528292,17801.7052501,20952.9434861,20553.24663,14372.2044877,12358.2402311,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79523.8555136,80750.4421426,0.5,0.5,0.5,
00MD,63199, 179089, 0.5,0.5,0.5,0.5,28951.6927148,28776.5268754,21175.7501208,17474.5066943,25567.1409767,22901.6529083,16822.2528622,10858.9745949,6560.77382614,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,90213.880707,88875.3908665,0.5,0.5,0.5,
29UD,49105, 118373, 0.5,0.5,0.5,0.5,18382.2534014,16430.3944328,12458.8408879,11696.7949372,14770.1916268,14181.418763,13783.1504978,9169.03646421,7501.32144916,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58527.7691443,59845.633316,0.5,0.5,0.5,
29UE,53793, 116036, 0.5,0.5,0.5,0.5,13217.5013396,13229.1153971,12174.4723618,12764.8976085,11669.7777473,12420.9524492,15349.0981247,12980.3031081,12230.2426168,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,57463.906001,58572.4547521,0.5,0.5,0.5,
29UG,47813, 115862, 0.5,0.5,0.5,0.5,16090.5765236,15245.4427797,12924.3993419,12926.1053926,13387.1074813,13286.6708252,13853.4481064,9809.85901827,8338.54098713,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,57292.420243,58569.730213,0.5,0.5,0.5,
29UN,66452, 146974, 0.5,0.5,0.5,0.5,19541.2016634,18445.5088518,15856.4697381,16340.4598925,14758.5871688,14811.8276102,17338.0509204,14852.828376,15029.5393912,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,72565.3662862,74409.1073261,0.5,0.5,0.5,
29UB,54397, 134079, 0.5,0.5,0.5,0.5,18396.6219637,17007.8456834,15479.0577359,14359.0956793,13605.3182881,15284.1707247,17033.3646155,12158.4073587,10754.7427362,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,65566.9898358,68511.6349498,0.5,0.5,0.5,
00ML,142594, 307569, 0.5,0.5,0.5,0.5,37890.0018495,34965.5336884,27642.4232877,43463.6525442,46555.7927705,41094.0048437,36782.9304393,22303.0621045,16871.9158762,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,155430.442317,152138.875087,0.5,0.5,0.5,
00MS,138689, 277728, 0.5,0.5,0.5,0.5,38116.2718998,36897.7824954,25405.188722,44655.1659659,41876.5094204,30168.9214434,26486.1147476,19154.3765544,14967.926795,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,141724.414706,136003.843338,0.5,0.5,0.5,
42UH,63135, 116604, 0.5,0.5,0.5,0.5,13449.2077149,13306.8200819,12115.6402271,12528.0902592,11628.0741055,12295.7067149,14645.1726813,12729.0880655,13906.2868089,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,57152.1197376,59451.9669216,0.5,0.5,0.5,
47UF,54054, 117296, 0.5,0.5,0.5,0.5,12080.558678,12226.009517,12346.265074,12090.6223434,10787.5761973,13466.1778596,17151.0361665,14315.2268423,12832.6758002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58247.9026174,59048.245861,0.5,0.5,0.5,
00MW,72874, 136319, 0.5,0.5,0.5,0.5,13804.0491297,13910.2927575,13828.7642606,14811.0320438,13379.8252514,14439.9415749,18665.0421323,16530.9369776,16948.6788618,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,67391.403052,68927.1599374,0.5,0.5,0.5,
11UB,77646, 200026, 0.5,0.5,0.5,0.5,26449.9476296,25071.9172316,22568.3748979,20315.5403478,20845.1502536,24329.6378202,26769.7394713,19022.9917879,14652.9150402,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,99976.4641458,100049.750334,0.5,0.5,0.5,
SCOT,-1000, 5750026, 0.5,0.5,0.5,0.5,690940.499583,642959.359317,560756.142263,663639.630565,691619.984528,665150.059752,752413.853094,590287.3948,492259.426167,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2823507.85466,2926518.49541,0.5,0.5,0.5,
29UH,69099, 174934, 0.5,0.5,0.5,0.5,22996.2310831,21589.7059072,18716.776205,18113.7674274,19625.4296111,20523.0170099,22183.147829,16404.7681935,14781.1792908,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,86503.0609307,88430.9616263,0.5,0.5,0.5,
42UC,31844, 72455, 0.5,0.5,0.5,0.5,11487.3816783,10641.3173192,7036.83081619,7558.63250102,10312.9824436,7450.84560498,7095.23760989,5742.70749643,5129.24584488,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36287.3799994,36167.8013151,0.5,0.5,0.5,
42UB,42892, 87047, 0.5,0.5,0.5,0.5,8057.58741478,8965.67357783,10061.4771824,9120.71328249,7766.76320845,10223.3115451,12256.1887756,10408.0964447,10187.6456506,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,42997.4184104,44050.0386715,0.5,0.5,0.5,
42UE,48645, 99384, 0.5,0.5,0.5,0.5,10238.571841,10941.9708627,11143.1862751,10183.0473956,9480.66945486,11254.0444702,13964.6408078,11602.7747495,10574.7378712,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,49639.5300127,49744.1137153,0.5,0.5,0.5,
42UD,76663, 154675, 0.5,0.5,0.5,0.5,22397.9502044,21515.0802636,15993.3548539,17253.5932894,20823.142792,17922.5557016,16603.5836727,12661.2033305,9504.31796662,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,77599.0625013,77075.7195735,0.5,0.5,0.5,
42UG,66402, 120419, 0.5,0.5,0.5,0.5,11509.931408,11713.2060468,13523.1971006,12678.4576241,10269.9485771,13225.8467485,17350.0558486,15160.7570358,14987.2887733,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58976.4675252,61442.2216375,0.5,0.5,0.5,
42UF,53307, 117369, 0.5,0.5,0.5,0.5,13794.0096294,13548.3519197,12463.7118748,12518.1386806,13981.8119912,13736.6482187,14874.7460079,11389.8484984,11061.6225296,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58927.0985518,58441.7907983,0.5,0.5,0.5,
00FP,15879, 37692, 0.5,0.5,0.5,0.5,4136.48149795,4209.63778719,3993.69716122,4290.53580601,3698.16839372,4096.37046717,5047.25916187,4135.78660321,4084.47152153,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,19282.683376,18409.7250239,0.5,0.5,0.5,
23UB,61594, 126561, 0.5,0.5,0.5,0.5,16082.7419663,15013.3221682,12088.2803201,15860.4111666,17437.4998268,14819.1962158,15049.10084,10968.7255135,9241.26375572,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62509.7992425,64050.7425306,0.5,0.5,0.5,
23UC,40541, 81128, 0.5,0.5,0.5,0.5,7598.60921123,7958.32356853,8721.90375543,8680.67854363,6997.57152876,9396.002969,12305.7268546,10158.4228192,9310.4098379,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,40145.244416,40982.4046723,0.5,0.5,0.5,
29UK,50352, 124698, 0.5,0.5,0.5,0.5,16108.327322,15490.7807662,14205.536608,12255.1680396,11602.7553973,14710.9915389,16592.3074777,12607.9535074,11124.0884047,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60473.6951261,64224.2139355,0.5,0.5,0.5,
23UF,52039, 118454, 0.5,0.5,0.5,0.5,13803.1402305,13163.3701996,12933.8245821,12039.1494883,10416.0191584,13878.8179497,16901.5176201,13526.5694258,11791.4990887,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58310.6354965,60143.2722468,0.5,0.5,0.5,
23UG,37682, 88702, 0.5,0.5,0.5,0.5,11495.4097993,10731.6124873,9224.59173772,8473.5886676,8758.20235332,10293.7562597,11918.530247,9276.38910846,8530.36624908,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,43683.1712351,45019.2756743,0.5,0.5,0.5,
