OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
46UD,52799, 118500, 0.5,0.5,0.5,0.5,13199.9936452,13399.9765794,12599.9775699,12799.961392,16899.9844949,16099.9680518,14799.9790181,10899.9880316,7800.00185827,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58099.9118408,60399.9188003,0.5,0.5,0.5,
46UF,60799, 132700, 0.5,0.5,0.5,0.5,14799.9970833,15299.9805006,13499.9941552,14499.9757043,19399.9883525,17899.9699904,17099.9754809,12099.9915397,8100.00051548,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,64699.9520676,67999.9212546,0.5,0.5,0.5,
46UC,60599, 138700, 0.5,0.5,0.5,0.5,16599.9824444,16699.9711322,13399.9951362,15999.9725847,21999.9908949,19799.9789911,16600.0023975,10799.9941643,6799.99463969,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68599.9471718,70099.9352132,0.5,0.5,0.5,
46UB,34200, 81000, 0.5,0.5,0.5,0.5,9799.98371432,10699.9707191,7599.99808439,8299.97878994,11599.9780024,11399.994325,10299.9867142,6899.99633356,4400.00405845,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,40599.9458408,40399.9449005,0.5,0.5,0.5,
35UG,30000, 63300, 0.5,0.5,0.5,0.5,7099.99495349,6799.99198583,7600.00091933,7099.98548046,8999.99294687,8899.98960729,8099.99510847,5400.0019727,3299.99097843,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,31099.9906182,32199.9533347,0.5,0.5,0.5,
23UB,55599, 117500, 0.5,0.5,0.5,0.5,12499.9833894,13999.9826503,18499.9774988,14899.9678192,15699.9932095,14099.9834713,11799.9895165,8699.99431087,7299.9999072,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58399.9367188,59099.9350543,0.5,0.5,0.5,
23UC,40999, 86400, 0.5,0.5,0.5,0.5,8399.99593721,9699.98909198,7599.99229537,8199.98418751,12699.9894452,12799.9757958,12199.9910212,8800.00524498,5999.99741333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,42399.964674,43999.9557586,0.5,0.5,0.5,
23UF,51799, 112900, 0.5,0.5,0.5,0.5,12400.0017578,13199.9682005,9599.97967854,11399.9635755,17299.985308,16799.9758669,15199.9748164,10199.9929753,6800.00272449,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,55599.9272222,57299.9176812,0.5,0.5,0.5,
23UG,38599, 83100, 0.5,0.5,0.5,0.5,8999.97943045,8699.9811451,8299.99775745,9199.98123099,11999.9888819,11799.9890188,10999.9881378,7999.98118218,5099.99622487,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,40899.9412144,42199.9417951,0.5,0.5,0.5,
23UD,38599, 85400, 0.5,0.5,0.5,0.5,8599.99535904,10199.9990743,9199.98458869,7799.98170845,12199.9818509,12199.9722698,12099.9844687,8099.99286772,5000.00281728,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,42099.932629,43299.9623758,0.5,0.5,0.5,
23UE,55599, 122800, 0.5,0.5,0.5,0.5,16099.9812112,13999.979406,18199.9990419,15899.9583229,17699.9802015,15599.9818779,11699.9827014,7900.00055031,5700.00180106,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61399.9351483,61399.9299659,0.5,0.5,0.5,
32UH,42200, 94200, 0.5,0.5,0.5,0.5,10099.9866109,10799.9799267,8799.99407956,8899.97506091,13499.9843728,13999.9739912,13599.9839357,9100.00700698,5400.00530769,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46099.9440449,48099.9462475,0.5,0.5,0.5,
35UD,37000, 81400, 0.5,0.5,0.5,0.5,9499.99642952,8999.99776364,9699.98831522,9399.97616388,10899.9898379,11299.9834546,11199.990031,6699.99127254,3700.00524521,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,39599.9453369,41799.9731766,0.5,0.5,0.5,
18UL,25800, 55400, 0.5,0.5,0.5,0.5,5599.9902807,6199.99634796,4100.00777115,5099.99440931,7900.00313676,8299.98277778,8599.99435054,5900.00205044,3700.0089399,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27299.9716967,28100.0083679,0.5,0.5,0.5,
32UB,28800, 61200, 0.5,0.5,0.5,0.5,7399.99706061,6599.9941169,6599.99548396,5999.97890316,8099.98345088,8199.99624187,8499.98811961,6099.99503732,3700.00485799,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,30299.9723922,30899.9608801,0.5,0.5,0.5,
32UC,68599, 148600, 0.5,0.5,0.5,0.5,13399.9902088,14699.9728493,13100.0042233,12199.9700598,19099.9745398,22099.9648618,25799.9712375,17899.9846292,10300.001761,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,73599.9066879,74999.9276826,0.5,0.5,0.5,
32UD,39400, 89500, 0.5,0.5,0.5,0.5,10099.9862033,10699.9854273,19399.968924,9999.98303292,10299.9959015,10099.9877537,8499.99528958,5799.99679719,4600.00284499,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,43999.9528878,45499.9492867,0.5,0.5,0.5,
