Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,271.582455145,281.412985345,289.60788702,296.868030447,305.832843444,306.574776835,306.483129321,306.560902368,306.143047012,305.628332306,305.39762065,303.909024703,303.52036178,303.095811724,302.024389565,301.502939285,300.679585264,300.370363901,300.406065052,300.103823819,301.192873389,302.130962655,303.166138822,304.77635632,307.352892002,310.714328261,314.85856525,319.831235386,325.771727136,329.700891493,333.684019171,337.632133419,341.493061771,345.178045936,348.61043553,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,253.926192013,260.916742066,264.449637528,268.914182683,268.860371647,280.134084593,289.427571,298.017289606,305.140773773,313.570365707,314.311993985,314.752099538,314.829616909,314.145465483,313.63052651,312.734673243,311.777911873,310.724120956,310.033429561,309.360827403,308.70626821,308.54790188,308.371653258,308.008349623,307.917140988,308.135500734,308.771308181,309.860435337,311.403790698,313.881136088,317.143330244,321.188264199,326.061951183,331.902857769,335.732872086,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,232.372742704,232.299941818,236.748090507,244.919959235,255.219810307,260.613071895,267.203778481,271.533998101,275.732004882,275.943779008,286.549256289,296.637752685,304.559439399,311.945894408,321.170268204,321.512784015,321.686813313,321.365300326,321.213044363,320.565002384,319.536116613,318.180317797,317.259483797,316.96774684,317.740811077,318.436690681,319.003651248,319.461495013,319.777386089,320.127464814,320.787035749,321.863873881,323.393823229,325.377933369,328.295903824,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,269.942286477,267.511913556,263.479460675,257.313771177,253.936963843,250.538115221,249.532143026,255.042588301,263.612255839,273.778302789,280.63349399,286.824420214,291.685868586,295.88333955,296.626816083,306.69586912,316.114499065,325.360797862,332.341876081,341.559162197,341.901649392,342.208703101,342.153234856,342.267037559,343.52345403,343.91426986,343.391180786,341.816031831,339.017588594,339.872586418,340.649931034,341.297966994,341.83643757,342.233976162,342.666026302,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,307.290967687,306.29210424,304.357417243,303.082228988,301.135885739,298.835228309,296.661681447,292.620865322,286.447559038,283.861856156,281.924040424,282.246258385,287.755462165,296.988730762,307.552969195,313.609436011,320.598063178,325.060473977,330.720813205,331.19790366,341.391487363,351.200170634,359.772372983,367.143160848,376.07317628,376.913574635,377.394197715,377.550442585,377.350503021,378.742633708,379.269713553,378.883696751,377.446178477,374.787303932,375.778780343,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,269.535433766,271.901075899,276.392689105,279.420259184,278.591051772,281.974648475,280.83288013,279.288340579,277.207213052,276.317753097,274.275809157,273.159408373,269.377837794,264.261722028,261.802300624,259.597131232,259.519544442,264.629400965,272.266502515,281.234771985,287.291648536,293.482855933,296.88193795,301.877923926,301.461802074,310.000303241,318.909909247,328.181313363,337.898796383,346.560133505,347.14252255,347.365459511,347.264641479,346.808957011,347.942217992,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,266.940783335,267.511855041,268.475307167,269.964546613,273.842594243,276.076473614,277.244554229,281.736939606,284.367754486,283.940702652,287.316860918,286.300872114,283.684729779,282.659282481,280.564555418,279.711802028,278.188372496,274.664942712,269.540543901,268.535103432,265.664464427,265.853023743,269.633628404,277.670660464,281.108734012,285.337542107,290.546556436,296.804239357,304.188416568,303.639045632,312.030656797,320.791709207,329.912822351,339.481048972,347.991099977,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,249.385946847,253.317682825,258.970382251,266.478114181,272.650468435,275.216301443,275.648148312,276.606821669,277.560544889,281.17015146,283.54205499,285.513873782,289.346933563,291.984232454,291.298445202,295.06541357,294.040871046,291.01713422,289.84803854,289.603467454,286.878875894,285.079287011,282.077351818,277.340544337,281.610834359,283.433171515,285.920647136,289.135634796,293.15180438,297.122062555,301.878100202,307.609644587,314.38496311,322.286424756,322.276710844,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.328828843,285.023781694,273.03842992,260.630336028,255.116143671,254.263470541,258.192314813,264.243707979,271.088263829,278.195051857,279.828089204,279.992127002,280.948172052,282.696803704,286.569896194,288.551269017,290.931943455,295.0425915,298.355396949,297.147029791,299.971308932,297.870881989,296.696589048,295.114890743,296.083107089,295.685548571,293.41599903,289.086798736,282.52863291,286.694891127,288.42224268,290.809218096,293.918122287,297.826591885,301.69512792,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,320.30990603,315.965246345,315.315057712,311.048946594,304.766513388,294.904766486,287.013852244,274.446307635,262.390174698,257.362865708,256.108208359,260.301369683,266.351100788,273.327169794,280.96560355,283.390835337,283.54984716,284.768247092,285.847014217,290.379671903,291.706832868,293.699853331,298.088357983,301.413855519,297.583945105,297.630972787,297.239047856,296.366949241,294.995057679,295.730399981,295.107401082,292.622406652,288.088731759,281.340036804,285.255810117,
