Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,271.582455145,281.412985345,289.60788702,296.868030447,305.832843444,306.574776835,306.483129321,306.560902368,306.143047012,305.628332306,305.39762065,303.909024703,303.52036178,303.095811724,302.024389565,301.502939285,300.679585264,300.370363901,300.406065052,300.103823819,301.192873389,302.130962655,303.166138822,304.77635632,307.352892002,310.714328261,314.85856525,319.831235386,325.771727136,329.700891493,333.684019171,337.632133419,341.493061771,345.178045936,348.61043553,351.734112593,354.504068092,356.852174496,358.76936279,360.250066844,361.318525211,362.016720184,362.406777755,362.573392691,362.600027312,362.570314334,362.5637075,362.665553118,362.926476551,363.391852018,364.09312849,365.04583028,366.251398491,367.720504044,369.447637916,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,253.926192013,260.916742066,264.449637528,268.914182683,268.860371647,280.134084593,289.427571,298.017289606,305.140773773,313.570365707,314.311993985,314.752099538,314.829616909,314.145465483,313.63052651,312.734673243,311.777911873,310.724120956,310.033429561,309.360827403,308.70626821,308.54790188,308.371653258,308.008349623,307.917140988,308.135500734,308.771308181,309.860435337,311.403790698,313.881136088,317.143330244,321.188264199,326.061951183,331.902857769,335.732872086,339.616925413,343.466126685,347.228674584,350.814810235,354.148395968,357.173323028,359.844432405,362.094060927,363.912664399,365.294865259,366.264888406,366.86477839,367.156939071,367.2247507,367.153257296,367.025568061,366.921049154,366.925109748,367.088198871,367.455080882,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,232.372742704,232.299941818,236.748090507,244.919959235,255.219810307,260.613071895,267.203778481,271.533998101,275.732004882,275.943779008,286.549256289,296.637752685,304.559439399,311.945894408,321.170268204,321.512784015,321.686813313,321.365300326,321.213044363,320.565002384,319.536116613,318.180317797,317.259483797,316.96774684,317.740811077,318.436690681,319.003651248,319.461495013,319.777386089,320.127464814,320.787035749,321.863873881,323.393823229,325.377933369,328.295903824,331.998526655,336.483679939,341.797405746,348.07832149,352.348745194,356.673209204,360.963007758,365.166211204,369.192857025,372.966992254,376.432538395,379.54428516,382.234670341,384.493410252,386.316519408,387.727414574,388.768219284,389.501330017,390.010844952,390.380496718,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,269.942286477,267.511913556,263.479460675,257.313771177,253.936963843,250.538115221,249.532143026,255.042588301,263.612255839,273.778302789,280.63349399,286.824420214,291.685868586,295.88333955,296.626816083,306.69586912,316.114499065,325.360797862,332.341876081,341.559162197,341.901649392,342.208703101,342.153234856,342.267037559,343.52345403,343.91426986,343.391180786,341.816031831,339.017588594,339.872586418,340.649931034,341.297966994,341.83643757,342.233976162,342.666026302,343.406878736,344.564332682,346.174208697,348.239084269,351.23772499,355.020323119,359.584742851,364.977005542,371.336994787,375.687211375,380.09108108,384.460040688,388.742299916,392.847590224,396.702480355,400.248223763,403.439833374,406.209902972,408.550113388,410.453631487,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,307.290967687,306.29210424,304.357417243,303.082228988,301.135885739,298.835228309,296.661681447,292.620865322,286.447559038,283.861856156,281.924040424,282.246258385,287.755462165,296.988730762,307.552969195,313.609436011,320.598063178,325.060473977,330.720813205,331.19790366,341.391487363,351.200170634,359.772372983,367.143160848,376.07317628,376.913574635,377.394197715,377.550442585,377.350503021,378.742633708,379.269713553,378.883696751,377.446178477,374.787303932,375.778780343,376.692366645,377.476166477,378.150194476,378.684112103,379.252857585,380.129663888,381.42233739,383.16657996,385.366454509,388.499502047,392.41560447,397.112683675,402.636599867,409.125404938,413.608921688,418.146354646,422.648839411,427.064576811,431.306095917,435.294781068,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,269.535433766,271.901075899,276.392689105,279.420259184,278.591051772,281.974648475,280.83288013,279.288340579,277.207213052,276.317753097,274.275809157,273.159408373,269.377837794,264.261722028,261.802300624,259.597131232,259.519544442,264.629400965,272.266502515,281.234771985,287.291648536,293.482855933,296.88193795,301.877923926,301.461802074,310.000303241,318.909909247,328.181313363,337.898796383,346.560133505,347.14252255,347.365459511,347.264641479,346.808957011,347.942217992,348.211017829,347.567729698,345.873896896,342.960940427,343.69423443,344.34948677,344.874828692,345.290413462,345.56555697,345.875997909,346.494154007,347.527635844,349.012099806,350.948804161,353.821779753,357.476897783,361.91187071,367.17287149,373.400841232,377.62204494,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,266.940783335,267.511855041,268.475307167,269.964546613,273.842594243,276.076473614,277.244554229,281.736939606,284.367754486,283.940702652,287.316860918,286.300872114,283.684729779,282.659282481,280.564555418,279.711802028,278.188372496,274.664942712,269.540543901,268.535103432,265.664464427,265.853023743,269.633628404,277.670660464,281.108734012,285.337542107,290.546556436,296.804239357,304.188416568,303.639045632,312.030656797,320.791709207,329.912822351,339.481048972,347.991099977,348.437919984,348.525784863,348.290463602,347.703326688,348.700328273,348.833677806,348.055814606,346.228598319,343.186346838,343.784660012,344.304155213,344.693155397,344.971542934,345.105781361,345.28162001,345.764091396,346.660907844,348.007349268,349.810000759,352.544933153,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,249.385946847,253.317682825,258.970382251,266.478114181,272.650468435,275.216301443,275.648148312,276.606821669,277.560544889,281.17015146,283.54205499,285.513873782,289.346933563,291.984232454,291.298445202,295.06541357,294.040871046,291.01713422,289.84803854,289.603467454,286.878875894,285.079287011,282.077351818,277.340544337,281.610834359,283.433171515,285.920647136,289.135634796,293.15180438,297.122062555,301.878100202,307.609644587,314.38496311,322.286424756,322.276710844,331.187607043,340.465293474,350.100308151,360.184251247,369.206161492,370.188444553,370.812366656,371.113841706,371.069798401,372.601951776,373.271213263,373.030211503,371.741566803,369.235954824,370.371823168,371.427614048,372.351852107,373.164272396,373.840860088,374.553626456,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.328828843,285.023781694,273.03842992,260.630336028,255.116143671,254.263470541,258.192314813,264.243707979,271.088263829,278.195051857,279.828089204,279.992127002,280.948172052,282.696803704,286.569896194,288.551269017,290.931943455,295.0425915,298.355396949,297.147029791,299.971308932,297.870881989,296.696589048,295.114890743,296.083107089,295.685548571,293.41599903,289.086798736,282.52863291,286.694891127,288.42224268,290.809218096,293.918122287,297.826591885,301.69512792,306.343222461,311.961238899,318.617346364,326.397621927,326.298151179,335.089339176,344.243970918,353.752882241,363.711630841,372.606822296,373.494681772,374.025579081,374.235283304,374.091323705,375.527922795,376.103437781,375.770747158,374.393012975,371.814088881,372.855378882,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,320.30990603,315.965246345,315.315057712,311.048946594,304.766513388,294.904766486,287.013852244,274.446307635,262.390174698,257.362865708,256.108208359,260.301369683,266.351100788,273.327169794,280.96560355,283.390835337,283.54984716,284.768247092,285.847014217,290.379671903,291.706832868,293.699853331,298.088357983,301.413855519,297.583945105,297.630972787,297.239047856,296.366949241,294.995057679,295.730399981,295.107401082,292.622406652,288.088731759,281.340036804,285.255810117,286.744677513,288.888542805,291.749457332,295.405942392,299.026200262,303.42096501,308.78092036,315.17380377,322.686043017,322.355097738,330.877681552,339.761788666,348.998550541,358.670060072,367.294155228,367.94677516,368.243610733,368.220601818,367.860194973,369.05798547,
