Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,257.11609129,252.245505583,244.751913617,235.85737339,229.422132025,230.260212591,229.677259389,229.522397516,228.800669885,228.108307434,227.927983026,226.214090402,226.320083427,226.198837912,225.197063903,225.105258933,224.388089667,224.353736255,224.574457359,223.941477807,225.04255786,225.831212505,226.591351179,227.776561723,228.97370651,230.593314705,232.282731941,234.128249045,236.892715648,236.974288025,236.854182605,236.468523192,235.811725081,234.892743203,233.733044895,232.369058504,230.869906397,229.288710032,227.6856199,226.109680862,224.598544324,223.1888971,221.894648751,220.736866444,219.708781482,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,255.573201953,264.738690877,268.730352299,274.115968165,272.743437596,269.953388443,264.284792672,257.386878431,248.292191941,241.059799536,241.893589633,242.102769276,241.943952613,240.820207622,240.124131349,238.945488936,238.024204304,237.131959591,236.609619725,236.20166312,235.907888064,236.183224249,236.345320703,235.966715804,235.644013225,235.436519992,235.766471708,236.600213541,237.676905918,238.722732966,240.191121673,241.729416232,243.42452,246.037575436,245.969044866,245.699067053,245.163926997,244.35864043,243.290675925,241.982074734,240.469227467,238.820880731,237.090993415,235.339091247,233.614272192,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,229.11164638,227.88730644,233.425979266,244.535350069,258.827980963,265.599840557,274.163207819,279.344433583,284.32813596,283.350165077,279.56425892,275.089186915,267.196073518,258.500017412,252.462936038,252.696804364,252.50539292,251.747242526,251.417045158,250.519489825,249.139658128,247.61926637,246.923906066,246.996541238,248.745295005,250.465883774,251.820270157,252.924791026,253.55635949,253.891366093,254.341508959,255.328650542,256.819050331,258.552395206,260.255146991,262.380080328,264.57471065,266.925938833,270.194958471,270.78381799,271.171282194,271.294034538,271.146815826,270.736973586,270.086536595,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,272.407627815,272.299915456,269.78827872,264.078937991,262.537420804,256.332667182,253.70633744,260.828729536,272.526945564,286.612295555,295.563319093,303.520826177,309.490064968,314.467510825,314.280348479,309.695693364,304.224714578,298.322829725,289.032844125,283.000942346,283.229695835,283.233262902,282.86929277,282.933336875,284.868835985,285.597856744,285.309231394,283.622453044,279.936103345,281.800997032,283.636438933,285.104999892,286.322674602,287.069789049,287.522604596,288.089170704,289.190971568,290.794042975,292.641790612,294.460370811,296.699544791,299.007235171,301.470276405,304.851989647,305.55662983,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,312.659255953,314.323996021,314.543412113,315.901398348,316.405348317,316.524061823,316.631324244,313.938779819,308.050357402,307.524064883,303.459635278,302.773366616,309.845277675,322.486824156,337.11719982,344.858861493,353.997069386,359.356856013,366.512964225,365.918491447,361.561857946,356.719638069,349.856829084,341.199122713,334.820870232,335.818059813,336.102733742,336.074424999,335.688332865,337.797448512,338.715747558,338.634301118,337.136656867,333.659016823,335.713017816,337.726798292,339.362047232,340.771928867,341.711703165,342.365868452,343.132325296,344.432042211,346.234412127,348.292468206,350.349889285,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,267.171938419,267.233969989,270.473142709,271.519074624,266.793799518,275.209603252,276.849321694,277.882953522,278.108944095,280.112603001,280.285515174,281.838170025,279.476111928,274.994820767,274.481107469,270.009841841,268.716635661,275.178986181,285.418564879,297.645358347,305.371864848,313.301736545,317.057525838,323.207924771,321.240464063,314.402440648,308.206429625,302.382424769,297.232249595,290.522849787,291.1630381,291.096645597,290.718793408,289.986994748,291.684891163,292.203144417,291.734650314,289.865202362,286.037860516,287.70405534,289.326110193,290.566327862,291.577226556,292.11357417,292.377596962,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,267.773262854,268.437137316,269.678013662,271.695846751,277.278890118,277.318420907,275.718222775,279.050964937,279.55753803,275.450707773,283.635491215,285.287541296,284.618427074,286.41113945,286.529571002,288.460400771,289.382069366,287.305544141,282.789373779,284.424978341,278.950031192,278.044442377,282.503445147,293.323302629,297.216904079,302.148224797,308.545809697,316.51185968,326.167838738,323.985377763,316.945065457,310.547005939,304.52223157,299.180382235,292.279137781,292.690896615,292.399513759,291.799063873,290.855583578,292.322309981,292.61306537,291.920457437,289.832601412,285.804879518,287.245445308,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,247.487258312,252.012365707,259.098818775,268.94840182,276.789078712,280.405970144,280.820037445,282.015730028,283.194040766,288.335469407,289.189002682,289.359624174,292.234644306,293.206092015,289.170614467,297.264797951,298.306714755,296.457485535,297.523905473,299.86532068,298.962872119,299.441573956,298.114750253,294.144222085,303.5705311,305.044221277,307.495376424,311.015181125,315.728353722,320.379923234,326.049505032,333.168451304,341.836932867,352.191054078,350.791062912,344.55283861,338.956529045,333.735646955,329.216034892,323.135604814,324.304581336,324.775483767,324.940855526,324.787757452,327.009430402,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.46576876,286.836148934,274.167721799,260.833512145,257.780644148,255.128841811,259.611046215,267.251186411,276.060164352,285.247864534,287.404110927,287.357704061,288.491478758,290.805540735,296.284161804,297.1804706,298.590660342,302.513224873,305.133238644,300.960268616,306.913879391,305.701234188,305.902475257,305.623922243,308.941346533,311.38339703,311.022090921,307.584982423,300.804619784,309.964491771,311.245153459,313.485431257,316.775153544,321.252528142,325.689697695,331.117777028,337.972223038,346.351437308,356.405770198,354.836599358,348.469356208,342.744216635,337.396944363,332.765141333,326.574222393,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,322.346863295,317.73532618,318.614946212,314.05201306,306.450205592,296.911687945,290.293964357,276.649116694,263.732547396,261.284869973,257.999589512,262.832761986,270.411976329,279.356811638,289.277957361,292.542738584,292.416009231,293.874218294,295.116295597,301.509949663,301.743339861,302.893175084,307.539744526,310.530712503,303.428181392,304.682419102,305.378265389,305.463533291,304.949115897,306.863869873,308.869442175,308.106985032,304.310339754,297.230385585,305.867323673,306.724062552,308.52267783,311.350655725,315.352476575,319.328008155,324.269364003,330.61319212,338.454528548,347.94892286,345.988408686,
