Year,BirthMProj,BirthFProj,BirthMExp,BirthFExp,DeathMProj,DeathFProj,DeathMExp,DeathFExp,MigMProj,MigFProj,MigMExp,MigFExp
0,480.68229046,456.66775954,398.406,380.393,309.321758023,345.77836042,264.194,291.097,1.79973543646,2.06158445949,98.618,104.562
1,479.11336187,455.915988129,398.055,379.434,294.431187829,326.326061552,263.079,287.835,1.89266795954,2.01889561327,95.998,102.182
2,478.753466581,454.987883419,398.532,379.102,283.671826196,312.209178194,262.44,284.978,1.75546140676,2.05022826282,93.378,99.802
3,478.888783154,455.575916845,399.638,379.554,273.544306968,301.249834972,262.279,282.529,1.86563154614,1.94869605697,90.76,97.422
4,480.320040156,458.143209844,401.754,380.608,266.366905696,291.233080294,262.568,280.477,1.79907849924,1.97424358878,87.628,95.04
5,483.73597809,460.73372191,404.607,382.624,261.898043736,283.751074807,263.264,278.775,1.73078497773,1.98850453918,87.628,92.372
6,488.08960416,464.03104584,407.145,385.341,257.478317527,276.631664178,264.351,277.406,1.75061004647,1.92444800458,87.628,92.372
7,490.472130281,466.744169719,409.169,387.755,253.988511737,270.162427254,265.816,276.334,1.74518885412,1.90133200792,87.628,92.372
8,492.229549298,468.385000702,410.608,389.685,251.994881864,266.122856369,267.682,275.605,1.79587269652,1.93573288449,87.628,92.372
9,493.946663606,470.107536394,411.444,391.053,250.559724079,262.338749328,269.933,275.237,1.70298038211,1.86946578483,87.628,92.372
10,495.269492246,470.758107754,411.736,391.852,250.512000776,259.642052224,272.512,275.225,1.75983087895,1.88229301189,87.628,92.372
11,494.969451868,471.056998132,411.574,392.13,250.76501097,257.236674383,275.451,275.615,1.81273261992,1.87929030615,87.628,92.372
12,494.811956743,470.583143257,411.077,391.975,251.116820042,256.319751704,278.731,276.401,1.67961746042,1.8798966883,87.628,92.372
13,494.031544955,469.950205045,410.362,391.502,252.505039056,255.981141979,282.342,277.567,1.77618592768,1.82619673787,87.628,92.372
