Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,255.3,255.3,255.3,255.3,255.3,261.0,270.030246473,278.830948825,287.408139747,296.217302818,305.275567235,305.909500161,307.559771071,309.782594754,312.109313769,314.441364066,316.421478049,317.602108336,318.208728813,318.586510741,318.843934932,318.64448248,318.446053171,318.3603519,318.162599383,317.739497004,317.540143658,317.562948268,317.69936178,317.953282976,314.313379614,
5-9,240.5,240.5,240.5,240.5,240.5,240.7,244.722564242,248.771961276,252.830189303,256.90918701,260.950812909,269.978626563,278.77721677,287.361474726,296.163373887,305.222225418,305.863086328,307.518317266,309.747825913,312.081226936,314.412133854,316.392140515,317.577883342,318.187450386,318.570170631,318.831508783,318.636098996,318.439507593,318.353273149,318.153458357,317.73638351,
10-14,264.3,264.3,264.3,264.3,264.3,260.2,256.272199809,252.346092835,248.422419716,244.522166885,240.649421301,244.670464629,248.727974603,252.801801217,256.872871145,260.912785152,269.949997054,278.751945448,287.327551981,296.13343707,305.186850309,305.830184315,307.488720816,309.720410967,312.053986146,314.386752925,316.376385914,317.564637977,318.176014578,318.555471774,318.834455866,
15-19,296.8,296.8,296.8,296.8,296.8,295.3,288.209173103,281.123593652,274.076327768,267.058769563,260.059199788,256.148758809,252.234746608,248.322248479,244.435608411,240.57764205,244.61106873,248.665898352,252.744571495,256.816896614,260.874601345,269.906620156,278.712322636,287.30115273,296.102950805,305.158882922,305.80054581,307.465486068,309.693186901,312.030346535,314.370837855,
20-24,308.6,308.6,308.6,308.6,308.6,313.5,309.804906306,306.132363237,302.45416382,298.746251601,295.046626224,288.002299721,280.959576328,273.956693956,266.972098674,260.006307131,256.107687711,252.212315727,248.315872507,244.453132768,240.614606627,244.658773514,248.725315829,252.801763546,256.893335557,260.95133992,269.975489767,278.784958014,287.355999076,296.156820517,305.22049855,
25-29,269.9,269.9,269.9,269.9,269.9,279.2,285.937677342,292.673634435,299.414644071,306.159372964,312.884712118,309.222769639,305.586060002,301.938504171,298.266372395,294.595096094,287.58418744,280.582078213,273.603749307,266.650708502,259.700918168,255.832565813,251.956507638,248.072866831,244.229197342,240.398442193,244.438778029,248.508336596,252.582322489,256.664646662,260.67030253,
30-34,251.6,251.6,251.6,251.6,251.6,250.8,256.280377061,261.811595724,267.373215464,272.95321916,278.533880937,285.300596991,292.05493627,298.810702482,305.569786677,312.31030022,308.675642949,305.065365017,301.451884961,297.799142605,294.155585731,287.182815005,280.198399355,273.254045193,266.33112823,259.41118354,255.556940587,251.698160271,247.82650309,243.991391278,240.213458508,
35-39,317.8,317.8,317.8,317.8,317.8,306.5,295.068550349,283.660724982,272.309092448,261.04691823,249.891869219,255.394795157,260.936125683,266.504011796,272.09602595,277.682022372,284.449027194,291.207669375,297.975681021,304.737263807,311.476398303,307.876009623,304.303339193,300.714647779,297.103237952,293.507036719,286.561372362,279.620280571,272.711608037,265.814763392,258.985729931,
40-44,342.7,342.7,342.7,342.7,342.7,343.2,335.40538371,327.706076664,320.046304193,312.426123778,304.828911447,293.5238757,282.237870916,270.997192886,259.838983633,248.78492421,254.291566242,259.844922562,265.410828876,271.0030205,276.599045282,283.370161773,290.136562855,296.911484507,303.683868225,310.42895769,306.878993124,303.340711327,299.798719031,296.223530909,292.684140199,
45-49,316.6,316.6,316.6,316.6,316.6,325.6,328.39919875,331.267974068,334.212529213,337.207369229,340.237209011,332.636880949,325.120700065,317.631967624,310.172528832,302.723341586,291.548521856,280.394471812,269.281873301,258.257135105,247.332959395,252.849227489,258.414818613,264.003797098,269.607090039,275.214215786,282.000174238,288.76951082,295.549799382,302.318523746,309.047662053,
50-54,277.6,277.6,277.6,277.6,277.6,282.2,289.818182935,297.529266165,305.31576737,313.175846755,321.093520498,324.077656032,327.116346155,330.208503958,333.318468392,336.445580668,329.04726202,321.728662434,314.424553538,307.141188478,299.874542521,288.876530287,277.884956156,266.953412598,256.102651836,245.357373732,250.897261228,256.472401484,262.060230742,267.65618284,273.252743887,
55-59,273.9,273.9,273.9,273.9,273.9,269.9,270.856519016,272.018731504,273.336922044,274.797217642,276.361940557,284.102419955,291.928633732,299.804890727,307.729717418,315.686023767,318.816657588,321.981447515,325.186642066,328.407947279,331.631684955,324.465026955,317.375267316,310.310186966,303.267958473,296.233105152,285.457005528,274.677121015,263.942821821,253.285425115,242.848271659,
60-64,282.0,282.0,282.0,282.0,282.0,285.8,280.177596656,275.001837642,270.107417837,265.591933405,261.390528764,262.759226302,264.266477927,265.866505231,267.540436866,269.289613464,277.094398537,284.957530673,292.872661394,300.81837212,308.782821187,312.055325598,315.373151481,318.733534266,322.093479715,325.461040168,318.600847798,311.780746738,304.969365647,298.174894364,291.556440204,
65-69,208.0,208.0,208.0,208.0,208.0,217.0,227.643431302,238.415805129,249.378784429,260.351845088,271.32715457,266.731643735,262.485383703,258.438380296,254.65815163,251.086861952,252.791973473,254.562583763,256.393195448,258.280161427,260.220286619,268.046987618,275.959234268,283.918601987,291.895238988,299.901528543,303.378296916,306.844082004,310.318434438,313.768430664,317.378196988,
70-74,176.0,176.0,176.0,176.0,176.0,180.3,183.671250104,187.526584931,191.723775398,196.171082637,200.761654883,211.620524627,222.49043443,233.445665914,244.319819192,255.144009086,251.399945403,247.935571475,244.638123262,241.549779984,238.614564,240.6203121,242.698257172,244.81266282,246.965795672,249.166191139,257.063182902,264.969275962,272.886031871,280.782241438,288.899576068,
75-79,145.3,145.3,145.3,145.3,145.3,145.5,146.676668749,148.738608514,151.460257562,154.693322212,158.219495823,162.841467291,167.611424483,172.435135359,177.271444808,182.059022627,192.809420739,203.455459879,214.109988735,224.63250138,235.034173237,232.150110393,229.559240989,227.124658262,224.870381662,222.738669292,225.150287572,227.48822164,229.830664362,232.157124822,234.874137632,
80-84,106.6,106.6,106.6,106.6,106.6,108.0,107.930514184,108.731010454,110.180060046,112.145513982,114.489226506,117.681550657,121.29473978,125.197116051,129.252673939,133.329999632,138.640689466,143.858558518,148.958048473,153.909069086,158.674486533,169.023353778,179.242016875,189.415533167,199.409122829,209.271133588,207.452971407,205.748893014,204.128416476,202.628501125,201.741719619,
85-89,66.7,66.7,66.7,66.7,66.7,68.3,67.9839344039,68.4439850738,69.2905877993,70.3308408782,71.4164657907,73.5153532166,75.8863532722,78.4725621197,81.2186303186,84.0880133432,88.1525139363,92.4018896443,96.7388399159,101.059910956,105.233310302,110.738714769,116.077386803,121.214690443,126.090484301,130.757383987,140.498746661,149.886416329,159.075125235,167.993911721,177.328478069,
