Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
45-49,316.6,316.6,316.6,316.6,316.6,325.6,334.1188317,339.2812945,343.3987607,345.0999943,344.7996381,341.093936,338.8932777,333.7870383,326.5527696,316.0960186,305.3944812,292.9671674,280.9872226,274.2982747,274.1890813,278.1642921,286.1099432,295.2860529,305.3789239,315.2945521,323.8805909,331.1894804,339.6029863,347.2920933,348.183587,347.2171582,349.1539972,352.8913231,353.5189384,350.1916629,345.807868,343.9280974,340.2748169,331.9092351,330.7346203,328.2012871,327.5214133,324.5265503,316.7933495,318.7666278,321.8030867,329.1233458,337.0684269,343.4668482,343.0945163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,277.6,277.6,277.6,277.6,277.6,282.2,290.2163573,299.0836533,307.9988899,316.7999972,325.5996671,333.594089,339.0934307,343.5867172,345.0500889,344.4960079,340.993467,339.5605556,334.3859593,326.4988629,316.4898774,306.8620197,293.4092968,281.8858254,275.1799806,275.4933311,279.4827026,287.5905264,296.502269,306.2928205,311.3198777,315.9284139,324.5032115,336.2740932,346.6657161,345.4992293,344.7475182,348.0996591,351.6243365,352.4137734,349.1789362,344.8342738,342.7636212,338.9136078,330.822285,329.7609536,327.2825633,326.4094767,323.3906042,315.9303378,318.0239149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,273.9,273.9,273.9,273.9,273.9,269.9,267.1150552,267.2855853,269.7989011,274.6998408,280.2995455,287.69472,296.9946125,305.6881178,314.7543947,323.1962918,331.3937478,336.9610918,341.1858986,342.9989924,342.3892504,339.357519,337.2106481,332.1842095,325.0772023,314.7942915,304.9816395,292.5900345,281.3014502,274.6931944,280.6156981,285.633648,293.651624,303.8748501,312.0912298,315.6864534,320.8505327,331.1714115,343.1137337,353.8715721,353.2200428,352.9473049,356.664075,360.456879,361.8176499,359.1437618,355.3509564,353.7429589,350.4407565,343.067337,342.5537838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64,282,282,282,282,282,285.8,288.7162727,289.1837424,277.098271,267.99942,264.7993346,261.2951481,261.9955944,265.1895235,269.9606292,275.6962092,283.2943724,291.9667916,301.0878028,309.9994882,318.8899451,326.9592402,332.5109761,336.8842798,338.3766085,338.0945181,335.1796625,333.4888924,328.4024601,321.0919443,316.3522934,307.6968302,299.2601276,289.6577483,274.7274468,278.8955235,283.9463888,293.069935,302.8418586,310.6989607,314.2240782,319.3448478,329.4740728,340.9134582,351.3172891,350.6837367,350.519473,354.2244857,357.8460399,359.1577221,356.5408158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65-69,208,208,208,208,208,217,227.012795,237.5868168,258.199794,270.2005183,274.8999854,277.2951133,277.2939987,266.5889995,258.6619178,255.4963329,252.6951489,253.1718881,256.1897035,261.3997392,267.2911112,274.2658377,283.4101791,292.2866069,300.679506,309.8950841,317.4810118,323.4897066,327.6028855,328.5922033,326.2362683,321.4696147,318.7289547,316.8851518,311.5972702,305.1952258,297.0715945,290.2779212,280.9253745,266.6712014,270.7908705,275.7287806,284.4518757,293.6714171,301.2186225,304.7354523,309.7876641,319.5197893,330.4525142,340.5793847,340.0613001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70-74,176,176,176,176,176,180.3,183.2103262,184.2899417,187.1992117,192.9999592,201.6998431,211.5963896,222.0964444,241.5915645,252.9644381,257.9989649,260.3964163,260.4704268,250.9895161,243.1992206,240.7919761,238.1707114,239.5094046,242.2891301,247.7834356,252.9957551,259.6849063,268.8920057,277.6028885,285.3937123,290.9938642,294.6999211,300.4962341,307.4463614,311.3356687,307.359881,303.1651222,302.0726036,300.3590292,295.6685068,289.7630389,282.2261959,275.851465,267.0431258,253.8051404,257.9625408,262.8596153,271.1885288,279.8692783,287.1095546,290.7050112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-79,145.3,145.3,145.3,145.3,145.3,145.5,146.108235,148.1915469,151.0995578,155.7001166,159.5999468,163.3972174,164.7972393,167.1934526,173.874913,181.9983663,190.9969707,200.6779585,218.3936088,229.1017179,233.7947434,236.5717468,236.6086697,227.7901149,221.7853652,219.7968727,218.388053,218.7941971,222.3028326,226.7955617,234.2456392,240.363389,248.3923371,257.6211441,264.5787356,268.369601,272.1392925,278.9671126,285.4967437,289.4460728,286.1393198,282.6360892,281.9537919,280.778095,277.0277556,271.9046257,265.275858,259.6834472,251.8162903,240.1493338,244.4893244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-84,106.6,106.6,106.6,106.6,106.6,108,109.7061833,111.593284,113.7996935,115.000105,116.3999614,118.4979725,120.4980613,124.1954915,128.781951,133.1001923,136.7990637,138.4858911,141.3958719,147.201516,154.3962101,162.3814042,170.808753,186.3932573,196.3886186,200.5994321,203.0896506,203.9953693,196.9032854,191.6967444,194.7818302,196.1352193,198.4530904,201.0664217,201.3533117,206.9305991,212.602326,220.8972536,229.0673254,235.3441462,239.1148589,242.8523536,249.2637037,255.4558124,259.3343358,256.8766344,254.3079175,254.2891679,253.6846119,251.14594,247.068613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-89,66.7,66.7,66.7,66.7,66.7,68.3,68.80387795,68.99565394,69.39982818,70.70007285,72.49996922,74.49871799,76.69886629,79.19729319,81.18890147,83.40090795,85.40004476,88.79155087,92.29868646,96.60224325,100.9986329,103.9890283,105.4063167,109.0965582,113.5940076,119.4998091,125.9945466,133.2982276,145.3038391,153.8982713,153.3767839,151.6581809,150.846718,150.3982475,148.4744155,149.9407344,151.0747834,153.7876797,155.9540489,156.5117705,161.2033058,165.9039066,172.5912327,179.2353754,184.226912,187.5157347,190.7716911,196.1143325,200.9897438,204.3952264,202.6771414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90+,29.7,29.7,29.7,29.7,29.7,30.7,33.1018657,36.09737271,38.69995607,40.30013084,42.10007456,44.59932621,46.0996599,48.29855951,50.1936192,52.7021973,55.30164406,58.19607405,61.40132909,64.40374726,67.10070603,70.79437356,75.20754925,79.39961246,84.99778817,89.50258235,94.39855157,97.80119495,103.0053017,108.6012427,117.4860379,125.101204,133.1554228,141.4419599,148.4995552,150.8362732,153.1027308,157.6608209,162.1051253,165.591827,168.2630684,170.7308241,175.450298,180.5041027,183.8980861,189.4888419,194.7414088,202.3930465,209.6955966,215.796972,222.0746088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,4429.9,4429.9,4429.9,4429.9,4429.9,4463.7,4501.853735,4538.146215,4574.782575,4610.599381,4646.794816,4683.616793,4719.515215,4759.417228,4797.510121,4837.259333,4873.527571,4912.261949,4951.525809,4989.420776,5028.367685,5064.902672,5100.716822,5136.298033,5174.384444,5209.855417,5240.234486,5275.08232,5304.79747,5332.626902,5374.445606,5380.087538,5422.960772,5485.119052,5490.68065,5496.266842,5501.890584,5567.815516,5626.904733,5632.694855,5638.562345,5644.513117,5709.36165,5765.982392,5772.186802,5778.464903,5784.813802,5848.273967,5902.011838,5908.549382,5915.132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
