Year,BirthMProj,BirthFProj,BirthMExp,BirthFExp,DeathMProj,DeathFProj,DeathMExp,DeathFExp,MigMProj,MigFProj,MigMExp,MigFExp
0,399.337,380.15,398.406,380.393,341.504857507,381.883641317,264.194,291.097,171.528857507,196.431641317,98.618,104.562
1,397.957,379.482,398.055,379.434,340.219269449,377.075326241,263.079,287.835,181.003196377,192.388042456,95.998,102.182
2,397.599,378.634,398.532,379.102,340.733012575,376.564215276,262.44,284.978,167.255455019,195.539595299,93.378,99.802
3,397.636,379.072,399.638,379.554,340.267870874,376.268410475,262.279,282.529,178.320383523,185.196512273,90.76,97.422
4,398.758,381.193,401.754,380.608,341.271389567,374.646342795,262.568,280.477,171.559475875,187.75788831,87.628,95.04
5,401.588,383.318,404.607,382.624,342.31822351,372.671276907,263.264,278.775,164.781231345,189.40899305,87.628,92.372
6,405.269,386.09,407.145,385.341,342.43089338,369.483976478,264.351,277.406,166.964255581,182.915022007,87.628,92.372
7,407.28,388.394,409.169,387.755,341.288433113,365.897371054,265.816,276.334,166.222039379,180.869209993,87.628,92.372
8,408.782,389.797,410.608,389.685,343.942652903,365.415306251,267.682,275.605,171.126596493,184.074031809,87.628,92.372
9,410.294,391.312,411.444,391.053,347.222637138,363.962224517,269.933,275.237,161.948659236,177.701761662,87.628,92.372
10,411.504,391.932,411.736,391.852,349.364822799,361.820058935,272.512,275.225,167.584696399,178.720223159,87.628,92.372
11,411.329,392.27,411.574,392.13,352.703965627,360.506034267,275.451,275.615,172.886931029,178.80960874,87.628,92.372
12,411.29,391.947,411.077,391.975,354.784542128,360.277402709,278.731,276.401,159.630837337,179.081094559,87.628,92.372
13,410.713,391.489,410.362,391.502,359.696530811,361.832273759,282.342,277.567,169.317995765,173.663184452,87.628,92.372
14,410.217,391.212,409.526,390.821,365.347658645,364.601683045,286.226,279.152,170.530067599,179.723948527,87.628,92.372
15,409.415,390.029,408.672,390.026,370.609121048,366.167179864,290.38,281.166,178.768017577,177.04750892,87.628,92.372
16,408.53,389.16,407.832,389.21,373.199072227,366.800589294,294.712,283.578,162.82955415,172.543662858,87.628,92.372
17,407.848,388.698,407.063,388.411,374.633984814,367.75137952,299.223,286.411,173.235598119,173.294106419,87.628,92.372
18,407.087,388.055,406.424,387.679,381.041595822,370.847884098,303.901,289.648,171.383555223,172.812409419,87.628,92.372
19,406.255,387.638,406.008,387.071,387.27006743,375.993340978,308.58,293.249,162.85267897,179.289166762,87.628,92.372
20,405.569,387.365,405.901,386.674,391.881205882,380.567429558,313.282,297.224,177.392745944,171.969364791,87.628,92.372
21,405.736,387.244,406.187,386.572,396.302554135,382.620134022,317.991,301.557,165.109415013,176.54549211,87.628,92.372
22,405.775,387.492,406.943,386.847,399.870942428,385.01016699,322.641,306.219,173.311661235,164.254245751,87.628,92.372
23,406.093,388.013,410.1,387.566,406.654023156,390.375872352,331.44,311.224,172.22700952,173.585541013,87.628,92.372
24,407.520459051,388.892314962,410.1,390.572,403.88382111,389.533287306,331.44,321.501,169.255013333,167.762121515,87.628,92.372
25,409.613790199,390.911777126,410.1,390.572,415.416211873,401.557310165,331.44,321.501,169.202844685,166.771017051,87.628,92.372
26,409.523490039,390.847301225,410.1,390.572,423.370573128,410.049868308,331.44,321.501,169.150676038,165.779912587,87.628,92.372
27,412.646842974,393.849845536,419.822,399.83,433.467641045,420.523869729,347.054,340.776,169.09850739,164.788808122,87.628,92.372
28,417.468908533,398.473909447,419.822,399.83,424.044246779,431.745734152,347.054,340.776,169.046338743,163.797703658,87.628,92.372
29,417.98969876,398.992418939,419.822,399.83,430.894798814,436.959451961,347.054,340.776,168.994170095,162.806599194,87.628,92.372
30,418.609169812,399.604854617,419.822,399.83,436.985362251,441.340268564,347.054,340.776,168.942001448,161.81549473,87.628,92.372
31,419.210641554,400.199818518,419.822,399.83,442.436319688,424.631739136,347.054,340.776,168.8898328,160.824390265,87.628,92.372
32,424.334662198,405.112236368,430.57,410.067,452.162464109,434.406342043,362.436,360.355,168.837664153,159.833285801,87.628,92.372
33,428.731853363,409.331010201,430.57,410.067,439.997242303,443.196362639,362.436,360.355,168.785495506,158.842181337,87.628,92.372
34,428.744621481,409.363773413,430.57,410.067,445.765081399,447.184059497,362.436,360.355,168.733326858,157.851076872,87.628,92.372
35,428.583454839,409.230215119,430.57,410.067,451.144725605,450.780046574,362.436,360.355,168.681158211,156.859972408,87.628,92.372
36,428.24953263,408.931395595,430.57,410.067,456.190933461,433.788281142,362.436,360.355,168.628989563,155.868867944,87.628,92.372
