OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,67146, 160971, 0.5,0.5,0.5,0.5,21430.7388767,17964.8610635,27131.5820349,27615.3370273,21688.858944,18335.7436364,12252.7010585,8778.38841537,5772.56828526,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,81227.5944715,79743.1848704,0.5,0.5,0.5,
29UL,48513, 109860, 0.5,0.5,0.5,0.5,11398.4870987,11597.1719689,12290.2064774,12085.8376869,13161.6983662,15666.0081255,14173.9266428,12159.7045861,7326.85498772,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,54434.8393809,55425.0565593,0.5,0.5,0.5,
00MA,51914, 119939, 0.5,0.5,0.5,0.5,14896.5974533,14297.5499615,14293.0483768,17246.5721279,17612.1174906,17577.4344636,11794.94633,7734.29520042,4486.39663583,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59842.0868598,60096.8711801,0.5,0.5,0.5,
00MG,109684, 268003, 0.5,0.5,0.5,0.5,37804.689453,33689.8933504,29822.1460962,42086.6843307,38681.7637426,34666.1270931,26322.4742944,16376.1779184,8552.580525,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,132573.907985,135428.628818,0.5,0.5,0.5,
00MF,70339, 161909, 0.5,0.5,0.5,0.5,19576.2331236,20396.3689359,15947.7668618,19880.8297405,24118.7711007,23775.6461876,17159.2782767,13315.2672458,7739.23523122,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80192.8179544,81716.5787494,0.5,0.5,0.5,
00ME,63620, 149663, 0.5,0.5,0.5,0.5,17815.8765304,18263.2604541,14954.4851968,19912.0648081,21863.9763285,21045.7574099,15417.4218607,12332.8580994,8057.0894092,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,74317.8367212,75344.9533758,0.5,0.5,0.5,
00MD,53683, 150809, 0.5,0.5,0.5,0.5,23963.756308,19725.4826832,19800.2930953,27466.341958,21832.3911804,16756.7852549,11182.7638961,6170.63629127,3910.44035403,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,76150.7281055,74658.1629158,0.5,0.5,0.5,
29UD,43579, 104300, 0.5,0.5,0.5,0.5,13675.1875386,12130.3451442,12898.4596048,15950.8010556,14393.5336255,13912.9973987,9486.30798557,6964.55300804,4887.85854207,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,51645.0473505,52654.9965526,0.5,0.5,0.5,
29UE,49848, 111719, 0.5,0.5,0.5,0.5,11431.4675634,12197.0454393,12054.0368585,11850.8193941,13229.0576845,16493.6659299,14864.1884648,12480.1427978,7118.56599615,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,55008.6868807,56710.3032476,0.5,0.5,0.5,
29UG,43766, 105682, 0.5,0.5,0.5,0.5,13080.8768757,12930.6823194,13191.2078453,14049.0432635,13822.5905908,14395.1185652,10509.2947786,8411.38181212,5291.42233443,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,52125.6564738,53555.9619113,0.5,0.5,0.5,
29UN,63732, 138969, 0.5,0.5,0.5,0.5,15956.6713779,15997.3889145,16121.278078,15250.3959285,15826.1940928,18822.8526186,17214.0869416,14951.2758279,8828.52815072,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,67266.6574443,71702.0144863,0.5,0.5,0.5,
29UB,50906, 124943, 0.5,0.5,0.5,0.5,15245.5841023,15362.0106789,14055.4653609,14651.1662139,16384.0436829,17875.4940493,13665.1642048,11366.5911187,6337.08667758,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60782.8977154,64159.7083739,0.5,0.5,0.5,
00ML,125810, 283051, 0.5,0.5,0.5,0.5,28112.1693131,29003.3437835,52458.3865796,44731.6658029,40833.0078622,36608.903574,23390.9891808,16822.7777781,11089.4304941,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,143088.87246,139961.801908,0.5,0.5,0.5,
00MS,111179, 246526, 0.5,0.5,0.5,0.5,29058.6225065,27342.978376,52010.3170194,37429.0711393,28700.3107713,27137.1774172,20298.1826945,14891.2743968,9657.82153819,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,125749.300128,120776.455731,0.5,0.5,0.5,
42UH,57825, 114613, 0.5,0.5,0.5,0.5,11598.3871684,11895.9994866,12054.9071115,11817.6073782,12994.2156054,15964.335368,14959.1774239,14290.8644877,9037.2301572,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,56003.611173,58609.1130139,0.5,0.5,0.5,
47UF,52976, 117265, 0.5,0.5,0.5,0.5,11008.4027089,12228.6325345,11454.4310377,11419.1902825,14820.8337995,18466.7213291,16336.5972798,13629.7685771,7900.59059692,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,57642.6595178,59622.5086282,0.5,0.5,0.5,
00MW,68922, 137781, 0.5,0.5,0.5,0.5,12488.197046,14130.3932065,13918.0791661,13748.4866636,15755.3102789,20532.3679408,19347.7262745,17560.0289524,10300.4327172,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,67626.9400701,70154.0821758,0.5,0.5,0.5,
11UB,74795, 185667, 0.5,0.5,0.5,0.5,22472.0139359,22427.3086665,19784.155791,23210.9128426,25856.6192556,27937.9261933,20510.5473016,14982.7740309,8484.3048736,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,91984.356077,93682.2068139,0.5,0.5,0.5,
SCOT,-1000, 5360763, 0.5,0.5,0.5,0.5,546051.13715,562124.229341,713750.501952,695060.083934,683746.793558,786329.134852,634035.887967,465846.100089,273818.782597,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2609111.62368,2751651.02776,0.5,0.5,0.5,
29UH,66120, 163838, 0.5,0.5,0.5,0.5,18712.8109566,18595.422192,18957.9646676,21076.8917403,21637.3839963,23244.3801003,18098.5826409,14863.2581392,8651.61327671,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80934.9427831,82903.3649268,0.5,0.5,0.5,
42UC,28231, 64528, 0.5,0.5,0.5,0.5,8813.58789717,6899.13072477,9434.06483941,10013.9529382,7106.08942213,7575.66647775,6475.49839545,5214.78079914,2995.6157945,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,32338.2176311,32190.1696575,0.5,0.5,0.5,
42UB,40930, 87156, 0.5,0.5,0.5,0.5,8033.13383871,10163.2235004,7820.86896137,8222.78532884,10997.6270999,12973.0614038,12088.100219,10750.736703,6106.09315378,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,42406.4791059,44749.1511029,0.5,0.5,0.5,
