OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,85968, 174828, 0.5,0.5,0.5,0.5,18773.6180218,19422.27093,24479.9182314,22151.8829574,21146.88513,18876.8126344,16684.2233322,16066.8005895,17225.9688759,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,88440.7152939,86387.6654087,0.5,0.5,0.5,
29UL,62668, 121812, 0.5,0.5,0.5,0.5,9403.86759589,10096.0640445,10069.6117725,11686.9222754,12971.6926587,13607.2753992,16542.8861854,16967.5120587,20466.4645054,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61917.7342138,59894.562282,0.5,0.5,0.5,
00MA,69201, 115998, 0.5,0.5,0.5,0.5,10232.7401085,11842.2331868,10091.4238511,13336.4026823,14828.1087689,14648.6410964,13934.0899157,13447.2566823,13637.0915901,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60181.6010406,55816.3868415,0.5,0.5,0.5,
00MG,172151, 278561, 0.5,0.5,0.5,0.5,26271.2566252,29058.5738588,18614.174103,29988.5955812,35825.4408444,32572.3367438,32164.0330229,34237.6477292,39829.0754789,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,139422.962772,139138.171215,0.5,0.5,0.5,
00MF,103433, 143435, 0.5,0.5,0.5,0.5,9995.8868718,13444.9729412,6536.81267333,12415.9872088,18018.316333,18154.7753681,18217.4222852,19780.568912,26870.4423039,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,75443.1691753,67992.0157221,0.5,0.5,0.5,
00ME,90910, 151217, 0.5,0.5,0.5,0.5,13233.9438598,15617.1714399,8727.18514415,15187.3380018,18273.5173856,18261.0402458,17758.5648188,18349.5005747,25808.8799831,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,73948.2653617,77268.876092,0.5,0.5,0.5,
00MD,83383, 160664, 0.5,0.5,0.5,0.5,19789.8344279,20063.0330486,16255.2375836,20901.9554695,21415.421892,17822.0364106,15686.5078409,15464.3232098,13265.3237294,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,81865.6274581,78798.0461543,0.5,0.5,0.5,
29UD,71113, 121827, 0.5,0.5,0.5,0.5,12060.0925652,12339.2438703,10972.7567625,14715.1101259,15307.5502412,14575.4163344,13854.634042,12545.2913768,15456.8010365,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61001.7004102,60825.1959447,0.5,0.5,0.5,
29UE,61458, 121509, 0.5,0.5,0.5,0.5,9089.22001049,10432.9179646,10513.5865794,12046.6417951,13048.2027198,13434.3785845,15382.4333075,16347.3163494,21214.6795052,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61901.6645553,59607.7122606,0.5,0.5,0.5,
29UG,57136, 128446, 0.5,0.5,0.5,0.5,12378.1280545,13418.5228493,12077.4227323,14144.5013387,14996.5479082,14766.2267196,14381.5048005,14058.4900611,18224.2589951,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,63815.7777859,64629.8256734,0.5,0.5,0.5,
29UN,79151, 157751, 0.5,0.5,0.5,0.5,12885.3064343,15271.3444892,13902.9718065,15107.9043194,16570.6263422,17376.0050225,20623.9701577,21963.9818468,24048.458479,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80487.9527974,77262.6161004,0.5,0.5,0.5,
