OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,107561, 222078, 0.5,0.5,0.5,0.5,27588.8435843,28754.4280208,39201.5997525,31215.4434542,28300.1785046,22596.3848414,14920.841111,10927.0104062,18573.5670424,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,114501.976702,107576.320015,0.5,0.5,0.5,
29UL,94818, 180235, 0.5,0.5,0.5,0.5,17972.6582556,17799.0686512,15517.4634525,16774.4404642,18595.0046295,18116.0821749,21759.1262202,22527.3866971,31174.0555147,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,91668.7778332,88566.5082267,0.5,0.5,0.5,
00MA,92617, 174273, 0.5,0.5,0.5,0.5,19684.7114087,21600.6789254,17616.0781218,21045.0409732,22666.5040738,20613.7255757,16656.9900431,15014.8125034,19374.03242,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,89990.044118,84282.5299272,0.5,0.5,0.5,
00MG,213042, 415146, 0.5,0.5,0.5,0.5,50925.7381929,53886.2215168,34185.4825,47685.6392755,55639.1083225,46027.7026128,37014.316797,38114.6205314,51666.8171791,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,207606.159835,207539.487093,0.5,0.5,0.5,
00MF,137626, 231983, 0.5,0.5,0.5,0.5,24641.2783878,29513.8795759,14987.5627207,22258.2387762,30337.654224,27136.6754007,22591.7057486,23409.4221551,37106.355717,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,120702.134272,111280.638434,0.5,0.5,0.5,
00ME,121864, 227176, 0.5,0.5,0.5,0.5,25974.3464814,29038.8780133,15052.7689277,23829.1712583,28962.2610483,25922.6351388,21318.9948389,21832.2611928,35245.0695188,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,113084.838381,114091.548038,0.5,0.5,0.5,
00MD,94124, 221655, 0.5,0.5,0.5,0.5,32550.0418911,31979.2669309,25901.9632397,30744.8735246,30728.1808346,23608.5185647,16047.994845,14013.7068063,16080.2926133,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,114990.560531,106664.278719,0.5,0.5,0.5,
29UD,91233, 172371, 0.5,0.5,0.5,0.5,20116.9245606,20353.3567819,17419.5291533,22375.0201018,23166.7989217,19365.7227582,16062.2502588,14286.2482685,19225.5843072,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,86943.1792255,85428.2558865,0.5,0.5,0.5,
29UE,89541, 174436, 0.5,0.5,0.5,0.5,18612.8060032,18993.9596176,15849.9375622,16587.0626486,17641.0955111,16905.4265008,19137.6951756,20824.2043395,29883.5692368,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,88623.9245961,85811.8319993,0.5,0.5,0.5,
29UG,76199, 176266, 0.5,0.5,0.5,0.5,21913.7890416,22659.0355948,18621.7390274,20172.8736208,21373.7978286,19009.0490454,16630.0279136,15688.1506672,20197.1820251,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,88645.5117014,87620.1330629,0.5,0.5,0.5,
29UN,112308, 232994, 0.5,0.5,0.5,0.5,24978.3303738,27809.846882,22539.2366011,21983.1340231,23777.7832218,23119.5219447,26685.9936187,28502.7100833,33597.4420345,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,116522.938211,116471.060572,0.5,0.5,0.5,
29UB,103632, 206608, 0.5,0.5,0.5,0.5,23977.5537424,24877.9820718,17901.8265218,20657.6835356,24235.0140834,22095.6683904,22114.3438359,21739.6784308,29008.281333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,105588.805113,101019.226832,0.5,0.5,0.5,
00ML,196006, 441778, 0.5,0.5,0.5,0.5,43274.7937706,47949.2302534,86444.7747446,63827.7888231,57692.6230393,47514.7857689,35929.9144318,24029.953184,35114.3154323,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,231309.636275,210468.543173,0.5,0.5,0.5,
00MS,178848, 363728, 0.5,0.5,0.5,0.5,41939.6460666,49306.6627528,82899.638786,48495.5775021,40996.2581989,30611.609298,23981.9781046,16051.2076103,29445.4777719,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,192277.524822,171450.531269,0.5,0.5,0.5,
42UH,114992, 177817, 0.5,0.5,0.5,0.5,19523.8907515,19579.0916525,16385.139738,17452.8958374,17332.4020051,15590.5294935,18771.4478317,21127.5982023,32054.357581,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,89905.6936015,87911.6594914,0.5,0.5,0.5,
47UF,94620, 174748, 0.5,0.5,0.5,0.5,16980.117763,17741.1273747,14903.8819579,16650.526428,19562.2863361,18646.6593207,19854.9751543,19999.123827,30409.732409,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,88728.6505642,86019.7800064,0.5,0.5,0.5,
00MW,139577, 219304, 0.5,0.5,0.5,0.5,20944.2503218,21995.3379012,18614.06752,20117.6054483,21890.3538808,21465.3193886,25926.413895,27740.9687864,40609.503429,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,111835.313896,107468.506675,0.5,0.5,0.5,
11UB,133689, 286256, 0.5,0.5,0.5,0.5,31456.6271587,34317.3386152,21714.8442177,28686.4868204,35075.196139,32224.3617389,29893.1324654,30104.7676614,42782.9299997,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,144345.057795,141910.627022,0.5,0.5,0.5,
SCOT,-1000, 7204381, 0.5,0.5,0.5,0.5,849406.867887,848420.368156,849823.023822,872357.3569,881443.18721,728872.684769,721082.421018,677525.281016,775450.211795,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3598559.12876,3605822.27381,0.5,0.5,0.5,
29UH,124379, 270399, 0.5,0.5,0.5,0.5,29008.5158669,30098.4515674,25775.1931234,29613.7605561,32658.6859051,29057.3761553,27307.8775401,27814.2575146,39064.4136427,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,136990.393774,133408.138098,0.5,0.5,0.5,
42UC,51681, 98524, 0.5,0.5,0.5,0.5,11395.6110757,12073.2585013,11615.7841935,10467.4010427,9804.68573174,8850.37236356,10181.098133,10263.7731163,13872.4950787,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,49399.2912893,49125.1879473,0.5,0.5,0.5,
42UB,75868, 147839, 0.5,0.5,0.5,0.5,15013.5508327,16889.9464942,12203.0368334,13149.4132086,16319.9708536,15526.9187244,15889.525758,16741.8646842,26104.8314507,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,71928.7489533,75910.3098866,0.5,0.5,0.5,
42UE,100347, 157814, 0.5,0.5,0.5,0.5,15552.4883487,17562.9195321,12631.5181883,14236.6443827,16405.7807024,16052.7899051,18007.7161375,19219.9360396,28144.1985454,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80754.4327292,77059.5590527,0.5,0.5,0.5,
42UD,127896, 196931, 0.5,0.5,0.5,0.5,24753.4709251,24812.5535988,25576.0437802,25652.2833883,23884.2622567,18529.6254437,16222.199591,15610.9639333,21889.5317202,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100617.591133,96313.3435039,0.5,0.5,0.5,
42UG,135052, 197266, 0.5,0.5,0.5,0.5,19332.8880951,21055.9513801,14664.9441399,15568.5247414,18943.0052613,19239.2456891,22668.0540504,25732.5906033,40060.6301553,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,99196.1569792,98069.6771367,0.5,0.5,0.5,
42UF,92041, 173800, 0.5,0.5,0.5,0.5,18189.7335,18974.3137448,17291.0511428,18815.5205981,20170.4547386,16591.5498536,15941.4419836,16686.9143202,31139.216648,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,89993.3266626,83806.8698671,0.5,0.5,0.5,
00FP,28670, 59090, 0.5,0.5,0.5,0.5,5766.24558644,7922.28996487,3541.66930434,5896.6380039,6452.05631573,5424.3881382,6215.36990954,6629.28158058,11242.3720653,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,31812.9779623,27277.3329065,0.5,0.5,0.5,
23UB,96835, 176582, 0.5,0.5,0.5,0.5,17888.3762149,20153.6056191,25537.5374277,22131.3107874,21426.9505169,17728.8866891,14902.0107818,13626.3220785,23186.8872732,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,89863.4786214,86718.4087672,0.5,0.5,0.5,
23UC,74368, 127519, 0.5,0.5,0.5,0.5,11841.4498795,14346.7576992,11521.2677042,10790.2007981,12874.4958309,12856.9586823,13904.0267667,14998.7647533,24385.0280351,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62643.2634415,64875.6867078,0.5,0.5,0.5,
29UK,92132, 203204, 0.5,0.5,0.5,0.5,25213.6142632,24326.480186,14958.3860604,19978.6083836,24924.1517435,22799.685937,21571.2298077,21695.3616685,27736.4715578,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100298.144295,102905.845313,0.5,0.5,0.5,
