OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,71239, 172834, 0.5,0.5,0.5,0.5,23839.3659895,21856.4703014,31759.8119141,25882.188433,18745.2548556,17316.5794602,14615.6027417,10031.3288405,8787.70533967,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,88284.2333474,84550.0745283,0.5,0.5,0.5,
29UL,57379, 125275, 0.5,0.5,0.5,0.5,14068.9645676,13503.9302344,10510.7438265,13364.2535305,13643.4721581,15140.7513159,18267.3906125,14433.1919704,12342.4580656,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62166.6901309,63108.4661506,0.5,0.5,0.5,
00MA,59528, 136790, 0.5,0.5,0.5,0.5,18041.4439273,17772.6146915,14124.7788193,19552.8779467,18260.3449625,17030.7969078,14802.2957533,9827.28689088,7377.42408669,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68729.4118992,68060.4520868,0.5,0.5,0.5,
00MG,130146, 316505, 0.5,0.5,0.5,0.5,47027.4246309,43428.1401395,29049.5615095,46413.6510781,43671.2528334,36148.1673046,31858.1522861,23001.7025385,15907.4372394,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,156728.246579,159777.242981,0.5,0.5,0.5,
00MF,84421, 187219, 0.5,0.5,0.5,0.5,24799.0367907,25818.9941369,13403.6233108,23040.5430244,26069.9918082,23631.5886328,20790.3542889,15422.363728,14242.5204895,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,93401.9548756,93817.0613346,0.5,0.5,0.5,
00ME,75330, 172313, 0.5,0.5,0.5,0.5,22433.5175475,23040.6226799,12755.5627246,22830.2478224,23658.1754949,21469.5073661,18559.3406078,13708.4179727,13857.8326449,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85741.1869574,86572.0379034,0.5,0.5,0.5,
00MD,60318, 173136, 0.5,0.5,0.5,0.5,28552.1629372,24239.443959,21659.2242614,29975.823081,23951.5734824,18220.5244302,13383.7465489,7959.4154835,5193.75981044,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,88915.5279463,84220.1460478,0.5,0.5,0.5,
29UD,52541, 123383, 0.5,0.5,0.5,0.5,17872.0076563,15528.0246787,13044.8280553,19333.3314331,16493.366708,14079.6377443,11984.3534835,8112.73662087,6935.10162897,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61666.9969005,61716.3911086,0.5,0.5,0.5,
29UE,57327, 123340, 0.5,0.5,0.5,0.5,13856.9749326,13850.2157415,9635.0982131,12500.2367995,12812.2534181,15114.102126,18646.340234,15055.8877743,11868.8322871,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61164.1250167,62175.8165095,0.5,0.5,0.5,
29UG,49951, 120379, 0.5,0.5,0.5,0.5,16635.8427362,15671.48295,12278.0454205,16076.7720905,15186.3063775,14167.8629813,12989.5313107,9235.69822756,8137.51891333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59624.3397011,60754.7213065,0.5,0.5,0.5,
