OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,94510, 204397, 0.5,0.5,0.5,0.5,27568.5481791,25600.0295352,36060.9430563,32161.0839003,23918.1882112,18301.9018709,12532.0893783,10873.4068232,17381.1796453,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,105506.887265,98890.4833346,0.5,0.5,0.5,
29UL,81879, 159818, 0.5,0.5,0.5,0.5,16433.9940461,15215.6021025,13931.9470963,16363.1986078,15374.9778661,16190.8407461,20947.1443865,19069.2029032,26290.6187344,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80564.3759676,79253.1505213,0.5,0.5,0.5,
00MA,80443, 164986, 0.5,0.5,0.5,0.5,20254.6468196,20188.425803,16883.0130467,22152.3401958,20336.3684961,18552.7998227,16833.8360697,12932.4810725,16852.1684005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,84129.3781486,80856.7015779,0.5,0.5,0.5,
00MG,183006, 394911, 0.5,0.5,0.5,0.5,53545.4154881,49725.8211397,34278.2668698,52957.2253924,48849.8022608,40981.1619984,40661.1222445,32805.7526061,41106.4023216,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,196507.414764,198403.555557,0.5,0.5,0.5,
00MF,118390, 223180, 0.5,0.5,0.5,0.5,26815.9657388,27850.3954673,15919.7418787,25381.5893329,27386.944022,24732.4374666,24355.4735538,20727.2781039,30010.6002531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,114204.505638,108975.920179,0.5,0.5,0.5,
00ME,105181, 211630, 0.5,0.5,0.5,0.5,25899.1628838,25921.5835228,15202.0779895,25883.9155095,25406.8306378,23018.4201729,22998.0305006,18909.5325281,28390.8715096,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,105541.855493,106088.569761,0.5,0.5,0.5,
00MD,81452, 211985, 0.5,0.5,0.5,0.5,33144.9476183,28915.1110231,24668.5020781,33565.3506258,27444.7957851,21553.0212125,17747.5038826,11977.214821,12969.0444914,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,110276.394155,101709.097383,0.5,0.5,0.5,
29UD,77383, 159774, 0.5,0.5,0.5,0.5,20572.9114925,18735.0071475,16787.8884978,22974.2045633,19982.5284913,17529.2272832,16268.1776236,11270.236378,15653.8181131,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80407.4702776,79366.5293125,0.5,0.5,0.5,
29UE,78331, 153012, 0.5,0.5,0.5,0.5,16416.9643689,15686.1608064,13621.2549674,15400.232419,13932.4792396,14770.3748649,19165.2989316,18225.1092346,25794.0820404,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,76778.0709784,76233.8858944,0.5,0.5,0.5,
29UG,66676, 156533, 0.5,0.5,0.5,0.5,20641.6518206,19475.870925,16474.5518369,19781.1763284,17792.8159246,16776.2223275,16596.8135169,12550.6596079,16442.9755073,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,78351.017003,78181.720792,0.5,0.5,0.5,
