Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,265.071962678,268.673602465,271.550206441,273.961495624,277.289510676,277.80556468,277.994573203,278.173857276,278.008216497,277.699234077,277.486484727,276.451665542,275.87735151,275.379096274,274.507449825,273.865961196,273.166211628,272.772026301,272.693455594,272.632659627,273.459633021,274.257695039,275.198384735,276.663802093,276.345965479,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,252.269476021,257.074147914,260.135948384,263.665368784,264.91069881,269.282737203,272.615033672,275.690830048,278.033153984,281.091117345,281.606064125,282.062012228,282.240252142,281.939872102,281.630008053,281.081122253,280.313302774,279.402874861,278.769579836,278.098141409,277.388604275,277.022478849,276.69401382,276.413001297,276.450214354,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,235.621952152,236.690057449,240.03746754,245.260930431,251.556013234,255.55712034,260.160154021,263.623027462,267.017294688,268.395269316,272.430208141,276.16236758,278.901123912,281.375244124,284.832751603,285.145689322,285.466527277,285.442507094,285.409257848,285.031518173,284.414485532,283.44464345,282.600223153,282.166912266,282.213760933,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,267.442209229,262.659865809,257.082035388,250.439531212,245.209704708,244.601568322,245.200561173,249.082897814,254.505131266,260.730015939,265.465219723,269.863933922,273.591712342,276.982732158,278.625085685,282.387804209,285.780396045,289.183937732,291.452229211,294.904123099,295.214384811,295.599608799,295.706922222,295.80486138,296.362076085,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,301.884361316,298.25905598,294.170664267,290.424370746,286.351214811,281.63453927,276.992995678,271.420814286,264.783009825,259.958733663,260.084005335,261.348825479,265.225586886,270.977423407,277.396411213,281.722210259,286.514965386,290.033361944,294.153899793,295.655719398,299.475292238,303.058354036,306.115565995,308.573848777,311.840540318,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,271.836857196,276.443587306,282.123718267,287.06656178,290.064193134,288.651136008,284.963722873,281.080067968,276.934450052,273.399256085,268.818969593,264.715685771,259.28021684,253.181803095,248.42782784,248.413641806,249.470465261,253.13750731,258.076071566,263.680873634,267.995594874,272.374960992,275.346271584,279.121113421,280.121432693,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,266.019638148,266.410371398,267.009674549,267.883707103,269.96877006,274.495249866,278.485545152,284.149530348,288.872196895,292.049756921,290.631600322,287.007052558,282.585247186,278.976599579,274.84004305,270.863645212,266.561438506,261.262394258,255.168426863,251.157656788,250.798306588,251.976917024,254.95947863,260.08341629,262.823651993,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,251.157150349,254.370140846,258.462542903,263.499332337,267.869837058,269.246877975,269.557199966,270.140145554,270.726741587,272.65545534,277.21500578,281.571593724,286.864689585,291.550652619,294.556004689,293.327538951,289.694298607,285.065318664,281.390852053,278.197572127,273.283117404,268.849264666,263.822530449,257.936664519,256.497092761,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,291.973864995,282.790600741,271.294597116,259.627583511,251.471942947,252.245267496,255.432591197,259.692498081,264.35398518,269.148142429,270.01751037,270.156232173,270.703748049,271.658937501,273.686164522,277.990265425,282.489942571,287.855513757,292.818584237,295.500979105,293.789681941,289.61130036,285.916538605,282.042721913,279.312730352,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,317.942715954,313.55023328,311.071262539,306.813128168,301.575879174,291.128335637,281.71723724,269.988444075,258.552557867,250.690454245,251.227580182,254.507923752,258.723456334,263.406373916,268.419883264,269.651760119,269.750937441,270.391533947,270.974937885,273.301922256,277.203769377,281.433701132,286.86312053,291.754181236,292.83743205,
50-54,289.1,289.1,289.1,289.1,289.1,297.7,303.51890545,309.592300194,313.499556799,316.033998058,317.18530216,314.723993365,310.622820585,307.891194024,303.976082435,298.611018854,288.12996269,279.296675245,268.020340056,256.776970008,248.703873256,249.40917906,252.844293204,257.402740192,261.622998385,266.50780766,267.28435705,267.601414809,268.526268782,269.59555667,269.868750315,
55-59,254.2,254.2,254.2,254.2,254.2,257.9,263.066365832,269.214869291,276.745093435,284.439679266,291.75201381,298.136761359,303.615964728,307.645274062,310.082363885,310.854326132,309.097690427,304.570446866,302.100912377,298.197276501,293.120050424,283.375155312,274.416436009,263.154453634,252.474416623,244.367058404,245.217381327,248.575785893,253.1045691,257.686536332,258.002143956,
