Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,264.242229376,265.531729201,265.651130802,265.060737383,265.699128677,266.056971866,266.084191705,266.147759874,265.842449058,265.456954761,265.259722906,264.050223877,263.690372293,263.281021101,262.369789471,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,254.198815108,260.12536276,263.485378167,267.546901537,268.146962426,270.764772736,271.688859194,272.050906002,271.322763643,271.596860871,271.967910173,272.355819607,272.480348248,271.977023672,271.579710548,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,235.015893857,235.548600564,239.512107475,246.278459324,254.588915092,259.31628226,264.978434148,268.88379855,272.708474219,273.544938675,275.67676843,277.161297022,277.085599366,276.559854616,277.422284666,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,269.866541365,266.254244629,261.474265317,255.092900742,250.752922907,248.729534741,248.592740074,253.304061537,260.336302995,268.582755929,274.425005874,279.749693991,284.11898666,287.946969331,289.172290226,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,305.922398585,303.611249076,300.637341796,298.162220944,295.117235593,291.592097179,288.213862443,283.372699875,276.953132925,273.247274757,272.336199333,273.162360833,277.935813468,285.471992196,294.008659453,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,271.875224219,275.422578821,280.606118134,284.69195273,285.813019111,286.853020558,284.478074984,281.741596853,278.623663421,276.416286719,273.104183997,270.482872508,265.902063189,260.284383813,256.666685012,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,267.656990227,268.177536764,269.032322776,270.288571907,273.283414088,276.696534387,279.38037731,284.504833643,288.251015217,289.710584943,290.764911243,288.447942205,284.974976873,282.658232927,279.537501537,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,251.386659113,255.015951738,259.978784925,266.344001766,271.648244817,273.670738397,274.126959697,274.924690022,275.743100913,278.575215799,282.102955522,285.34655102,290.036734205,293.785959041,295.03330346,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,293.468564894,285.247884115,273.561102755,261.572546975,254.72482217,254.694360866,258.355839808,263.563158093,269.391370306,275.432818772,276.76979659,276.986581184,277.847218088,279.268981054,282.290164182,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,320.585783416,316.278036566,314.810438551,310.641789327,304.900695914,294.780502278,286.193247578,274.044220479,262.316488494,255.90276785,255.584745917,259.408131631,264.676242769,270.608299753,277.039434886,
50-54,289.1,289.1,289.1,289.1,289.1,297.7,306.424569299,314.149007378,318.615343938,320.983662824,321.178672837,319.79601152,315.929257966,313.993774232,310.280845778,304.38019825,294.173044943,286.341695451,274.853672001,263.32642214,256.500386671,
55-59,254.2,254.2,254.2,254.2,254.2,257.9,264.141795233,270.683397174,279.262891691,288.047143851,296.167026353,304.507848772,311.476475676,316.178508921,318.503606537,318.342360904,318.075976166,313.563299456,312.098859624,308.387145302,302.871567737,
60-64,258.0,258.0,258.0,258.0,258.0,252.2,250.8844884,248.193719613,247.937133306,250.484279757,254.976355901,259.487013901,267.166666746,275.991091342,284.637595814,292.898832412,300.556495847,308.482097973,312.556510158,315.18540367,315.311155769,
65-69,239.9,239.9,239.9,239.9,239.9,251.6,256.006629676,260.08974968,262.011178363,251.033750688,245.301850744,242.68943527,240.532552846,240.62593318,243.840127476,247.66849923,252.794194984,260.236261033,268.623220169,277.274080907,285.62456668,
70-74,172.2,172.2,172.2,172.2,172.2,177.6,187.610978515,195.844420755,205.808973189,225.381375395,236.402888423,239.842740821,244.668884378,246.643620103,236.137242175,231.14280076,228.945631721,227.155260169,228.103517415,230.82145899,234.840725228,
75-79,140.0,140.0,140.0,140.0,140.0,143.4,147.939492159,150.333636368,150.65423551,152.880990146,159.176690714,167.285573894,175.449002518,184.376398541,203.019529112,213.871716058,217.221031914,221.016994248,223.248893674,213.947541612,209.246119842,
80-84,105.4,105.4,105.4,105.4,105.4,105.9,107.866269232,109.842574127,111.644455664,113.653710156,117.340998679,121.640030473,124.065356046,124.865384206,127.276870114,133.296037872,140.112926822,147.848418613,155.609752234,172.149674893,180.987147117,
85-89,64.5,64.5,64.5,64.5,64.5,64.9,66.4874024503,67.9526804223,71.0391184883,72.9322440327,74.1129212093,76.5038055,78.1163809264,80.4134272748,82.7184066994,86.3277791213,90.1349169103,92.0446338421,92.9693926636,95.1801474763,100.290292054,
90+,34.6,34.6,34.6,34.6,34.6,35.7,37.6628035028,39.7220738907,41.4908884924,42.9634374879,44.6292728424,46.8038438626,48.4045951516,51.5923316581,54.6841050593,56.7784711404,59.1715254021,62.3743030185,65.7859036749,69.6846560458,73.681783,
Total,4287.7,4287.7,4287.7,4287.7,4287.7,4313.1,4359.24352863,4388.02443364,4417.21320934,4444.04067697,4473.9620385,4501.71111928,4527.90175919,4557.21819439,4582.58708996,4613.17315482,4639.17794469,4666.21443768,4692.59807677,4717.79924854,4744.47356754,
Births,na,na,na,na,na,na,52.4,52.3,52.5,52.5,52.6,52.7,52.8,52.8,52.6,52.5,52.5,52.2,52.0,52.0,51.8,
Deaths,na,na,na,na,na,na,48.22728652,49.1523768937,49.1170882928,49.2143368423,49.2980038354,49.3818072117,49.6383373241,49.6158049068,50.2617609077,51.2575486685,51.8166748121,52.0599385802,52.2140304896,52.2654967802,53.2438238922,
Migration,na,na,na,na,na,na,23.12728652,25.3287526504,24.9434754051,22.6638678344,26.7615017448,24.2762869047,22.148695575,26.2214920836,22.7803356276,28.87782124,24.9344622974,26.6761330855,25.6320285064,25.1678282148,27.8427878677,
West Midlands,
0-4,361.2,361.2,361.2,361.2,361.2,361.8,364.575937907,366.385510352,367.036436669,366.573895375,367.612861487,367.678727728,368.216443992,368.466060627,367.658713587,367.378797925,366.982627014,366.369530964,365.425188115,364.612234298,363.796697374,
5-9,337.0,337.0,337.0,337.0,337.0,345.7,352.925577357,357.56020375,361.740769664,366.623357964,366.721879845,368.744596059,370.101214471,370.973453003,369.758757355,370.746894059,371.131022238,371.71454978,371.847738883,371.243370664,370.847358555,
