Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,349.459,349.459,349.459,349.459,349.459,342.838,332.35,326.567,325.497,333.077,345.773,352.094,360.502,371.775,388.2,386.292,401.238,408.681,415.957,422.297,427.539,432.227,436.606,440.575,443.931,446.563,448.462,449.684,450.315,450.504,450.504,450.504,449.533,449.533,449.533,449.533,449.533,450.734,450.734,450.734,450.734,450.734,466.375,466.375,466.375,466.375,466.375,494.199,494.199,494.199,494.199,494.199,519.477,519.477,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713
11,358.042,358.042,358.042,358.042,358.042,349.61,343.076,332.581,326.791,325.713,333.286,345.968,352.289,360.697,371.97,388.394,386.487,401.432,408.874,416.151,422.49,427.732,432.421,436.8,440.769,444.125,446.758,448.657,449.879,450.511,450.511,450.511,450.184,450.184,450.184,450.184,450.184,449.795,449.795,449.795,449.795,449.795,462.103,462.103,462.103,462.103,462.103,488.574,488.574,488.574,488.574,488.574,515.397,515.397,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521
12,355.625,355.625,355.625,355.625,355.625,358.105,349.772,343.228,332.727,326.93,325.844,333.403,346.085,352.406,360.814,372.087,388.509,386.604,401.548,408.99,416.267,422.606,427.848,432.537,436.917,440.886,444.242,446.875,448.775,449.997,449.997,449.997,450.672,450.672,450.672,450.672,450.672,449.336,449.336,449.336,449.336,449.336,458.396,458.396,458.396,458.396,458.396,482.858,482.858,482.858,482.858,482.858,510.798,510.798,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806,519.806
13,356.976,356.976,356.976,356.976,356.976,355.453,358.038,349.698,343.149,332.64,326.835,325.737,333.297,345.978,352.299,360.709,371.981,388.402,386.499,401.442,408.884,416.161,422.501,427.742,432.432,436.812,440.781,444.137,446.771,448.672,448.672,448.672,450.718,450.718,450.718,450.718,450.718,449.125,449.125,449.125,449.125,449.125,455.153,455.153,455.153,455.153,455.153,477.05,477.05,477.05,477.05,477.05,505.579,505.579,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427,515.427
14,365.176,365.176,365.176,365.176,365.176,356.929,355.516,358.092,349.745,343.186,332.67,326.857,325.76,333.32,346.001,352.322,360.733,372.005,388.426,386.524,401.467,408.908,416.186,422.526,427.767,432.457,436.837,440.807,444.163,446.797,446.797,446.797,450.556,450.556,450.556,450.556,450.556,449.367,449.367,449.367,449.367,449.367,452.746,452.746,452.746,452.746,452.746,471.648,471.648,471.648,471.648,471.648,500.155,500.155,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735,510.735
15,371.45,371.45,371.45,371.45,371.45,365.661,357.541,356.118,358.684,350.328,343.759,333.232,327.42,326.324,333.886,346.567,352.888,361.3,372.572,388.993,387.093,402.035,409.477,416.756,423.095,428.337,433.027,437.408,441.378,444.734,444.734,444.734,450.494,450.494,450.494,450.494,450.494,450.355,450.355,450.355,450.355,450.355,451.564,451.564,451.564,451.564,451.564,467.209,467.209,467.209,467.209,467.209,495.037,495.037,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192,506.192
16,385.644,385.644,385.644,385.644,385.644,372.834,367.201,359.071,357.633,360.183,351.814,345.228,334.705,328.895,327.801,335.364,348.045,354.367,362.779,374.051,390.472,388.573,403.515,410.958,418.237,424.577,429.82,434.511,438.891,442.862,442.862,442.862,450.756,450.756,450.756,450.756,450.756,452.291,452.291,452.291,452.291,452.291,451.913,451.913,451.913,451.913,451.913,464.227,464.227,464.227,464.227,464.227,490.703,490.703,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226,502.226
17,391.952,391.952,391.952,391.952,391.952,388.74,376.19,370.531,362.374,360.907,363.429,355.029,348.445,337.925,332.118,331.027,338.59,351.271,357.594,366.007,377.279,393.7,391.802,406.744,414.187,421.468,427.808,433.051,437.743,442.123,442.123,442.123,452.086,452.086,452.086,452.086,452.086,455.897,455.897,455.897,455.897,455.897,454.572,454.572,454.572,454.572,454.572,463.637,463.637,463.637,463.637,463.637,488.105,488.105,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772,499.772
18,391.015,391.015,391.015,391.015,391.015,397.161,394.375,381.779,376.062,367.866,366.352,368.798,360.402,353.821,343.305,337.5,336.411,343.975,356.656,362.981,371.394,382.666,399.087,397.19,412.131,419.574,426.856,433.197,438.44,443.133,443.133,443.133,454.844,454.844,454.844,454.844,454.844,461.437,461.437,461.437,461.437,461.437,459.856,459.856,459.856,459.856,459.856,465.895,465.895,465.895,465.895,465.895,487.797,487.797,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349,499.349
19,398.613,398.613,398.613,398.613,398.613,398.122,404.891,402.032,389.358,383.581,375.317,373.698,376.147,367.755,361.178,350.665,344.862,343.776,351.34,364.021,370.347,378.76,390.033,406.453,404.558,419.5,426.944,434.226,440.566,445.81,445.81,445.81,458.856,458.856,458.856,458.856,458.856,468.617,468.617,468.617,468.617,468.617,467.444,467.444,467.444,467.444,467.444,470.837,470.837,470.837,470.837,470.837,489.747,489.747,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892,500.892
