  Ages,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,347.227,347.227,347.227,347.227,347.227,353.625,364.372,371.211,386.744,396.152,409.886,406.26,410.564,419.004,424.715,414.93,419.045,420.58,422.003,423.112,423.762,423.933,423.635,423.016,422.262,421.365,420.308,419.172,418.038,416.918,414.087,414.087,414.087,414.087,418.917,418.917,418.917,418.917,418.917,433.046,433.046,433.046,433.046,433.046,444.077,444.077,444.077,444.077,444.077,447.077,447.077,447.077,447.077,447.077,447.075,454.9863571,456.6835584,458.3807597,460.077961,461.7751623,463.4723636,465.1695649,466.8667662,468.5639675,470.2611688,471.9583701,473.6555714,475.3527727,477.049974,478.7471753,480.4443766,482.1415779,483.8387792,485.5359805,487.2331818,488.9303831,490.6275844,492.3247857,494.021987,495.7191883,497.4163896,499.1135909,500.8107922,502.5079935,504.2051948,505.9023961,507.5995974,509.2967987,510.994,512.6912013,514.3884026,516.0856039,517.7828052
11,355.751,355.751,355.751,355.751,355.751,347.812,354.221,364.962,371.925,387.375,396.803,410.478,406.854,411.158,419.599,425.31,415.527,419.642,421.177,422.6,423.71,424.36,424.531,424.234,423.615,422.861,421.965,420.908,419.772,418.638,415.005,415.005,415.005,415.005,417.56,417.56,417.56,417.56,417.56,430.667,430.667,430.667,430.667,430.667,443.162,443.162,443.162,443.162,443.162,447.543,447.543,447.543,447.543,447.543,447.682,455.4930476,457.3242684,459.1554892,460.98671,462.8179307,464.6491515,466.4803723,468.3115931,470.1428139,471.9740346,473.8052554,475.6364762,477.467697,479.2989177,481.1301385,482.9613593,484.7925801,486.6238009,488.4550216,490.2862424,492.1174632,493.948684,495.7799048,497.6111255,499.4423463,501.2735671,503.1047879,504.9360087,506.7672294,508.5984502,510.429671,512.2608918,514.0921126,515.9233333,517.7545541,519.5857749,521.4169957,523.2482165
12,366.799,366.799,366.799,366.799,366.799,356.312,348.382,354.787,365.647,372.531,388.001,397.372,411.047,407.424,411.728,420.17,425.882,416.1,420.215,421.75,423.174,424.284,424.935,425.107,424.81,424.191,423.438,422.542,421.485,420.349,416.193,416.193,416.193,416.193,416.668,416.668,416.668,416.668,416.668,428.21,428.21,428.21,428.21,428.21,441.874,441.874,441.874,441.874,441.874,447.802,447.802,447.802,447.802,447.802,448.124,455.5165714,457.4427792,459.368987,461.2951948,463.2214026,465.1476104,467.0738182,469.000026,470.9262338,472.8524416,474.7786494,476.7048571,478.6310649,480.5572727,482.4834805,484.4096883,486.3358961,488.2621039,490.1883117,492.1145195,494.0407273,495.9669351,497.8931429,499.8193506,501.7455584,503.6717662,505.597974,507.5241818,509.4503896,511.3765974,513.3028052,515.229013,517.1552208,519.0814286,521.0076364,522.9338442,524.8600519,526.7862597
13,378.172,378.172,378.172,378.172,378.172,367.357,356.882,348.949,355.473,366.253,373.158,388.571,397.942,411.617,407.995,412.299,420.741,426.453,416.673,420.788,422.323,423.749,424.859,425.51,425.683,425.386,424.767,424.015,423.119,422.062,417.647,417.647,417.647,417.647,416.295,416.295,416.295,416.295,416.295,425.835,425.835,425.835,425.835,425.835,440.224,440.224,440.224,440.224,440.224,447.832,447.832,447.832,447.832,447.832,448.385,455.0276429,457.0028182,458.9779935,460.9531688,462.9283442,464.9035195,466.8786948,468.8538701,470.8290455,472.8042208,474.7793961,476.7545714,478.7297468,480.7049221,482.6800974,484.6552727,486.6304481,488.6056234,490.5807987,492.555974,494.5311494,496.5063247,498.4815,500.4566753,502.4318506,504.407026,506.3822013,508.3573766,510.3325519,512.3077273,514.2829026,516.2580779,518.2332532,520.2084286,522.1836039,524.1587792,526.1339545,528.1091299
14,383.373,383.373,383.373,383.373,383.373,378.758,367.956,357.48,349.655,356.11,366.907,373.761,389.174,398.545,412.22,408.599,412.904,421.347,427.059,417.281,421.396,422.932,424.358,425.469,426.12,426.293,425.997,425.378,424.627,423.731,419.289,419.289,419.289,419.289,416.474,416.474,416.474,416.474,416.474,423.704,423.704,423.704,423.704,423.704,438.259,438.259,438.259,438.259,438.259,447.618,447.618,447.618,447.618,447.618,448.45,454.0230952,455.9960823,457.9690693,459.9420563,461.9150433,463.8880303,465.8610173,467.8340043,469.8069913,471.7799784,473.7529654,475.7259524,477.6989394,479.6719264,481.6449134,483.6179004,485.5908874,487.5638745,489.5368615,491.5098485,493.4828355,495.4558225,497.4288095,499.4017965,501.3747835,503.3477706,505.3207576,507.2937446,509.2667316,511.2397186,513.2127056,515.1856926,517.1586797,519.1316667,521.1046537,523.0776407,525.0506277,527.0236147
15,394.408,394.408,394.408,394.408,394.408,384.608,380.005,369.203,358.829,350.943,357.412,368.162,375.017,390.429,399.8,413.475,409.856,414.162,422.605,428.318,418.542,422.657,424.194,425.62,426.732,427.383,427.556,427.261,426.642,425.892,421.675,421.675,421.675,421.675,417.732,417.732,417.732,417.732,417.732,422.569,422.569,422.569,422.569,422.569,436.7,436.7,436.7,436.7,436.7,447.735,447.735,447.735,447.735,447.735,448.893,453.1535714,455.0741429,456.9947143,458.9152857,460.8358571,462.7564286,464.677,466.5975714,468.5181429,470.4387143,472.3592857,474.2798571,476.2004286,478.121,480.0415714,481.9621429,483.8827143,485.8032857,487.7238571,489.6444286,491.565,493.4855714,495.4061429,497.3267143,499.2472857,501.1678571,503.0884286,505.009,506.9295714,508.8501429,510.7707143,512.6912857,514.6118571,516.5324286,518.453,520.3735714,522.2941429,524.2147143
16,396.751,396.751,396.751,396.751,396.751,396.361,386.572,381.97,371.268,360.836,352.967,359.389,370.14,376.995,392.408,401.779,415.454,411.836,416.143,424.586,430.299,420.526,424.641,426.179,427.605,428.718,429.369,429.543,429.249,428.631,424.799,424.799,424.799,424.799,420.042,420.042,420.042,420.042,420.042,422.606,422.606,422.606,422.606,422.606,435.717,435.717,435.717,435.717,435.717,448.216,448.216,448.216,448.216,448.216,449.735,452.525381,454.3452641,456.1651472,457.9850303,459.8049134,461.6247965,463.4446797,465.2645628,467.0844459,468.904329,470.7242121,472.5440952,474.3639784,476.1838615,478.0037446,479.8236277,481.6435108,483.4633939,485.2832771,487.1031602,488.9230433,490.7429264,492.5628095,494.3826926,496.2025758,498.0224589,499.842342,501.6622251,503.4821082,505.3019913,507.1218745,508.9417576,510.7616407,512.5815238,514.4014069,516.22129,518.0411732,519.8610563
17,396.141,396.141,396.141,396.141,396.141,398.996,398.62,388.832,384.322,373.57,363.156,355.25,361.673,372.424,379.279,394.692,404.064,417.738,414.122,418.43,426.873,432.586,422.816,426.931,428.47,429.898,431.011,431.663,431.838,431.544,428.231,428.231,428.231,428.231,422.954,422.954,422.954,422.954,422.954,423.439,423.439,423.439,423.439,423.439,434.989,434.989,434.989,434.989,434.989,448.656,448.656,448.656,448.656,448.656,450.526,451.7726429,453.4458442,455.1190455,456.7922468,458.4654481,460.1386494,461.8118506,463.4850519,465.1582532,466.8314545,468.5046558,470.1778571,471.8510584,473.5242597,475.197461,476.8706623,478.5438636,480.2170649,481.8902662,483.5634675,485.2366688,486.9098701,488.5830714,490.2562727,491.929474,493.6026753,495.2758766,496.9490779,498.6222792,500.2954805,501.9686818,503.6418831,505.3150844,506.9882857,508.661487,510.3346883,512.0078896,513.6810909
18,411.313,411.313,411.313,411.313,411.313,399.449,402.324,401.943,392.293,387.706,376.983,366.515,358.614,365.039,375.79,382.645,398.057,407.429,421.102,417.489,421.797,430.24,435.954,426.187,430.303,431.843,433.272,434.386,435.038,435.214,432.667,432.667,432.667,432.667,427.214,427.214,427.214,427.214,427.214,425.876,425.876,425.876,425.876,425.876,435.423,435.423,435.423,435.423,435.423,449.819,449.819,449.819,449.819,449.819,452.053,451.7252619,453.2080216,454.6907814,456.1735411,457.6563009,459.1390606,460.6218203,462.1045801,463.5873398,465.0700996,466.5528593,468.035619,469.5183788,471.0011385,472.4838983,473.966658,475.4494177,476.9321775,478.4149372,479.897697,481.3804567,482.8632165,484.3459762,485.8287359,487.3114957,488.7942554,490.2770152,491.7597749,493.2425346,494.7252944,496.2080541,497.6908139,499.1735736,500.6563333,502.1390931,503.6218528,505.1046126,506.5873723
19,414.613,414.613,414.613,414.613,414.613,416.665,404.834,407.698,407.582,397.774,393.234,382.398,371.937,364.043,370.469,381.22,388.075,403.486,412.858,426.53,422.919,427.229,435.671,441.385,431.623,435.739,437.281,438.712,439.827,440.48,439.007,439.007,439.007,439.007,433.69,433.69,433.69,433.69,433.69,430.897,430.897,430.897,430.897,430.897,438.137,438.137,438.137,438.137,438.137,452.701,452.701,452.701,452.701,452.701,455.286,453.4630476,454.7198139,455.9765801,457.2333463,458.4901126,459.7468788,461.003645,462.2604113,463.5171775,464.7739437,466.03071,467.2874762,468.5442424,469.8010087,471.0577749,472.3145411,473.5713074,474.8280736,476.0848398,477.3416061,478.5983723,479.8551385,481.1119048,482.368671,483.6254372,484.8822035,486.1389697,487.3957359,488.6525022,489.9092684,491.1660346,492.4228009,493.6795671,494.9363333,496.1930996,497.4498658,498.706632,499.9633983
