  Ages,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,347.227,347.227,347.227,347.227,347.227,353.625,364.372,371.211,386.744,396.152,409.886,406.26,410.564,419.004,424.715,414.93,419.045,420.58,422.003,423.112,423.762,423.933,423.635,423.016,422.262,421.365,420.308,419.172,418.038,416.918,416.21025,415.5025,414.79475,414.087,415.053,416.019,416.985,417.951,418.917,421.7428,424.5686,427.3944,430.2202,433.046,435.2522,437.4584,439.6646,441.8708,444.077,444.677,445.277,445.877,446.477,447.077,447.075,453.8717381,455.7532381,457.6347381,459.5162381,461.3977381,463.2792381,465.1607381,467.0422381,468.9237381,470.8052381,472.6867381,474.5682381,476.4497381,478.3312381,480.2127381,482.0942381,483.9757381,485.8572381,487.7387381,489.6202381,491.5017381,493.3832381,495.2647381,497.1462381,499.0277381,500.9092381,502.7907381,504.6722381,506.5537381,508.4352381,510.3167381,512.1982381,514.0797381,515.9612381,517.8427381,519.7242381,521.6057381,523.4872381
11,355.751,355.751,355.751,355.751,355.751,347.812,354.221,364.962,371.925,387.375,396.803,410.478,406.854,411.158,419.599,425.31,415.527,419.642,421.177,422.6,423.71,424.36,424.531,424.234,423.615,422.861,421.965,420.908,419.772,418.638,417.72975,416.8215,415.91325,415.005,415.516,416.027,416.538,417.049,417.56,420.1814,422.8028,425.4242,428.0456,430.667,433.166,435.665,438.164,440.663,443.162,444.0382,444.9144,445.7906,446.6668,447.543,447.682,453.4411048,455.3674996,457.2938944,459.2202892,461.146684,463.0730788,464.9994736,466.9258684,468.8522632,470.778658,472.7050528,474.6314476,476.5578424,478.4842372,480.410632,482.3370268,484.2634216,486.1898165,488.1162113,490.0426061,491.9690009,493.8953957,495.8217905,497.7481853,499.6745801,501.6009749,503.5273697,505.4537645,507.3801593,509.3065541,511.2329489,513.1593437,515.0857385,517.0121333,518.9385281,520.8649229,522.7913177,524.7177126
12,366.799,366.799,366.799,366.799,366.799,356.312,348.382,354.787,365.647,372.531,388.001,397.372,411.047,407.424,411.728,420.17,425.882,416.1,420.215,421.75,423.174,424.284,424.935,425.107,424.81,424.191,423.438,422.542,421.485,420.349,419.31,418.271,417.232,416.193,416.288,416.383,416.478,416.573,416.668,418.9764,421.2848,423.5932,425.9016,428.21,430.9428,433.6756,436.4084,439.1412,441.874,443.0596,444.2452,445.4308,446.6164,447.802,448.124,452.5407905,454.4701437,456.399497,458.3288502,460.2582035,462.1875567,464.11691,466.0462632,467.9756165,469.9049697,471.8343229,473.7636762,475.6930294,477.6223827,479.5517359,481.4810892,483.4104424,485.3397957,487.2691489,489.1985022,491.1278554,493.0572087,494.9865619,496.9159152,498.8452684,500.7746216,502.7039749,504.6333281,506.5626814,508.4920346,510.4213879,512.3507411,514.2800944,516.2094476,518.1388009,520.0681541,521.9975074,523.9268606
13,378.172,378.172,378.172,378.172,378.172,367.357,356.882,348.949,355.473,366.253,373.158,388.571,397.942,411.617,407.995,412.299,420.741,426.453,416.673,420.788,422.323,423.749,424.859,425.51,425.683,425.386,424.767,424.015,423.119,422.062,420.95825,419.8545,418.75075,417.647,417.3766,417.1062,416.8358,416.5654,416.295,418.203,420.111,422.019,423.927,425.835,428.7128,431.5906,434.4684,437.3462,440.224,441.7456,443.2672,444.7888,446.3104,447.832,448.385,451.1801667,453.0669134,454.9536602,456.8404069,458.7271537,460.6139004,462.5006472,464.3873939,466.2741407,468.1608874,470.0476342,471.934381,473.8211277,475.7078745,477.5946212,479.481368,481.3681147,483.2548615,485.1416082,487.028355,488.9151017,490.8018485,492.6885952,494.575342,496.4620887,498.3488355,500.2355823,502.122329,504.0090758,505.8958225,507.7825693,509.669316,511.5560628,513.4428095,515.3295563,517.216303,519.1030498,520.9897965
14,383.373,383.373,383.373,383.373,383.373,378.758,367.956,357.48,349.655,356.11,366.907,373.761,389.174,398.545,412.22,408.599,412.904,421.347,427.059,417.281,421.396,422.932,424.358,425.469,426.12,426.293,425.997,425.378,424.627,423.731,422.6205,421.51,420.3995,419.289,418.726,418.163,417.6,417.037,416.474,417.92,419.366,420.812,422.258,423.704,426.615,429.526,432.437,435.348,438.259,440.1308,442.0026,443.8744,445.7462,447.618,448.45,449.4072667,451.2059056,453.0045446,454.8031835,456.6018225,458.4004615,460.1991004,461.9977394,463.7963784,465.5950173,467.3936563,469.1922952,470.9909342,472.7895732,474.5882121,476.3868511,478.18549,479.984129,481.782768,483.5814069,485.3800459,487.1786848,488.9773238,490.7759628,492.5746017,494.3732407,496.1718797,497.9705186,499.7691576,501.5677965,503.3664355,505.1650745,506.9637134,508.7623524,510.5609913,512.3596303,514.1582693,515.9569082
15,394.408,394.408,394.408,394.408,394.408,384.608,380.005,369.203,358.829,350.943,357.412,368.162,375.017,390.429,399.8,413.475,409.856,414.162,422.605,428.318,418.542,422.657,424.194,425.62,426.732,427.383,427.556,427.261,426.642,425.892,424.83775,423.7835,422.72925,421.675,420.8864,420.0978,419.3092,418.5206,417.732,418.6994,419.6668,420.6342,421.6016,422.569,425.3952,428.2214,431.0476,433.8738,436.7,438.907,441.114,443.321,445.528,447.735,448.893,447.9150952,449.5850693,451.2550433,452.9250173,454.5949913,456.2649654,457.9349394,459.6049134,461.2748874,462.9448615,464.6148355,466.2848095,467.9547835,469.6247576,471.2947316,472.9647056,474.6346797,476.3046537,477.9746277,479.6446017,481.3145758,482.9845498,484.6545238,486.3244978,487.9944719,489.6644459,491.3344199,493.0043939,494.674368,496.344342,498.014316,499.68429,501.3542641,503.0242381,504.6942121,506.3641861,508.0341602,509.7041342
16,396.751,396.751,396.751,396.751,396.751,396.361,386.572,381.97,371.268,360.836,352.967,359.389,370.14,376.995,392.408,401.779,415.454,411.836,416.143,424.586,430.299,420.526,424.641,426.179,427.605,428.718,429.369,429.543,429.249,428.631,427.673,426.715,425.757,424.799,423.8476,422.8962,421.9448,420.9934,420.042,420.5548,421.0676,421.5804,422.0932,422.606,425.2282,427.8504,430.4726,433.0948,435.717,438.2168,440.7166,443.2164,445.7162,448.216,449.735,446.8477048,448.3541801,449.8606554,451.3671307,452.8736061,454.3800814,455.8865567,457.393032,458.8995074,460.4059827,461.912458,463.4189333,464.9254087,466.431884,467.9383593,469.4448346,470.95131,472.4577853,473.9642606,475.4707359,476.9772113,478.4836866,479.9901619,481.4966372,483.0031126,484.5095879,486.0160632,487.5225385,489.0290139,490.5354892,492.0419645,493.5484398,495.0549152,496.5613905,498.0678658,499.5743411,501.0808165,502.5872918
17,396.141,396.141,396.141,396.141,396.141,398.996,398.62,388.832,384.322,373.57,363.156,355.25,361.673,372.424,379.279,394.692,404.064,417.738,414.122,418.43,426.873,432.586,422.816,426.931,428.47,429.898,431.011,431.663,431.838,431.544,430.71575,429.8875,429.05925,428.231,427.1756,426.1202,425.0648,424.0094,422.954,423.051,423.148,423.245,423.342,423.439,425.749,428.059,430.369,432.679,434.989,437.7224,440.4558,443.1892,445.9226,448.656,450.526,445.8529762,447.1648658,448.4767554,449.788645,451.1005346,452.4124242,453.7243139,455.0362035,456.3480931,457.6599827,458.9718723,460.2837619,461.5956515,462.9075411,464.2194307,465.5313203,466.84321,468.1550996,469.4669892,470.7788788,472.0907684,473.402658,474.7145476,476.0264372,477.3383268,478.6502165,479.9621061,481.2739957,482.5858853,483.8977749,485.2096645,486.5215541,487.8334437,489.1453333,490.4572229,491.7691126,493.0810022,494.3928918
18,411.313,411.313,411.313,411.313,411.313,399.449,402.324,401.943,392.293,387.706,376.983,366.515,358.614,365.039,375.79,382.645,398.057,407.429,421.102,417.489,421.797,430.24,435.954,426.187,430.303,431.843,433.272,434.386,435.038,435.214,434.57725,433.9405,433.30375,432.667,431.5764,430.4858,429.3952,428.3046,427.214,426.9464,426.6788,426.4112,426.1436,425.876,427.7854,429.6948,431.6042,433.5136,435.423,438.3022,441.1814,444.0606,446.9398,449.819,452.053,445.7959667,446.8882017,447.9804368,449.0726719,450.1649069,451.257142,452.3493771,453.4416121,454.5338472,455.6260823,456.7183173,457.8105524,458.9027874,459.9950225,461.0872576,462.1794926,463.2717277,464.3639628,465.4561978,466.5484329,467.640668,468.732903,469.8251381,470.9173732,472.0096082,473.1018433,474.1940784,475.2863134,476.3785485,477.4707835,478.5630186,479.6552537,480.7474887,481.8397238,482.9319589,484.0241939,485.116429,486.2086641
19,414.613,414.613,414.613,414.613,414.613,416.665,404.834,407.698,407.582,397.774,393.234,382.398,371.937,364.043,370.469,381.22,388.075,403.486,412.858,426.53,422.919,427.229,435.671,441.385,431.623,435.739,437.281,438.712,439.827,440.48,440.11175,439.7435,439.37525,439.007,437.9436,436.8802,435.8168,434.7534,433.69,433.1314,432.5728,432.0142,431.4556,430.897,432.345,433.793,435.241,436.689,438.137,441.0498,443.9626,446.8754,449.7882,452.701,455.286,447.7688857,448.6265636,449.4842416,450.3419195,451.1995974,452.0572753,452.9149532,453.7726312,454.6303091,455.487987,456.3456649,457.2033429,458.0610208,458.9186987,459.7763766,460.6340545,461.4917325,462.3494104,463.2070883,464.0647662,464.9224442,465.7801221,466.6378,467.4954779,468.3531558,469.2108338,470.0685117,470.9261896,471.7838675,472.6415455,473.4992234,474.3569013,475.2145792,476.0722571,476.9299351,477.787613,478.6452909,479.5029688
