Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,364.402,364.402,364.402,364.402,364.402,358.798,349.586,340.076,339.794,350.597,362.317,367.36,374.987,387.656,403.247,400.267,377.798,368.356,360.383,354.773,350.949,350.259,352.109,353.621,354.684,355.232,355.284,354.902,354.172,353.204,353.204,353.204,349.839,349.839,349.839,349.839,349.839,343.708,343.708,343.708,343.708,343.708,341.208,341.208,341.208,341.208,341.208,341.038,341.038,341.038,341.038,341.038,336.253,336.253,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065,334.065
11,375.212,375.212,375.212,375.212,375.212,364.481,358.858,349.639,340.122,339.831,350.624,362.327,367.37,374.997,387.664,403.254,400.275,377.808,368.368,360.396,354.787,350.963,350.273,352.123,353.635,354.697,355.246,355.298,354.916,354.186,354.186,354.186,350.992,350.992,350.992,350.992,350.992,344.917,344.917,344.917,344.917,344.917,341.204,341.204,341.204,341.204,341.204,341.45,341.45,341.45,341.45,341.45,337.414,337.414,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139,335.139
12,372.788,372.788,372.788,372.788,372.788,375.378,364.625,358.992,349.766,340.241,339.939,350.717,362.419,367.462,375.089,387.755,403.344,400.365,377.901,368.462,360.491,354.883,351.059,350.369,352.219,353.731,354.794,355.343,355.395,355.013,355.013,355.013,352.224,352.224,352.224,352.224,352.224,346.29,346.29,346.29,346.29,346.29,341.498,341.498,341.498,341.498,341.498,341.685,341.685,341.685,341.685,341.685,338.629,338.629,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367,336.367
13,375.934,375.934,375.934,375.934,375.934,373.133,375.701,364.94,359.298,350.064,340.531,340.216,350.993,362.693,367.735,375.362,388.026,403.613,400.634,378.174,368.736,360.766,355.159,351.335,350.646,352.497,354.008,355.071,355.62,355.672,355.672,355.672,353.593,353.593,353.593,353.593,353.593,347.847,347.847,347.847,347.847,347.847,342.274,342.274,342.274,342.274,342.274,341.896,341.896,341.896,341.896,341.896,339.923,339.923,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793,337.793
14,384.491,384.491,384.491,384.491,384.491,376.508,373.685,376.245,365.473,359.822,350.578,341.032,340.717,351.493,363.191,368.233,375.859,388.521,404.105,401.127,378.672,369.235,361.266,355.66,351.837,351.148,352.999,354.51,355.572,356.121,356.121,356.121,355.06,355.06,355.06,355.06,355.06,349.57,349.57,349.57,349.57,349.57,343.568,343.568,343.568,343.568,343.568,342.244,342.244,342.244,342.244,342.244,341.283,341.283,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411,339.411
15,391.822,391.822,391.822,391.822,391.822,385.445,377.432,374.597,377.142,366.358,360.693,351.434,341.89,341.575,352.349,364.045,369.087,376.711,389.372,404.952,401.975,379.524,370.09,362.123,356.518,352.696,352.007,353.858,355.368,356.431,356.431,356.431,356.649,356.649,356.649,356.649,356.649,351.59,351.59,351.59,351.59,351.59,345.461,345.461,345.461,345.461,345.461,342.963,342.963,342.963,342.963,342.963,342.793,342.793,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288,341.288
16,407.293,407.293,407.293,407.293,407.293,393.451,387.031,378.998,376.144,378.667,367.867,362.177,352.921,343.38,343.066,353.838,365.532,370.572,378.196,390.854,406.431,403.455,381.009,371.577,363.612,358.009,354.188,353.5,355.35,356.86,356.86,356.86,358.522,358.522,358.522,358.522,358.522,354.221,354.221,354.221,354.221,354.221,348.15,348.15,348.15,348.15,348.15,344.438,344.438,344.438,344.438,344.438,344.686,344.686,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639,343.639
17,417.735,417.735,417.735,417.735,417.735,409.932,396.021,389.571,381.509,378.623,381.114,370.28,364.594,355.343,345.805,345.495,356.264,367.955,372.994,380.616,393.271,408.844,405.869,383.431,374.002,366.04,360.439,356.619,355.932,357.781,357.781,357.781,360.901,360.901,360.901,360.901,360.901,357.786,357.786,357.786,357.786,357.786,351.858,351.858,351.858,351.858,351.858,347.071,347.071,347.071,347.071,347.071,347.258,347.258,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725,346.725
18,414.013,414.013,414.013,414.013,414.013,421.947,414.03,400.077,393.58,385.473,382.537,384.958,374.133,368.453,359.209,349.677,349.369,360.136,371.825,376.862,384.484,397.134,412.703,409.729,387.3,377.875,369.917,364.317,360.499,359.813,359.813,359.813,364.232,364.232,364.232,364.232,364.232,362.756,362.756,362.756,362.756,362.756,357.018,357.018,357.018,357.018,357.018,351.451,351.451,351.451,351.451,351.451,351.075,351.075,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007,351.007
19,417.45,417.45,417.45,417.45,417.45,419.941,427.702,419.72,405.711,399.146,390.969,387.942,390.368,379.551,373.879,364.642,355.116,354.812,365.577,377.264,382.299,389.921,402.566,418.13,415.157,392.739,383.317,375.363,369.765,365.949,365.949,365.949,368.618,368.618,368.618,368.618,368.618,369.169,369.169,369.169,369.169,369.169,363.689,363.689,363.689,363.689,363.689,357.695,357.695,357.695,357.695,357.695,356.375,356.375,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597,356.597
