Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083
40,461.736,461.736,461.736,461.736,461.736,456.332,446.867,449.365,437.258,420.257,404.09,397.229,389.332,380.881,387.779,410.798,435.889,443.657,440.052,463.565,483.85,502.656,501.564,510.4,520.457,515.499,518.733,527.081,519.714,506.233,506.233,506.233,489.729,489.729,489.729,489.729,489.729,459.249,459.249,459.249,459.249,459.249,495.862,495.862,495.862,495.862,495.862,546.316,546.316,546.316,546.316,546.316,575.868,575.868,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699,583.699
41,472.125,472.125,472.125,472.125,472.125,461.335,456.328,446.849,449.311,437.195,420.191,404.007,397.163,389.284,380.854,387.749,410.744,435.81,443.575,439.986,463.479,483.749,502.542,501.463,510.301,520.357,515.417,518.659,527.01,519.663,519.663,519.663,492.334,492.334,492.334,492.334,492.334,468.322,468.322,468.322,468.322,468.322,488.011,488.011,488.011,488.011,488.011,538.593,538.593,538.593,538.593,538.593,571.332,571.332,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227,580.227
42,468.433,468.433,468.433,468.433,468.433,471.65,461.209,456.188,446.7,449.138,437.022,420.012,403.863,397.038,389.179,380.772,387.664,410.633,435.672,443.436,439.863,463.336,483.591,502.37,501.305,510.145,520.201,515.28,518.532,526.884,526.884,526.884,499.996,499.996,499.996,499.996,499.996,477.076,477.076,477.076,477.076,477.076,482.668,482.668,482.668,482.668,482.668,523.007,523.007,523.007,523.007,523.007,566.416,566.416,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088,576.088
43,469.633,469.633,469.633,469.633,469.633,467.509,471.018,460.577,455.551,446.062,448.483,436.363,419.393,403.282,396.478,388.641,380.258,387.149,410.091,435.101,442.865,439.311,462.762,483.002,501.767,500.714,509.557,519.614,514.714,517.974,517.974,517.974,505.626,505.626,505.626,505.626,505.626,481.863,481.863,481.863,481.863,481.863,470.31,470.31,470.31,470.31,470.31,524.558,524.558,524.558,524.558,524.558,560.529,560.529,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079,571.079
44,462.521,462.521,462.521,462.521,462.521,467.862,466.056,469.543,459.112,454.082,444.601,446.997,434.913,417.986,401.915,395.135,387.322,378.965,385.856,408.771,433.752,441.517,437.982,461.41,481.635,500.387,499.348,508.193,518.251,513.372,513.372,513.372,517.719,517.719,517.719,517.719,517.719,490.879,490.879,490.879,490.879,490.879,458.092,458.092,458.092,458.092,458.092,507.509,507.509,507.509,507.509,507.509,552.698,552.698,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971,564.971
45,452.306,452.306,452.306,452.306,452.306,460.391,466.063,464.251,467.728,457.311,452.284,442.809,445.215,433.17,416.291,400.264,393.51,385.722,377.393,384.285,407.172,432.125,439.892,436.377,459.783,479.992,498.729,497.706,506.554,516.613,516.613,516.613,523.399,523.399,523.399,523.399,523.399,486.562,486.562,486.562,486.562,486.562,456.498,456.498,456.498,456.498,456.498,493.175,493.175,493.175,493.175,493.175,543.637,543.637,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034,558.034
46,439.86,439.86,439.86,439.86,439.86,450.475,458.878,464.535,462.733,466.2,455.808,450.786,441.351,443.77,431.768,414.939,398.958,392.231,384.472,376.172,383.067,405.924,430.85,438.619,435.124,458.509,478.702,497.424,496.417,505.267,505.267,505.267,513.782,513.782,513.782,513.782,513.782,487.936,487.936,487.936,487.936,487.936,464.332,464.332,464.332,464.332,464.332,484.169,484.169,484.169,484.169,484.169,534.759,534.759,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282,550.282
47,430.197,430.197,430.197,430.197,430.197,438.768,449.641,458.029,463.682,461.89,465.358,454.991,450.003,440.611,443.045,431.088,414.313,398.383,391.686,383.957,375.688,382.585,405.414,430.311,438.081,434.608,457.969,478.147,496.853,495.862,495.862,495.862,509.964,509.964,509.964,509.964,509.964,495.116,495.116,495.116,495.116,495.116,472.623,472.623,472.623,472.623,472.623,478.446,478.446,478.446,478.446,478.446,518.839,518.839,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32,542.32
48,413.961,413.961,413.961,413.961,413.961,429.227,438.027,448.884,457.264,462.914,461.14,464.607,454.291,449.34,439.994,442.445,430.538,413.82,397.944,391.279,383.584,375.348,382.246,405.047,429.911,437.683,434.233,457.569,477.729,496.419,496.419,496.419,514.363,514.363,514.363,514.363,514.363,500.834,500.834,500.834,500.834,500.834,477.534,477.534,477.534,477.534,477.534,466.322,466.322,466.322,466.322,466.322,520.547,520.547,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335,534.335
49,406.749,406.749,406.749,406.749,406.749,412.988,428.448,437.236,448.077,456.446,462.095,460.341,463.825,453.564,448.651,439.356,441.823,429.97,413.314,397.495,390.865,383.205,375.006,381.905,404.674,429.504,437.277,433.853,457.161,477.302,477.302,477.302,503.88,503.88,503.88,503.88,503.88,513.726,513.726,513.726,513.726,513.726,487.409,487.409,487.409,487.409,487.409,455.12,455.12,455.12,455.12,455.12,504.53,504.53,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599,518.599
50,401.315,401.315,401.315,401.315,401.315,405.643,412.098,427.522,436.294,447.12,455.48,461.125,459.407,462.908,452.707,447.834,438.593,441.077,429.281,412.693,396.937,390.345,382.721,374.562,381.462,404.194,428.987,436.763,433.366,456.646,456.646,456.646,494.486,494.486,494.486,494.486,494.486,520.395,520.395,520.395,520.395,520.395,484.207,484.207,484.207,484.207,484.207,454.659,454.659,454.659,454.659,454.659,491.405,491.405,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209,520.209
51,386,386,386,386,386,399.899,404.448,410.896,426.282,435.044,445.853,454.202,459.86,458.18,461.7,451.562,446.734,437.548,440.052,428.318,411.801,396.113,389.56,381.977,373.86,380.761,403.455,428.208,435.986,432.617,432.617,432.617,494.591,494.591,494.591,494.591,494.591,511.271,511.271,511.271,511.271,511.271,486.04,486.04,486.04,486.04,486.04,462.956,462.956,462.956,462.956,462.956,482.981,482.981,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886,503.886
52,371.776,371.776,371.776,371.776,371.776,384.276,398.345,402.893,409.338,424.688,433.442,444.233,452.585,458.258,456.618,460.159,450.088,445.306,436.179,438.705,427.036,410.594,394.978,388.468,380.929,372.857,379.759,402.412,427.121,434.902,434.902,434.902,474.849,474.849,474.849,474.849,474.849,506.845,506.845,506.845,506.845,506.845,492.579,492.579,492.579,492.579,492.579,470.658,470.658,470.658,470.658,470.658,476.794,476.794,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242,490.242
53,361.558,361.558,361.558,361.558,361.558,369.706,382.361,396.387,400.943,407.387,422.701,431.444,442.231,450.587,456.276,454.678,458.241,448.24,443.507,434.443,436.99,425.39,409.03,393.488,387.025,379.531,371.505,378.409,401.019,425.682,425.682,425.682,453.339,453.339,453.339,453.339,453.339,510.049,510.049,510.049,510.049,510.049,497.155,497.155,497.155,497.155,497.155,474.501,474.501,474.501,474.501,474.501,463.762,463.762,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197,481.197
54,361.592,361.592,361.592,361.592,361.592,359.41,367.713,380.324,394.309,398.872,405.317,420.593,429.337,440.118,448.478,454.183,452.63,456.215,446.289,441.607,432.609,435.179,423.652,407.378,391.916,385.501,378.054,370.08,376.987,399.548,399.548,399.548,428.68,428.68,428.68,428.68,428.68,498.443,498.443,498.443,498.443,498.443,508.733,508.733,508.733,508.733,508.733,483.162,483.162,483.162,483.162,483.162,451.578,451.578,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604,474.604
55,355.208,355.208,355.208,355.208,355.208,359.336,357.335,365.612,378.18,392.123,396.697,403.142,418.388,427.132,437.907,446.272,451.993,450.487,454.096,444.248,439.62,430.693,433.288,421.837,405.653,390.276,383.911,376.515,368.595,375.504,375.504,375.504,430.367,430.367,430.367,430.367,430.367,487.952,487.952,487.952,487.952,487.952,514.163,514.163,514.163,514.163,514.163,478.89,478.89,478.89,478.89,478.89,450.076,450.076,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48,461.48
56,350.42,350.42,350.42,350.42,350.42,352.876,357.146,355.172,363.419,375.944,389.846,394.433,400.886,416.1,424.844,435.611,443.982,449.719,448.263,451.895,442.13,437.56,428.706,431.325,419.956,403.867,388.579,382.266,374.926,367.062,367.062,367.062,420.938,420.938,420.938,420.938,420.938,487.049,487.049,487.049,487.049,487.049,504.163,504.163,504.163,504.163,504.163,479.795,479.795,479.795,479.795,479.795,457.443,457.443,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229,449.229
57,351.514,351.514,351.514,351.514,351.514,347.784,350.41,354.674,352.73,360.951,373.434,387.294,391.898,398.362,413.541,422.285,433.044,441.419,447.172,445.769,449.426,439.746,435.235,426.458,429.103,417.819,401.829,386.633,380.375,373.092,373.092,373.092,394.604,394.604,394.604,394.604,394.604,466.619,466.619,466.619,466.619,466.619,498.851,498.851,498.851,498.851,498.851,485.383,485.383,485.383,485.383,485.383,464.249,464.249,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427,447.427
58,359.958,359.958,359.958,359.958,359.958,348.511,345.026,347.668,351.93,350.019,358.211,370.651,384.472,389.093,395.567,410.71,419.453,430.205,438.583,444.351,443.004,446.685,437.095,432.647,423.949,426.619,415.424,399.538,384.439,378.238,378.238,378.238,370.184,370.184,370.184,370.184,370.184,444.568,444.568,444.568,444.568,444.568,501.15,501.15,501.15,501.15,501.15,489.103,489.103,489.103,489.103,489.103,467.315,467.315,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252,454.252
59,371.073,371.073,371.073,371.073,371.073,356.404,345.306,341.897,344.556,348.818,346.941,355.106,367.504,381.284,385.923,392.406,407.51,416.252,426.996,435.376,441.162,439.87,443.578,434.083,429.699,421.086,423.783,412.68,396.903,381.906,381.906,381.906,360.922,360.922,360.922,360.922,360.922,419.183,419.183,419.183,419.183,419.183,488.582,488.582,488.582,488.582,488.582,499.453,499.453,499.453,499.453,499.453,474.861,474.861,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424,460.424
60,395.908,395.908,395.908,395.908,395.908,366.73,352.507,341.564,338.238,340.916,345.176,343.337,351.479,363.832,377.568,382.226,388.72,403.781,412.521,423.254,431.637,437.441,436.21,439.945,430.55,426.236,417.713,420.44,409.434,393.776,393.776,393.776,365.716,365.716,365.716,365.716,365.716,419.299,419.299,419.299,419.299,419.299,476.688,476.688,476.688,476.688,476.688,503.28,503.28,503.28,503.28,503.28,469.204,469.204,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638,462.638
61,413.427,413.427,413.427,413.427,413.427,390.72,362.187,348.186,337.412,334.172,336.87,341.128,339.338,347.455,359.761,373.448,378.127,384.63,399.646,408.382,419.103,427.489,433.313,432.145,435.911,426.625,422.384,413.959,416.718,405.821,405.821,405.821,369.51,369.51,369.51,369.51,369.51,408.202,408.202,408.202,408.202,408.202,473.931,473.931,473.931,473.931,473.931,491.601,491.601,491.601,491.601,491.601,468.357,468.357,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292,469.292
62,333.059,333.059,333.059,333.059,333.059,407.886,385.819,357.684,343.919,333.324,330.177,332.897,337.163,335.425,343.517,355.773,369.408,374.107,380.619,395.586,404.317,415.024,423.414,429.259,428.159,431.956,422.787,418.627,410.307,413.099,413.099,413.099,372.282,372.282,372.282,372.282,372.282,380.941,380.941,380.941,380.941,380.941,452.369,452.369,452.369,452.369,452.369,484.898,484.898,484.898,484.898,484.898,472.481,472.481,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43,463.43
63,322.775,322.775,322.775,322.775,322.775,328.465,402.82,381.138,353.42,339.903,329.497,326.445,329.196,333.469,331.79,339.856,352.059,365.637,370.36,376.879,391.792,400.519,411.211,419.602,425.468,424.441,428.271,419.226,415.151,406.941,406.941,406.941,383.86,383.86,383.86,383.86,383.86,356.191,356.191,356.191,356.191,356.191,429.807,429.807,429.807,429.807,429.807,486.192,486.192,486.192,486.192,486.192,475.284,475.284,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991,462.991
64,315.049,315.049,315.049,315.049,315.049,317.956,323.91,397.531,376.247,348.963,335.702,325.492,322.545,325.327,329.61,327.993,336.032,348.18,361.699,366.445,372.973,387.827,396.549,407.224,415.615,421.503,420.552,424.418,415.501,411.516,411.516,411.516,395.759,395.759,395.759,395.759,395.759,346.471,346.471,346.471,346.471,346.471,404.237,404.237,404.237,404.237,404.237,473.098,473.098,473.098,473.098,473.098,484.749,484.749,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203,467.203
65,298.983,298.983,298.983,298.983,298.983,309.793,313.011,318.998,391.838,370.967,344.132,331.134,321.133,318.298,321.111,325.405,323.855,331.866,343.956,357.413,362.181,368.718,383.51,392.225,402.881,411.273,417.182,416.311,420.214,411.432,411.432,411.432,402.474,402.474,402.474,402.474,402.474,350.577,350.577,350.577,350.577,350.577,403.745,403.745,403.745,403.745,403.745,460.824,460.824,460.824,460.824,460.824,487.923,487.923,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46,469.46
66,267.922,267.922,267.922,267.922,267.922,293.78,304.771,308.053,314.068,386.093,365.644,339.272,326.551,316.764,314.043,316.89,321.196,319.716,327.699,339.729,353.119,357.912,364.456,379.182,387.89,398.523,406.915,412.847,412.057,415.997,415.997,415.997,395.726,395.726,395.726,395.726,395.726,354.015,354.015,354.015,354.015,354.015,392.684,392.684,392.684,392.684,392.684,457.833,457.833,457.833,457.833,457.833,476.253,476.253,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451,478.451
67,248.73,248.73,248.73,248.73,248.73,263.33,289.099,300.028,303.37,309.413,380.581,360.565,334.676,322.239,312.673,310.07,312.951,317.27,315.865,323.819,335.787,349.106,353.924,360.476,375.131,383.828,394.438,402.829,408.784,408.078,408.078,408.078,399.875,399.875,399.875,399.875,399.875,356.581,356.581,356.581,356.581,356.581,366.147,366.147,366.147,366.147,366.147,436.716,436.716,436.716,436.716,436.716,469.617,469.617,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806,481.806
68,255.811,255.811,255.811,255.811,255.811,244.35,258.998,284.458,295.318,298.719,304.79,375.059,355.493,330.1,317.954,308.616,306.134,309.052,313.384,312.059,319.984,331.886,345.131,349.975,356.533,371.113,379.798,390.384,398.772,404.75,404.75,404.75,399.816,399.816,399.816,399.816,399.816,367.344,367.344,367.344,367.344,367.344,341.908,341.908,341.908,341.908,341.908,414.43,414.43,414.43,414.43,414.43,470.51,470.51,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511,470.511
69,253.094,253.094,253.094,253.094,253.094,250.939,240.012,254.515,279.652,290.436,293.899,299.993,369.331,350.222,325.338,313.489,304.384,302.025,304.982,309.327,308.088,315.984,327.817,340.985,345.854,352.417,366.919,375.591,386.149,394.532,394.532,394.532,404.068,404.068,404.068,404.068,404.068,378.285,378.285,378.285,378.285,378.285,332.223,332.223,332.223,332.223,332.223,389.273,389.273,389.273,389.273,389.273,457.369,457.369,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739,463.739
70,246.551,246.551,246.551,246.551,246.551,247.82,246.083,235.493,249.847,274.645,285.35,288.873,294.99,363.362,344.717,320.352,308.806,299.937,297.704,300.699,305.06,303.91,311.776,323.538,336.625,341.518,348.087,362.506,371.163,381.69,381.69,381.69,395.663,395.663,395.663,395.663,395.663,384.242,384.242,384.242,384.242,384.242,335.95,335.95,335.95,335.95,335.95,388.52,388.52,388.52,388.52,388.52,445.143,445.143,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123,464.123
71,236.744,236.744,236.744,236.744,236.744,240.796,242.472,240.939,230.693,244.884,269.33,279.951,283.535,289.671,357.031,338.863,315.03,303.795,295.17,293.066,296.101,300.478,299.422,307.257,318.945,331.947,336.863,343.437,357.767,366.409,366.409,366.409,391.325,391.325,391.325,391.325,391.325,376.948,376.948,376.948,376.948,376.948,338.669,338.669,338.669,338.669,338.669,377.247,377.247,377.247,377.247,377.247,441.594,441.594,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511,450.511
72,225.966,225.966,225.966,225.966,225.966,230.541,234.984,236.833,235.505,225.612,239.629,263.707,274.24,277.882,284.033,350.326,332.649,309.37,298.453,290.081,288.112,291.187,295.581,294.623,302.427,314.035,326.947,331.887,338.465,352.699,352.699,352.699,380.146,380.146,380.146,380.146,380.146,379.403,379.403,379.403,379.403,379.403,339.902,339.902,339.902,339.902,339.902,350.556,350.556,350.556,350.556,350.556,419.962,419.962,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707,437.707
73,214.462,214.462,214.462,214.462,214.462,219.466,224.453,229.036,231.054,229.928,220.393,234.227,257.92,268.359,272.058,278.22,343.399,326.222,303.51,292.919,284.806,282.975,286.089,290.503,289.648,297.418,308.942,321.759,326.723,333.302,333.302,333.302,366.459,366.459,366.459,366.459,366.459,377.551,377.551,377.551,377.551,377.551,348.639,348.639,348.639,348.639,348.639,325.961,325.961,325.961,325.961,325.961,397.028,397.028,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562,433.562
74,199.581,199.581,199.581,199.581,199.581,207.784,213.209,218.35,223.066,225.247,224.321,215.148,228.79,252.082,262.418,266.171,272.338,336.352,319.687,297.56,287.302,279.456,277.766,280.92,285.354,284.605,292.341,303.776,316.492,321.478,321.478,321.478,350.666,350.666,350.666,350.666,350.666,379.76,379.76,379.76,379.76,379.76,357.49,357.49,357.49,357.49,357.49,315.432,315.432,315.432,315.432,315.432,371.507,371.507,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877,411.877
75,192.388,192.388,192.388,192.388,192.388,192.684,201.218,206.806,212.092,216.928,219.267,218.542,209.744,223.179,246.044,256.269,260.076,266.241,329.019,312.886,291.369,281.458,273.89,272.345,275.541,279.995,279.358,287.057,298.396,311.004,311.004,311.004,336.5,336.5,336.5,336.5,336.5,369.949,369.949,369.949,369.949,369.949,361.461,361.461,361.461,361.461,361.461,317.667,317.667,317.667,317.667,317.667,369.394,369.394,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923,388.923
76,186.111,186.111,186.111,186.111,186.111,184.907,185.824,194.419,200.154,205.572,210.519,213.011,212.489,204.078,217.291,239.701,249.803,253.663,259.819,321.281,305.703,284.824,275.273,267.996,266.602,269.842,274.315,273.798,281.456,292.691,292.691,292.691,316.787,316.787,316.787,316.787,316.787,363.843,363.843,363.843,363.843,363.843,352.837,352.837,352.837,352.837,352.837,318.863,318.863,318.863,318.863,318.863,357.231,357.231,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249,363.249
77,177.746,177.746,177.746,177.746,177.746,177.983,177.507,178.761,187.396,193.264,198.799,203.845,206.483,206.163,198.152,211.125,233.05,243.017,246.928,253.069,313.13,298.129,277.919,268.743,261.77,260.533,263.816,268.308,267.917,275.531,275.531,275.531,304.067,304.067,304.067,304.067,304.067,351.286,351.286,351.286,351.286,351.286,353.226,353.226,353.226,353.226,353.226,318.528,318.528,318.528,318.528,318.528,330.505,330.505,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372,360.372
78,164.994,164.994,164.994,164.994,164.994,169.104,170.028,169.972,171.546,180.199,186.181,191.818,196.949,199.724,199.602,192.001,204.716,226.128,235.949,239.905,246.026,304.608,290.202,270.687,261.898,255.239,254.164,257.49,261.999,261.741,261.741,261.741,292.528,292.528,292.528,292.528,292.528,336.269,336.269,336.269,336.269,336.269,349.327,349.327,349.327,349.327,349.327,324.95,324.95,324.95,324.95,324.95,305.82,305.82,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669,347.669
79,151.537,151.537,151.537,151.537,151.537,156.124,160.725,162.01,162.351,164.225,172.87,178.943,184.664,189.867,192.767,192.841,185.659,198.097,218.968,228.63,232.627,238.717,295.74,281.948,263.155,254.766,248.431,247.524,250.891,255.417,255.417,255.417,273.674,273.674,273.674,273.674,273.674,319.129,319.129,319.129,319.129,319.129,348.793,348.793,348.793,348.793,348.793,331.038,331.038,331.038,331.038,331.038,294.236,294.236,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871,320.871
80,137.734,137.734,137.734,137.734,137.734,142.49,147.51,152.253,153.876,154.593,156.752,165.359,171.502,177.288,182.545,185.562,185.828,179.077,191.218,211.512,221.001,225.032,231.085,286.452,273.296,255.258,247.285,241.286,240.552,243.961,243.961,243.961,255.962,255.962,255.962,255.962,255.962,303.397,303.397,303.397,303.397,303.397,336.946,336.946,336.946,336.946,336.946,332.197,332.197,332.197,332.197,332.197,294.359,294.359,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109,296.109
81,128.621,128.621,128.621,128.621,128.621,128.539,133.655,138.744,143.601,145.535,146.611,149.031,157.573,163.764,169.591,174.884,178.007,178.461,172.152,183.973,203.653,212.953,217.013,223.016,276.625,264.132,246.881,239.34,233.692,233.135,233.135,233.135,241.299,241.299,241.299,241.299,241.299,282.592,282.592,282.592,282.592,282.592,328.185,328.185,328.185,328.185,328.185,321.488,321.488,321.488,321.488,321.488,293.225,293.225,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9
