Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083
10,364.402,364.402,364.402,364.402,364.402,358.918,349.963,340.756,340.809,351.953,364.005,369.36,377.297,390.296,406.303,404.233,419.951,427.759,435.389,442.041,447.535,452.458,457.053,461.214,464.747,467.515,469.513,470.801,471.476,471.683,471.683,471.683,470.688,470.688,470.688,470.688,470.688,472.001,472.001,472.001,472.001,472.001,488.448,488.448,488.448,488.448,488.448,517.677,517.677,517.677,517.677,517.677,544.245,544.245,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849,551.849
11,375.212,375.212,375.212,375.212,375.212,364.607,359.223,350.259,341.046,341.09,352.223,364.259,369.614,377.551,390.55,406.556,404.487,420.204,428.012,435.642,442.295,447.79,452.713,457.309,461.47,465.002,467.77,469.769,471.057,471.733,471.733,471.733,471.418,471.418,471.418,471.418,471.418,471.06,471.06,471.06,471.06,471.06,484.01,484.01,484.01,484.01,484.01,511.818,511.818,511.818,511.818,511.818,540.01,540.01,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545,548.545
12,372.788,372.788,372.788,372.788,372.788,375.504,365.002,359.608,350.638,341.417,341.451,352.567,364.603,369.958,377.895,390.894,406.899,404.831,420.548,428.355,435.986,442.638,448.134,453.057,457.655,461.816,465.348,468.117,470.116,471.405,471.405,471.405,472.141,472.141,472.141,472.141,472.141,470.791,470.791,470.791,470.791,470.791,480.339,480.339,480.339,480.339,480.339,506.044,506.044,506.044,506.044,506.044,535.399,535.399,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867,544.867
13,375.934,375.934,375.934,375.934,375.934,373.25,376.066,365.555,360.153,351.175,341.945,341.964,353.08,365.115,370.47,378.407,391.405,407.409,405.342,421.058,428.865,436.496,443.147,448.644,453.567,458.166,462.328,465.86,468.63,470.629,470.629,470.629,472.804,472.804,472.804,472.804,472.804,471.185,471.185,471.185,471.185,471.185,477.562,477.562,477.562,477.562,477.562,500.574,500.574,500.574,500.574,500.574,530.542,530.542,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893,540.893
14,384.491,384.491,384.491,384.491,384.491,376.621,374.033,376.84,366.318,360.907,351.92,342.678,342.698,353.813,365.847,371.202,379.138,392.135,408.138,406.072,421.786,429.593,437.224,443.875,449.371,454.296,458.895,463.059,466.593,469.363,469.363,469.363,473.332,473.332,473.332,473.332,473.332,472.137,472.137,472.137,472.137,472.137,475.731,475.731,475.731,475.731,475.731,495.609,495.609,495.609,495.609,495.609,525.554,525.554,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676,536.676
15,391.822,391.822,391.822,391.822,391.822,385.575,377.816,375.216,378.008,367.477,362.053,353.05,343.812,343.833,354.947,366.98,372.335,380.271,393.266,409.267,407.203,422.916,430.722,438.353,445.004,450.501,455.426,460.026,464.191,467.726,467.726,467.726,473.789,473.789,473.789,473.789,473.789,473.697,473.697,473.697,473.697,473.697,475.029,475.029,475.029,475.029,475.029,491.486,491.486,491.486,491.486,491.486,520.722,520.722,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444,532.444
16,407.293,407.293,407.293,407.293,407.293,393.627,387.534,379.757,377.14,379.912,369.364,363.917,354.917,345.684,345.707,356.82,368.852,374.207,382.143,395.137,411.136,409.073,424.785,432.59,440.221,446.874,452.371,457.296,461.896,466.062,466.062,466.062,474.373,474.373,474.373,474.373,474.373,476.049,476.049,476.049,476.049,476.049,475.713,475.713,475.713,475.713,475.713,488.68,488.68,488.68,488.68,488.68,516.498,516.498,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606,528.606
17,417.735,417.735,417.735,417.735,417.735,410.213,396.795,390.675,382.871,380.225,382.969,372.388,366.944,357.952,348.723,348.749,359.861,371.891,377.246,385.182,398.175,414.173,412.112,427.822,435.629,443.26,449.913,455.411,460.338,464.939,464.939,464.939,475.416,475.416,475.416,475.416,475.416,479.471,479.471,479.471,479.471,479.471,478.154,478.154,478.154,478.154,478.154,487.723,487.723,487.723,487.723,487.723,513.44,513.44,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697,525.697
18,414.013,414.013,414.013,414.013,414.013,422.395,415.265,401.805,395.645,387.8,385.105,387.784,377.213,371.773,362.79,353.568,353.597,364.709,376.739,382.095,390.031,403.023,419.018,416.962,432.671,440.477,448.108,454.763,460.261,465.19,465.19,465.19,477.499,477.499,477.499,477.499,477.499,484.478,484.478,484.478,484.478,484.478,482.9,482.9,482.9,482.9,482.9,489.305,489.305,489.305,489.305,489.305,512.333,512.333,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466,524.466
19,417.45,417.45,417.45,417.45,417.45,420.568,429.484,422.291,408.776,402.555,394.645,391.865,394.549,383.989,378.556,369.58,360.366,360.4,371.512,383.541,388.899,396.836,409.826,425.82,423.768,439.475,447.282,454.913,461.57,467.068,467.068,467.068,480.771,480.771,480.771,480.771,480.771,491.084,491.084,491.084,491.084,491.084,489.933,489.933,489.933,489.933,489.933,493.566,493.566,493.566,493.566,493.566,513.464,513.464,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177,525.177
