Age,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,8.344531311,8.344531311,8.344531311,8.344531311,8.344531311,7.911012412,7.677964243,7.266190148,7.233758919,7.061933154,6.82602177,6.394978466,6.327989427,5.962133299,5.88202078,5.538978757,5.484626354,5.464623689,5.446210385,5.195774418,5.187810532,5.185719471,4.953484422,4.960727573,4.969579077,4.743000517,4.754919559,4.767796396,4.780720311,4.730910646,4.681100981,4.631291316,4.581481651,4.527942261,4.47440287,4.42086348,4.367324089,4.313784699,4.287509517,4.261234335,4.234959153,4.208683971,4.182408789,4.113650145,4.044891501,3.976132857,3.907374213,3.838615569,3.741662745,3.644709922,3.547757098,3.450804275,3.353851451,3.352809431,3.353754768,3.354700105,3.355645441,3.356590778,3.312191161,3.267791544,3.223391927,3.17899231,3.134592693,3.085674141,3.036755589,2.987837037,2.938918485,2.889999933,2.881129485,2.872259036,2.863388588,2.854518139,2.845647691,2.79294038,2.740233068,2.687525757,2.634818445,2.582111134,2.574615578,2.423627801,2.379699104,2.335770406,2.291841708,2.24791301,2.203984312,2.160055614,2.116126916,2.072198219,2.028269521,1.984340823,1.940412125,1.896483427,1.852554729
11,9.268126912,9.268126912,9.268126912,9.268126912,9.268126912,8.617619009,8.461883446,8.211753757,7.790379687,7.737662297,7.554505759,7.303019312,7.122419658,7.047918555,6.668095544,6.343671952,6.252434842,6.191169012,6.168621645,5.911409256,5.895934399,5.651433698,5.413777357,5.417564687,5.425475201,5.198831681,5.209862744,5.222936287,5.237060295,5.190038986,5.143017677,5.095996367,5.048975058,4.99979484,4.950614622,4.901434403,4.852254185,4.803073967,4.730432048,4.65779013,4.585148211,4.512506293,4.439864374,4.412389003,4.384913631,4.35743826,4.329962888,4.302487517,4.246401765,4.190316013,4.134230262,4.07814451,4.022058758,4.019166961,3.907842634,3.796518307,3.685193979,3.573869652,3.530100059,3.486330465,3.442560872,3.398791278,3.355021685,3.351490916,3.347960147,3.344429378,3.340898609,3.33736784,3.284132759,3.230897678,3.177662596,3.124427515,3.071192434,3.060546617,3.0499008,3.039254983,3.028609166,3.017963349,2.793620231,2.720002007,2.6723816,2.624761193,2.577140786,2.529520379,2.481899971,2.434279564,2.386659157,2.33903875,2.291418343,2.243797936,2.196177528,2.148557121,2.100936714
12,11.16907528,11.16907528,11.16907528,11.16907528,11.16907528,9.814918676,9.751396744,9.292267144,9.017551434,8.850791744,8.498824329,8.298546497,8.022657931,7.848677498,7.766688672,7.610748279,7.508740643,7.204818583,7.134312954,7.10836465,6.612163547,6.594876723,6.584780221,6.347042161,6.351476601,6.360738694,6.136040743,6.149043351,6.164453391,6.060961642,5.957469893,5.853978144,5.750486395,5.658076339,5.565666282,5.473256226,5.380846169,5.288436113,5.264724385,5.241012657,5.21730093,5.193589202,5.169877474,5.090599317,5.011321161,4.932043004,4.852764848,4.773486691,4.712570202,4.651653713,4.590737225,4.529820736,4.468904247,4.463389051,4.406781143,4.350173235,4.293565327,4.236957419,4.19379978,4.15064214,4.107484501,4.064326861,4.021169222,4.018352996,4.015536771,4.012720545,4.00990432,4.007088094,3.909149619,3.811211144,3.71327267,3.615334195,3.51739572,3.462015917,3.406636113,3.35125631,3.295876506,3.240496703,3.229619486,3.193640599,3.142820368,3.092000136,3.041179905,2.990359674,2.939539442,2.888719211,2.83789898,2.787078749,2.736258517,2.685438286,2.634618055,2.583797823,2.532977592
13,13.73898569,13.73898569,13.73898569,13.73898569,13.73898569,12.51108319,12.03817501,11.7370556,11.24208136,10.91119379,10.71027892,10.28579069,10.04376571,9.710340542,9.551566212,9.20957602,8.787429701,8.669815919,8.393526912,8.311505736,8.044709657,8.017657712,7.761528221,7.74966242,7.746515242,7.517013115,7.527959311,7.305634765,7.321093724,7.221171853,7.121249982,7.02132811,6.921406239,6.834662313,6.747918388,6.661174462,6.574430537,6.487686611,6.418296534,6.348906457,6.279516381,6.210126304,6.140736227,6.099920158,6.059104089,6.01828802,5.977471951,5.936655882,5.867105241,5.797554599,5.728003958,5.658453316,5.588902675,5.578526689,5.519721894,5.460917098,5.402112303,5.343307507,5.211485199,5.079662892,4.947840584,4.816018277,4.684195969,4.637876304,4.591556639,4.545236975,4.49891731,4.452597645,4.44300344,4.433409235,4.42381503,4.414220825,4.40462662,4.346386628,4.288146635,4.229906643,4.17166665,4.113426658,4.099182968,3.865082969,3.802465304,3.73984764,3.677229975,3.614612311,3.551994646,3.489376982,3.426759317,3.364141653,3.301523988,3.238906324,3.176288659,3.113670994,3.05105333
14,17.72227116,17.72227116,17.72227116,17.72227116,17.72227116,16.09133548,15.47727014,14.53102514,14.2857551,13.74624433,13.34295478,12.83117119,12.58016647,12.28461189,11.87740578,11.49349395,11.13176134,10.90887532,10.52909892,10.29671295,10.19624209,9.922978784,9.889659654,9.629001613,9.61430233,9.610403614,9.382513341,9.396156033,9.177442317,9.022195432,8.866948547,8.711701661,8.556454776,8.476680892,8.396907008,8.317133123,8.237359239,8.157585355,8.044004839,7.930424323,7.816843807,7.703263291,7.589682775,7.494564088,7.399445401,7.304326713,7.209208026,7.114089339,7.034187255,6.954285171,6.874383086,6.794481002,6.714578918,6.473994633,6.411767415,6.349540198,6.28731298,6.225085762,6.182468065,6.139850367,6.09723267,6.054614972,6.011997275,5.922328573,5.83265987,5.742991168,5.653322465,5.563653763,5.509581514,5.455509264,5.401437015,5.347364765,5.293292516,5.276079192,5.258865867,5.241652543,5.224439218,5.207225894,4.972553666,4.724436878,4.647505559,4.57057424,4.493642921,4.416711603,4.339780284,4.262848965,4.185917646,4.108986328,4.032055009,3.95512369,3.878192371,3.801261053,3.724329734
15,22.5096488,22.5096488,22.5096488,22.5096488,22.5096488,21.00687781,19.94839665,19.17731998,18.34235166,17.61648903,17.29968637,16.52498524,16.22370629,15.32939027,14.97095634,14.4769828,14.36110137,13.97125775,13.69277659,13.51055454,13.11028371,12.9829357,12.70080203,12.65834654,12.39163167,12.37279945,12.1344497,11.90929322,11.69267898,11.54215467,11.39163036,11.24110605,11.09058174,10.97258877,10.85459581,10.73660284,10.61860988,10.50061691,10.39297429,10.28533166,10.17768904,10.07004641,9.962403786,9.810298097,9.658192408,9.50608672,9.353981031,9.201875342,9.105717523,9.009559703,8.913401884,8.817244064,8.721086245,8.691563166,8.567049506,8.442535847,8.318022187,8.193508527,8.106159934,8.018811341,7.931462748,7.844114155,7.756765562,7.66892119,7.581076817,7.493232445,7.405388072,7.3175437,7.263183416,7.208823132,7.154462848,7.100102564,7.04574228,6.894215445,6.742688609,6.591161774,6.439634938,6.288108103,6.26585369,6.109313794,6.007760823,5.906207852,5.804654881,5.703101911,5.60154894,5.499995969,5.398442998,5.296890027,5.195337056,5.093784085,4.992231114,4.890678143,4.789125172
16,29.41065571,29.41065571,29.41065571,29.41065571,29.41065571,26.67163195,25.79746411,24.7989976,23.63386841,22.93311819,22.03203118,21.36206763,20.74336684,20.36724524,19.56942189,18.86595737,18.4866404,18.1642484,17.73704117,17.38521646,17.15496497,16.84104661,16.67825531,16.38415699,15.86309218,15.82201168,15.56575719,15.3272365,15.33770845,15.13330043,14.9288924,14.72448438,14.52007635,14.36674045,14.21340455,14.06006865,13.90673275,13.75339685,13.56077714,13.36815744,13.17553773,12.98291803,12.79029832,12.62997188,12.46964543,12.30931899,12.14899254,11.9886661,11.87072609,11.75278608,11.63484607,11.51690606,11.39896605,11.35152099,11.16063729,10.96975358,10.77886988,10.58798617,10.45489217,10.32179817,10.18870417,10.05561017,9.922516174,9.83681559,9.751115005,9.665414421,9.579713836,9.494013252,9.396268394,9.298523535,9.200778677,9.103033818,9.00528896,8.893691104,8.782093248,8.670495392,8.558897536,8.44729968,7.986444629,7.891540125,7.758327578,7.62511503,7.491902482,7.358689934,7.225477387,7.092264839,6.959052291,6.825839743,6.692627195,6.559414648,6.4262021,6.292989552,6.159777004
17,37.23841898,37.23841898,37.23841898,37.23841898,37.23841898,33.9748586,33.00684892,31.52480079,30.33972715,29.07542806,27.98707107,27.20531317,26.17288985,25.41996457,24.96209703,24.24303644,23.68253561,23.14836911,22.62770208,22.3954561,21.95384554,21.43430041,21.22070953,20.7832725,20.47616388,20.17643948,19.89317826,19.86322094,19.62432123,19.30504533,18.98576942,18.66649352,18.34721761,18.15910311,17.97098861,17.7828741,17.5947596,17.4066451,17.18170734,16.95676958,16.73183181,16.50689405,16.28195629,16.11791792,15.95387955,15.78984118,15.62580281,15.46176444,15.27300553,15.08424662,14.89548772,14.70672881,14.5179699,14.2236762,14.0718293,13.9199824,13.7681355,13.6162886,13.47937193,13.34245526,13.20553859,13.06862192,12.93170525,12.76056327,12.58942129,12.4182793,12.24713732,12.07599534,11.93636801,11.79674068,11.65711335,11.51748602,11.37785869,11.22022589,11.0625931,10.9049603,10.74732751,10.58969471,10.5548172,10.09394583,9.925155789,9.756365745,9.587575701,9.418785657,9.249995613,9.081205569,8.912415526,8.743625482,8.574835438,8.406045394,8.23725535,8.068465306,7.899675262
18,45.22687202,45.22687202,45.22687202,45.22687202,45.22687202,41.83131522,40.05122601,38.34830154,37.01046686,35.90562975,34.55133379,33.63368576,32.43000524,31.59024188,30.69164684,30.14490343,29.23392134,28.56501104,27.87851582,27.64195095,26.88932918,26.59556016,26.24869612,25.67993463,25.43552557,24.8844486,24.34347262,24.05228279,23.78768576,23.57834132,23.36899688,23.15965243,22.95030799,22.63534926,22.32039053,22.00543181,21.69047308,21.37551435,21.12286237,20.87021039,20.6175584,20.36490642,20.11225444,19.90732598,19.70239752,19.49746906,19.2925406,19.08761214,18.87490414,18.66219614,18.44948815,18.23678015,18.02407215,17.47857216,17.30496806,17.13136396,16.95775986,16.78415576,16.59695176,16.40974777,16.22254377,16.03533978,15.84813578,15.67987881,15.51162185,15.34336488,15.17510792,15.00685095,14.87093467,14.7350184,14.59910212,14.46318585,14.32726957,14.0823157,13.83736183,13.59240795,13.34745408,13.10250021,13.06235024,12.57260187,12.36781581,12.16302976,11.9582437,11.75345765,11.54867159,11.34388554,11.13909948,10.93431343,10.72952737,10.52474132,10.31995526,10.11516921,9.91038315
19,52.39309655,52.39309655,52.39309655,52.39309655,52.39309655,48.32711985,46.54444259,44.98534937,43.06370265,41.87051543,40.34118558,39.40059256,37.56794202,36.74209229,35.84306089,34.84112188,34.23100307,33.42599215,32.67337912,32.09951781,31.43311549,30.88627349,30.52016381,29.90323045,29.88464527,29.14907474,28.82014415,28.2744659,27.97770808,27.6968108,27.41591352,27.13501623,26.85411895,26.50397122,26.15382348,25.80367575,25.45352801,25.10338028,24.82636246,24.54934464,24.27232682,23.995309,23.71829118,23.43818666,23.15808214,22.87797763,22.59787311,22.31776859,22.04616192,21.77455525,21.50294859,21.23134192,20.95973525,20.61023846,20.3575914,20.10494434,19.85229728,19.59965022,19.40312671,19.2066032,19.01007968,18.81355617,18.61703266,18.40813526,18.19923787,17.99034047,17.78144308,17.57254568,17.31360743,17.05466917,16.79573092,16.53679266,16.27785441,16.12232791,15.9668014,15.8112749,15.65574839,15.50022189,15.45742327,14.58021813,14.33510689,14.08999566,13.84488442,13.59977318,13.35466194,13.1095507,12.86443946,12.61932823,12.37421699,12.12910575,11.88399451,11.63888327,11.39377204
