Age,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,7.253976842,7.253976842,7.253976842,7.253976842,7.253976842,6.835026241,6.620553075,6.487809969,6.219275427,6.094652605,5.880848888,5.921135622,5.85970839,5.511394809,5.445167167,5.31414169,5.011400937,4.993358833,4.976585167,4.963567415,4.708167928,4.706348617,4.709755142,4.716676679,4.476453853,4.48604839,4.49740275,4.509650652,4.270745145,4.216792414,4.162839683,4.108886952,4.054934221,3.999603463,3.944272704,3.888941946,3.833611187,3.778280429,3.755253701,3.732226973,3.709200246,3.686173518,3.66314679,3.595008681,3.526870572,3.458732462,3.390594353,3.322456244,3.315964864,3.309473483,3.302982103,3.296490722,3.289999342,3.288979101,3.172327801,3.0556765,2.9390252,2.822373899,2.775647291,2.728920683,2.682194076,2.635467468,2.58874086,2.585069033,2.581397206,2.577725379,2.574053552,2.570381725,2.516482778,2.462583832,2.408684885,2.354785939,2.300886992,2.293065236,2.285243479,2.277421723,2.269599966,2.26177821,2.255218576,2.039953356,1.998150931,1.956348505,1.914546079,1.872743653,1.830941227,1.789138802,1.747336376,1.70553395,1.663731524,1.621929099,1.580126673,1.538324247,1.496521821
11,7.920048576,7.920048576,7.920048576,7.920048576,7.920048576,7.245545499,7.124050498,6.899684339,6.761134744,6.7522127,6.617362901,6.385908089,6.172426741,6.10845563,6.006592235,5.934483304,5.81452671,5.75748473,5.487351654,5.468936441,5.45464463,5.446286004,5.196720622,5.200478444,5.208113745,4.968993481,4.730651635,4.74261338,4.755516399,4.704256339,4.652996278,4.601736218,4.550476157,4.498955944,4.44743573,4.395915517,4.344395303,4.29287509,4.220562109,4.148249127,4.075936146,4.003623164,3.931310183,3.859342364,3.787374545,3.715406727,3.643438908,3.571471089,3.562019374,3.552567659,3.543115945,3.53366423,3.524212515,3.521721981,3.463339277,3.404956574,3.34657387,3.288191166,3.242065839,3.195940512,3.149815186,3.103689859,3.057564532,3.054358287,3.051152042,3.047945797,3.044739552,3.041533307,2.940734299,2.83993529,2.739136282,2.638337273,2.537538265,2.528730592,2.519922919,2.511115245,2.502307572,2.493499899,2.485707184,2.350602857,2.307002529,2.2634022,2.219801872,2.176201544,2.132601216,2.089000887,2.045400559,2.001800231,1.958199903,1.914599574,1.870999246,1.827398918,1.783798589
12,9.464156658,9.464156658,9.464156658,9.464156658,9.464156658,8.497695366,8.142241951,8.004316402,7.752027012,7.597308864,7.284578816,7.139853871,6.890356563,6.680507307,6.611334879,6.501186467,6.423210518,6.314279364,6.25239154,6.229908545,5.960659646,5.945097029,5.935995132,5.686453878,5.690562079,5.698909278,5.460872846,5.472541523,5.48636638,5.437949497,5.389532614,5.341115731,5.292698848,5.195045926,5.097393005,4.999740083,4.902087162,4.80443424,4.733429433,4.662424626,4.59141982,4.520415013,4.449410206,4.420267684,4.391125161,4.361982639,4.332840116,4.303697594,4.242057443,4.180417292,4.118777142,4.057136991,3.99549684,3.990591593,3.931210435,3.871829276,3.812448118,3.753066959,3.707441829,3.661816699,3.61619157,3.57056644,3.52494131,3.475658505,3.4263757,3.377092896,3.327810091,3.278527286,3.27034344,3.262159594,3.253975747,3.245791901,3.237608055,3.180933765,3.124259474,3.067585184,3.010910893,2.954236603,2.944333969,2.800483452,2.754086829,2.707690206,2.661293584,2.614896961,2.568500338,2.522103716,2.475707093,2.42931047,2.382913847,2.336517225,2.290120602,2.243723979,2.197327357
13,11.3795008,11.3795008,11.3795008,11.3795008,11.3795008,10.02810735,9.660138755,9.638612281,9.475024428,9.177442992,8.994903825,8.625592673,8.45438069,8.159206517,7.95818615,7.875856182,7.74475293,7.405103597,7.065835926,6.996641612,6.722521693,6.699984615,6.682506683,6.425162915,6.422655175,6.427291268,6.18914523,6.200181541,6.213418499,6.167211522,6.121004545,6.074797568,6.028590591,5.935664012,5.842737432,5.749810853,5.656884273,5.563957694,5.544923535,5.525889376,5.506855217,5.487821058,5.468786899,5.384310094,5.29983329,5.215356485,5.130879681,5.046402876,5.025259944,5.004117011,4.982974079,4.961831146,4.940688214,4.696687896,4.69407149,4.691455084,4.688838678,4.686222272,4.594115692,4.502009113,4.409902533,4.317795954,4.225689374,4.130364632,4.03503989,3.939715147,3.844390405,3.749065663,3.694633808,3.640201953,3.585770098,3.531338243,3.476906388,3.465094161,3.453281934,3.441469708,3.429657481,3.417845254,3.405971349,3.181946294,3.122140236,3.062334178,3.00252812,2.942722062,2.882916004,2.823109946,2.763303887,2.703497829,2.643691771,2.583885713,2.524079655,2.464273597,2.404467539
14,13.14168378,13.14168378,13.14168378,13.14168378,13.14168378,11.92390882,11.73611489,11.40384222,10.83045524,10.35190564,10.0275902,9.829003423,9.695115547,9.238875075,9.171343627,8.977374451,8.884579163,8.487184352,8.385537414,8.320537355,7.989453921,7.711979939,7.686147331,7.666113552,7.407462277,7.404573558,7.409913971,7.173388214,7.186168855,7.141773021,7.097377186,7.052981352,7.008585517,6.870343374,6.732101231,6.593859088,6.455616945,6.317374802,6.252892688,6.188410573,6.123928459,6.059446344,5.99496423,5.955985691,5.917007152,5.878028612,5.839050073,5.800071534,5.724234137,5.648396739,5.572559342,5.496721944,5.420884547,5.406866721,5.342802159,5.278737598,5.214673036,5.150608474,5.105343436,5.060078397,5.014813359,4.96954832,4.924283282,4.876901724,4.829520166,4.782138608,4.73475705,4.687375492,4.632529327,4.577683162,4.522836998,4.467990833,4.413144668,4.398773598,4.384402528,4.370031457,4.355660387,4.341289317,4.325830673,4.067349038,4.014103194,3.96085735,3.907611507,3.854365663,3.801119819,3.747873976,3.694628132,3.641382288,3.588136445,3.534890601,3.481644757,3.428398914,3.37515307
15,15.68510686,15.68510686,15.68510686,15.68510686,15.68510686,13.63605373,13.25783732,13.11180091,12.80972608,12.28019205,12.07441373,11.69850944,11.4677616,10.99918177,10.78184128,10.40712152,10.22223131,10.11695196,9.94925878,9.830521804,9.797862559,9.453535871,9.171787581,8.894115554,8.62459834,8.611420712,8.362129392,8.122017312,8.133828593,8.028054718,7.922280843,7.816506967,7.710733092,7.627768376,7.54480366,7.461838943,7.378874227,7.295909511,7.237032175,7.178154839,7.119277503,7.060400167,7.001522831,6.959142968,6.916763105,6.874383241,6.832003378,6.789623515,6.657281435,6.524939355,6.392597276,6.260255196,6.127913116,6.107128428,6.039099775,5.971071123,5.90304247,5.835013817,5.789249649,5.74348548,5.697721312,5.651957143,5.606192975,5.513361798,5.42053062,5.327699443,5.234868265,5.142037088,5.134786177,5.127535265,5.120284354,5.113033442,5.105782531,5.044514129,4.983245727,4.921977326,4.860708924,4.799440522,4.782411656,4.525259302,4.459604976,4.39395065,4.328296324,4.262641998,4.196987672,4.131333346,4.06567902,4.000024694,3.934370368,3.868716043,3.803061717,3.737407391,3.671753065
16,17.6757938,17.6757938,17.6757938,17.6757938,17.6757938,16.15068323,15.20813418,14.8498515,14.47075347,13.90993894,13.7130047,13.19191599,12.78303776,12.53199139,12.28921328,12.04737236,11.63031771,11.45440384,11.33689732,11.14970837,10.77232687,10.510379,10.40825127,10.12415673,10.09046967,10.06433812,9.803921569,9.800102411,9.561917091,9.457132336,9.352347581,9.247562825,9.14277807,9.015766607,8.888755145,8.761743682,8.63473222,8.507720757,8.355843427,8.203966097,8.052088768,7.900211438,7.748334108,7.658258504,7.568182899,7.478107295,7.38803169,7.297956086,7.253182251,7.208408416,7.163634582,7.118860747,7.074086912,6.809749683,6.79445738,6.779165077,6.763872774,6.748580471,6.655069799,6.561559127,6.468048455,6.374537783,6.281027111,6.236155111,6.19128311,6.14641111,6.101539109,6.056667109,5.957673006,5.858678904,5.759684801,5.660690699,5.561696596,5.500535968,5.43937534,5.378214712,5.317054084,5.255893456,5.237652803,5.019019014,4.941433002,4.863846989,4.786260977,4.708674964,4.631088952,4.553502939,4.475916927,4.398330914,4.320744901,4.243158889,4.165572876,4.087986864,4.010400851
17,19.66667641,19.66667641,19.66667641,19.66667641,19.66667641,17.842401,17.37688085,16.46934946,16.1283709,15.510653,15.26374601,14.81112849,14.2751016,14.11767363,13.56521547,13.28204692,13.02212198,12.57374501,12.4050947,12.02793488,11.8303819,11.69043722,11.45004916,11.33937771,11.29907421,11.01685579,10.98847431,10.72799177,10.72383445,10.617377,10.51091955,10.40446209,10.29800464,10.12603032,9.954055999,9.782081679,9.610107358,9.438133038,9.344559146,9.250985253,9.157411361,9.063837468,8.970263576,8.833090566,8.695917557,8.558744547,8.421571538,8.284398528,8.183718865,8.083039202,7.982359538,7.881679875,7.781000212,7.742207937,7.603344945,7.464481953,7.32561896,7.186755968,7.137670229,7.08858449,7.039498752,6.990413013,6.941327274,6.851100853,6.760874432,6.670648011,6.58042159,6.490195169,6.43953145,6.38886773,6.338204011,6.287540291,6.236876572,6.175876198,6.114875824,6.053875449,5.992875075,5.931874701,5.912275476,5.476957479,5.385595465,5.29423345,5.202871436,5.111509421,5.020147406,4.928785392,4.837423377,4.746061363,4.654699348,4.563337334,4.471975319,4.380613304,4.28925129
18,21.62937931,21.62937931,21.62937931,21.62937931,21.62937931,19.43670332,18.68568571,18.2142727,17.60497634,17.28291044,16.4307874,16.20722501,15.786981,14.9543031,14.49938099,14.21973316,13.91375572,13.90204721,13.67737315,13.26757954,13.13366853,12.92030609,12.52818842,12.30863155,12.19095918,12.14809992,11.86613067,11.83589174,11.57692141,11.40546873,11.23401605,11.06256336,10.89111068,10.8202978,10.74948492,10.67867205,10.60785917,10.53704629,10.40303562,10.26902495,10.13501428,10.00100361,9.866992935,9.737010684,9.607028432,9.477046181,9.347063929,9.217081678,9.110196083,9.003310487,8.896424892,8.789539296,8.682653701,8.632818242,8.485890624,8.338963006,8.192035388,8.04510777,7.947099442,7.849091114,7.751082786,7.653074458,7.55506613,7.512000049,7.468933968,7.425867886,7.382801805,7.339735724,7.199633487,7.05953125,6.919429013,6.779326776,6.639224539,6.579932213,6.520639887,6.46134756,6.402055234,6.342762908,6.323339446,5.94224174,5.837390144,5.732538549,5.627686953,5.522835357,5.417983761,5.313132166,5.20828057,5.103428974,4.998577379,4.893725783,4.788874187,4.684022591,4.579170996
19,22.56261746,22.56261746,22.56261746,22.56261746,22.56261746,20.9626341,19.8217076,19.08392025,18.61693989,18.29228458,17.72139846,17.44701152,16.97084353,16.29493256,15.75352485,15.28442681,14.99575567,14.66551058,14.63981019,14.15079379,13.99738224,13.85876701,13.63779919,13.00808393,12.80282918,12.68270271,12.6389389,12.36055746,12.3296376,12.21174413,12.09385066,11.97595719,11.85806372,11.74115587,11.62424803,11.50734018,11.39043234,11.27352449,11.14883269,11.02414088,10.89944908,10.77475727,10.65006547,10.53080993,10.41155439,10.29229884,10.1730433,10.05378776,9.944664686,9.835541612,9.726418538,9.617295464,9.50817239,9.449138285,9.180978392,8.9128185,8.644658607,8.376498714,8.320748736,8.264998759,8.209248781,8.153498804,8.097748826,8.010082512,7.922416197,7.834749883,7.747083568,7.659417254,7.568559814,7.477702374,7.386844933,7.295987493,7.205130053,7.103428621,7.001727189,6.900025757,6.798324325,6.696622893,6.678212554,6.273653305,6.156775402,6.039897498,5.923019594,5.80614169,5.689263786,5.572385883,5.455507979,5.338630075,5.221752171,5.104874267,4.987996364,4.87111846,4.754240556
