Age,2004Est,2005Est,2006Est,2007Est,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,468.4525828,468.4525828,468.4525828,468.4525828,468.4525828,458.0940675,452.8799715,448.3936534,443.0109632,438.2231675,433.7500624,429.2639187,424.4556744,419.6882318,415.2938922,411.2736168,406.5447575,402.2865904,397.6023604,393.648377,389.8128321,385.998085,381.3842958,377.4691047,373.945602,369.7053311,366.4847891,362.6629321,359.2187735,348.2680376,348.2680376,348.2680376,348.2680376,348.2680376,348.2680376,348.2680376,331.3614953,331.3614953,331.3614953,331.3614953,331.3614953,314.6988384,314.6988384,314.6988384,314.6988384,314.6988384,299.756506,299.756506,299.756506,299.756506,299.756506,299.756506,299.756506,279.1003857,279.1003857,279.1003857,271.2297606,271.2297606,271.2297606,271.2297606,271.2297606,257.7003458,257.7003458,257.7003458,257.7003458,257.7003458,245.370078,245.370078,245.370078,245.370078,245.370078,233.1616987,233.1616987,233.1616987,233.1616987,233.1616987,221.8419197,221.8419197,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268,217.8265268
1,23.07055519,23.07055519,23.07055519,23.07055519,23.07055519,22.35653474,21.96738889,21.36284395,21.15305291,20.64300308,20.09045994,19.50808004,19.14277098,19.00700135,18.62924947,18.27871174,17.70097663,17.15213173,16.88346572,16.63344243,16.39655058,16.16789979,15.94301657,15.71804406,15.233315,15.26144932,14.76668636,14.52195538,14.52530775,14.18381189,14.18381189,14.18381189,14.18381189,14.18381189,14.18381189,14.18381189,13.53648082,13.53648082,13.53648082,13.53648082,13.53648082,12.94678627,12.94678627,12.94678627,12.94678627,12.94678627,12.30671223,12.30671223,12.30671223,12.30671223,12.30671223,12.30671223,12.30671223,11.5128068,11.5128068,11.5128068,11.24431504,11.24431504,11.24431504,11.24431504,11.24431504,10.43712581,10.43712581,10.43712581,10.43712581,10.43712581,10.0533059,10.0533059,10.0533059,10.0533059,10.0533059,9.437176029,9.437176029,9.437176029,9.437176029,9.437176029,9.100961517,9.100961517,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003,9.070809003
2,15.08759185,15.08759185,15.08759185,15.08759185,15.08759185,14.63367045,14.27573981,14.10043163,13.69383225,13.46531098,13.4780506,12.93480069,12.63603481,12.5693277,12.22029818,12.1438556,11.82613524,11.78429614,11.50409674,11.49545674,11.24387975,11.25688205,11.01976382,10.78491037,10.29235432,10.31299954,10.07371896,10.08906837,9.840047439,9.816381992,9.816381992,9.816381992,9.816381992,9.816381992,9.816381992,9.816381992,9.321683748,9.321683748,9.321683748,9.321683748,9.321683748,8.817327027,8.817327027,8.817327027,8.817327027,8.817327027,8.448086508,8.448086508,8.448086508,8.448086508,8.448086508,8.448086508,8.448086508,7.669814486,7.669814486,7.669814486,7.652920905,7.652920905,7.652920905,7.652920905,7.652920905,7.360081293,7.360081293,7.360081293,7.360081293,7.360081293,7.027077673,7.027077673,7.027077673,7.027077673,7.027077673,6.685693998,6.685693998,6.685693998,6.685693998,6.685693998,6.374516504,6.374516504,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939,6.124559939
3,12.84165948,12.84165948,12.84165948,12.84165948,12.84165948,12.54596703,12.16867405,11.91580191,11.9877204,11.82716569,11.59475285,11.34223479,11.32932504,11.29824746,10.97735007,10.89971998,10.8316656,10.26443757,9.972486166,9.951721393,9.689280086,9.692591799,9.703779367,9.464440562,9.483215989,9.2457046,9.264215424,9.281244924,9.03715562,8.782987869,8.782987869,8.782987869,8.782987869,8.782987869,8.782987869,8.782987869,8.60437102,8.60437102,8.60437102,8.60437102,8.60437102,8.105359853,8.105359853,8.105359853,8.105359853,8.105359853,7.484090273,7.484090273,7.484090273,7.484090273,7.484090273,7.484090273,7.484090273,7.18241171,7.18241171,7.18241171,6.929030007,6.929030007,6.929030007,6.929030007,6.929030007,6.64912564,6.64912564,6.64912564,6.64912564,6.64912564,6.332914266,6.332914266,6.332914266,6.332914266,6.332914266,6.00215154,6.00215154,6.00215154,6.00215154,6.00215154,5.693917757,5.693917757,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271,5.444300271
4,10.73633873,10.73633873,10.73633873,10.73633873,10.73633873,10.54662893,10.30365139,10.26455541,10.35102928,9.893025157,9.715136445,9.740892266,9.750312932,9.476003338,9.450034256,9.400263207,9.333848423,9.275625203,9.229372992,8.941321936,8.922721583,8.916016222,8.919060797,8.674221744,8.688896612,8.706117328,8.467226701,8.484162896,8.49974372,8.006384446,8.006384446,8.006384446,8.006384446,8.006384446,8.006384446,8.006384446,7.630228932,7.630228932,7.630228932,7.630228932,7.630228932,7.15351694,7.15351694,7.15351694,7.15351694,7.15351694,7.011554558,7.011554558,7.011554558,7.011554558,7.011554558,7.011554558,7.011554558,6.462870807,6.462870807,6.462870807,6.450010033,6.450010033,6.450010033,6.450010033,6.450010033,6.179118382,6.179118382,6.179118382,6.179118382,6.179118382,5.875813506,5.875813506,5.875813506,5.875813506,5.875813506,5.553151761,5.553151761,5.553151761,5.553151761,5.553151761,5.245943517,5.245943517,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729,4.768684729
5,9.932459277,9.932459277,9.932459277,9.932459277,9.932459277,9.570071776,9.400745223,9.462818083,9.179240877,9.052840135,9.107847321,8.923462934,8.947109426,8.955758553,8.945555769,8.658667457,8.61308458,8.552258185,8.49893377,8.456572935,8.426708068,8.409185889,7.893604398,7.896298674,7.905380249,7.918748531,7.678486417,7.694063517,7.709446385,7.484740163,7.484740163,7.484740163,7.484740163,7.484740163,7.484740163,7.484740163,7.155799648,7.155799648,7.155799648,7.155799648,7.155799648,6.943635043,6.943635043,6.943635043,6.943635043,6.943635043,6.543820573,6.543820573,6.543820573,6.543820573,6.543820573,6.543820573,6.543820573,6.225576584,6.225576584,6.225576584,5.97351582,5.97351582,5.97351582,5.97351582,5.97351582,5.709527774,5.709527774,5.709527774,5.709527774,5.709527774,5.41821557,5.41821557,5.41821557,5.41821557,5.41821557,5.104597851,5.104597851,5.104597851,5.104597851,5.104597851,4.799890288,4.799890288,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772,4.549300772
6,9.532771207,9.532771207,9.532771207,9.532771207,9.532771207,9.318431858,9.268189546,9.104643653,8.895684203,8.899244373,8.78498491,8.578536502,8.651970552,8.674873623,8.420121987,8.410539457,8.125393164,8.082662168,8.025640627,7.975651109,7.935939052,7.907941359,7.636949599,7.631179984,7.63378203,7.642552715,7.400281211,7.414907544,7.429934437,7.212089523,7.212089523,7.212089523,7.212089523,7.212089523,7.212089523,7.212089523,6.922970416,6.922970416,6.922970416,6.922970416,6.922970416,6.730414494,6.730414494,6.730414494,6.730414494,6.730414494,6.316597589,6.316597589,6.316597589,6.316597589,6.316597589,6.316597589,6.316597589,5.985744351,5.985744351,5.985744351,5.73275337,5.73275337,5.73275337,5.73275337,5.73275337,5.472880686,5.472880686,5.472880686,5.472880686,5.472880686,5.190564497,5.190564497,5.190564497,5.190564497,5.190564497,4.883755003,4.883755003,4.883755003,4.883755003,4.883755003,4.808396835,4.808396835,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099,4.555518099
7,8.579561646,8.579561646,8.579561646,8.579561646,8.579561646,8.610456785,8.416572231,8.399418413,8.251341554,8.34009808,8.090811266,8.268947518,8.05931657,7.866108348,7.88693293,7.894529091,7.885543958,7.863922682,7.822563402,7.508459963,7.461688091,7.42453219,7.39833665,7.382948444,7.377370298,7.379885993,7.133594389,7.145627897,7.159751966,6.944533752,6.944533752,6.944533752,6.944533752,6.944533752,6.944533752,6.944533752,6.687844842,6.687844842,6.687844842,6.687844842,6.687844842,6.523124476,6.523124476,6.523124476,6.523124476,6.523124476,6.098304671,6.098304671,6.098304671,6.098304671,6.098304671,6.098304671,6.098304671,5.752926202,5.752926202,5.752926202,5.498038634,5.498038634,5.498038634,5.498038634,5.498038634,5.240341099,5.240341099,5.240341099,5.240341099,5.240341099,4.96599476,4.96599476,4.96599476,4.96599476,4.96599476,4.666257591,4.666257591,4.666257591,4.666257591,4.666257591,4.592907632,4.592907632,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368,4.567242368
8,8.426298478,8.426298478,8.426298478,8.426298478,8.426298478,8.272058824,8.301561924,8.114809527,8.108843853,7.966087229,8.061624167,7.820822265,7.751897923,7.79907503,7.603625618,7.623754568,7.631096983,7.359570201,7.339391827,7.300792657,7.249266012,7.20411046,7.168238559,7.142948252,7.12809181,7.122706425,6.870666073,6.878542768,6.890145561,6.674830498,6.674830498,6.674830498,6.674830498,6.674830498,6.674830498,6.674830498,6.442452152,6.442452152,6.442452152,6.442452152,6.442452152,6.059244261,6.059244261,6.059244261,6.059244261,6.059244261,5.881142118,5.881142118,5.881142118,5.881142118,5.881142118,5.881142118,5.881142118,5.280135171,5.280135171,5.280135171,5.262729826,5.262729826,5.262729826,5.262729826,5.262729826,5.006090744,5.006090744,5.006090744,5.006090744,5.006090744,4.73850557,4.73850557,4.73850557,4.73850557,4.73850557,4.680388004,4.680388004,4.680388004,4.680388004,4.680388004,4.376357535,4.376357535,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395,4.350424395
9,8.462458782,8.462458782,8.462458782,8.462458782,8.462458782,8.130546463,7.970619072,7.999212385,7.819266673,7.824181938,7.686548256,7.788725264,7.555927355,7.498073771,7.543734148,7.345957887,7.365416738,7.372514738,7.101095936,7.081614293,7.044348085,6.994601204,6.951005708,6.916373361,6.891957086,6.87761413,6.617881005,6.620122116,6.627716089,6.409138919,6.409138919,6.409138919,6.409138919,6.409138919,6.409138919,6.409138919,6.193100886,6.193100886,6.193100886,6.193100886,6.193100886,6.098893559,6.098893559,6.098893559,6.098893559,6.098893559,5.668668775,5.668668775,5.668668775,5.668668775,5.668668775,5.668668775,5.668668775,5.05106385,5.05106385,5.05106385,5.030831812,5.030831812,5.030831812,5.030831812,5.030831812,4.773714021,4.773714021,4.773714021,4.773714021,4.773714021,4.511617415,4.511617415,4.511617415,4.511617415,4.511617415,4.461780156,4.461780156,4.461780156,4.461780156,4.461780156,4.161301285,4.161301285,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775,4.135525775
