Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,364.402,364.402,364.402,364.402,364.402,358.858,349.775,340.415,340.299,351.273,363.161,368.359,376.143,388.974,404.774,402.246,398.859,397.807,397.421,397.865,398.954,401.065,403.923,406.467,408.5,409.952,410.802,411.118,410.981,410.506,410.506,410.506,408.182,408.182,408.182,408.182,408.182,405.537,405.537,405.537,405.537,405.537,411.835,411.835,411.835,411.835,411.835,424.684,424.684,424.684,424.684,424.684,433.314,433.314,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218,435.218
11,375.212,375.212,375.212,375.212,375.212,364.544,359.04,349.949,340.584,340.458,351.422,363.293,368.491,376.275,389.106,404.905,402.378,398.991,397.94,397.554,397.998,399.088,401.199,404.057,406.601,408.634,410.086,410.937,411.254,411.117,411.117,411.117,409.144,409.144,409.144,409.144,409.144,405.757,405.757,405.757,405.757,405.757,409.808,409.808,409.808,409.808,409.808,422.378,422.378,422.378,422.378,422.378,432.217,432.217,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492,434.492
12,372.788,372.788,372.788,372.788,372.788,375.441,364.813,359.3,350.202,340.828,340.693,351.641,363.511,368.709,376.493,389.323,405.121,402.595,399.209,398.159,397.773,398.218,399.308,401.419,404.277,406.821,408.854,410.307,411.159,411.476,411.476,411.476,410.175,410.175,410.175,410.175,410.175,406.377,406.377,406.377,406.377,406.377,408.259,408.259,408.259,408.259,408.259,419.993,419.993,419.993,419.993,419.993,430.978,430.978,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683,433.683
13,375.934,375.934,375.934,375.934,375.934,373.191,375.883,365.247,359.725,350.62,341.237,341.088,352.035,363.904,369.102,376.886,389.715,405.512,402.986,399.601,398.552,398.166,398.611,399.702,401.813,404.671,407.215,409.248,410.701,411.554,411.554,411.554,411.261,411.261,411.261,411.261,411.261,407.387,407.387,407.387,407.387,407.387,407.382,407.382,407.382,407.382,407.382,417.713,417.713,417.713,417.713,417.713,429.655,429.655,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848,432.848
14,384.491,384.491,384.491,384.491,384.491,376.564,373.859,376.542,365.895,360.364,351.249,341.855,341.706,352.652,364.519,369.716,377.5,390.327,406.123,403.597,400.213,399.165,398.779,399.226,400.317,402.428,405.286,407.83,409.864,411.317,411.317,411.317,412.351,412.351,412.351,412.351,412.351,408.748,408.748,408.748,408.748,408.748,407.235,407.235,407.235,407.235,407.235,415.695,415.695,415.695,415.695,415.695,428.301,428.301,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007,432.007
15,391.822,391.822,391.822,391.822,391.822,385.51,377.624,374.907,377.575,366.918,361.373,352.242,342.85,342.702,353.647,365.511,370.708,378.491,391.317,407.111,404.586,401.203,400.156,399.77,400.218,401.31,403.422,406.282,408.826,410.86,410.86,410.86,413.484,413.484,413.484,413.484,413.484,410.56,410.56,410.56,410.56,410.56,407.929,407.929,407.929,407.929,407.929,414.234,414.234,414.234,414.234,414.234,427.084,427.084,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289,431.289
16,407.293,407.293,407.293,407.293,407.293,393.539,387.282,379.377,376.642,379.29,368.616,363.047,353.92,344.53,344.383,355.327,367.189,372.386,380.168,392.992,408.784,406.26,402.879,401.833,401.448,401.897,402.991,405.103,407.964,410.508,410.508,410.508,414.85,414.85,414.85,414.85,414.85,413.069,413.069,413.069,413.069,413.069,409.701,409.701,409.701,409.701,409.701,413.762,413.762,413.762,413.762,413.762,426.337,426.337,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006,431.006
17,417.735,417.735,417.735,417.735,417.735,410.072,396.407,390.123,382.19,379.423,382.041,371.334,365.77,356.647,347.263,347.118,358.06,369.921,375.118,382.899,395.721,411.511,408.988,405.609,404.564,404.182,404.631,405.726,407.838,410.7,410.7,410.7,416.734,416.734,416.734,416.734,416.734,416.619,416.619,416.619,416.619,416.619,412.843,412.843,412.843,412.843,412.843,414.738,414.738,414.738,414.738,414.738,426.478,426.478,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539,431.539
18,414.013,414.013,414.013,414.013,414.013,422.171,414.646,400.94,394.614,386.636,383.821,386.371,375.673,370.115,360.999,351.622,351.48,362.42,374.28,379.477,387.258,400.078,415.865,413.344,409.968,408.924,408.544,408.994,410.09,412.204,412.204,412.204,419.646,419.646,419.646,419.646,419.646,421.676,421.676,421.676,421.676,421.676,417.831,417.831,417.831,417.831,417.831,417.845,417.845,417.845,417.845,417.845,428.184,428.184,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484,433.484
19,417.45,417.45,417.45,417.45,417.45,420.254,428.593,421.003,407.242,400.853,392.808,389.904,392.458,381.771,376.218,367.112,357.741,357.602,368.541,380.4,385.597,393.378,406.196,421.981,419.462,416.089,415.048,414.669,415.121,416.218,416.218,416.218,423.74,423.74,423.74,423.74,423.74,428.28,428.28,428.28,428.28,428.28,424.706,424.706,424.706,424.706,424.706,423.216,423.216,423.216,423.216,423.216,431.69,431.69,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017,437.017
