Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,349.459,349.459,349.459,349.459,349.459,342.729,332.033,326.042,324.775,332.145,344.586,350.608,358.664,369.536,385.506,382.729,361.286,352.285,344.685,339.349,335.713,335.063,336.837,338.287,339.308,339.837,339.896,339.533,338.845,337.931,337.931,337.931,334.742,334.742,334.742,334.742,334.742,328.914,328.914,328.914,328.914,328.914,326.529,326.529,326.529,326.529,326.529,326.367,326.367,326.367,326.367,326.367,321.8,321.8,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72
11,358.042,358.042,358.042,358.042,358.042,349.491,342.734,332.032,326.034,324.76,332.123,344.55,350.571,358.627,369.498,385.467,382.691,361.25,352.249,344.65,339.314,335.679,335.03,336.803,338.253,339.274,339.803,339.863,339.5,338.812,338.812,338.812,335.787,335.787,335.787,335.787,335.787,330.019,330.019,330.019,330.019,330.019,326.478,326.478,326.478,326.478,326.478,326.714,326.714,326.714,326.714,326.714,322.861,322.861,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695,320.695
12,355.625,355.625,355.625,355.625,355.625,357.969,349.387,342.623,331.915,325.91,324.627,331.978,344.405,350.426,358.481,369.352,385.32,382.545,361.105,352.106,344.508,339.172,335.537,334.888,336.661,338.111,339.133,339.662,339.722,339.359,339.359,339.359,336.724,336.724,336.724,336.724,336.724,331.092,331.092,331.092,331.092,331.092,326.527,326.527,326.527,326.527,326.527,326.704,326.704,326.704,326.704,326.704,323.792,323.792,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629,321.629
13,356.976,356.976,356.976,356.976,356.976,355.298,357.607,349.018,342.248,331.535,325.522,324.229,331.58,344.007,350.028,358.083,368.954,384.921,382.147,360.708,351.711,344.113,338.778,335.144,334.495,336.268,337.718,338.74,339.269,339.329,339.329,339.329,337.365,337.365,337.365,337.365,337.365,331.915,331.915,331.915,331.915,331.915,326.609,326.609,326.609,326.609,326.609,326.248,326.248,326.248,326.248,326.248,324.367,324.367,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331,322.331
14,365.176,365.176,365.176,365.176,365.176,356.769,355.054,357.354,348.757,341.98,331.258,325.238,323.946,331.298,343.724,349.745,357.801,368.671,384.638,381.865,360.427,351.432,343.834,338.501,334.867,334.219,335.992,337.442,338.464,338.993,338.993,338.993,338.003,338.003,338.003,338.003,338.003,332.801,332.801,332.801,332.801,332.801,327.09,327.09,327.09,327.09,327.09,325.824,325.824,325.824,325.824,325.824,324.904,324.904,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126,323.126
15,371.45,371.45,371.45,371.45,371.45,365.506,357.073,355.347,357.636,349.03,342.242,331.51,325.492,324.201,331.553,343.979,350,358.057,368.927,384.893,382.122,360.686,351.692,344.096,338.764,335.13,334.483,336.256,337.706,338.728,338.728,338.728,338.954,338.954,338.954,338.954,338.954,334.165,334.165,334.165,334.165,334.165,328.339,328.339,328.339,328.339,328.339,325.954,325.954,325.954,325.954,325.954,325.793,325.793,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356,324.356
16,385.644,385.644,385.644,385.644,385.644,372.661,366.685,358.237,356.498,358.769,350.15,343.342,332.614,326.599,325.309,332.661,345.087,351.109,359.166,370.036,386.001,383.232,361.799,352.807,345.211,339.881,336.247,335.6,337.374,338.824,338.824,338.824,340.435,340.435,340.435,340.435,340.435,336.362,336.362,336.362,336.362,336.362,330.595,330.595,330.595,330.595,330.595,327.055,327.055,327.055,327.055,327.055,327.293,327.293,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288,326.288
17,391.952,391.952,391.952,391.952,391.952,388.458,375.412,369.407,360.929,359.157,361.397,352.745,345.941,335.215,329.203,327.914,335.268,347.693,353.717,361.774,372.644,388.607,385.84,364.41,355.42,347.825,342.496,338.863,338.216,339.99,339.99,339.99,342.991,342.991,342.991,342.991,342.991,340.055,340.055,340.055,340.055,340.055,334.424,334.424,334.424,334.424,334.424,329.862,329.862,329.862,329.862,329.862,330.038,330.038,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529,329.529
18,391.015,391.015,391.015,391.015,391.015,396.695,393.088,379.99,373.926,365.402,363.578,365.739,357.093,350.292,339.568,333.56,332.272,339.626,352.051,358.075,366.132,377.002,392.964,390.198,368.772,359.784,352.19,346.863,343.232,342.585,342.585,342.585,346.828,346.828,346.828,346.828,346.828,345.455,345.455,345.455,345.455,345.455,340.007,340.007,340.007,340.007,340.007,334.704,334.704,334.704,334.704,334.704,334.342,334.342,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279,334.279
19,398.613,398.613,398.613,398.613,398.613,397.426,402.937,399.254,386.07,379.942,371.345,369.41,371.573,362.931,356.134,345.414,339.409,338.122,345.476,357.9,363.925,371.982,382.851,398.812,396.048,374.625,365.64,358.047,352.721,349.09,349.09,349.09,351.664,351.664,351.664,351.664,351.664,352.227,352.227,352.227,352.227,352.227,347.028,347.028,347.028,347.028,347.028,341.318,341.318,341.318,341.318,341.318,340.053,340.053,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267,340.267
