Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,349.459,349.459,349.459,349.459,349.459,342.783,332.191,326.306,325.135,332.611,345.179,351.351,359.581,370.657,386.852,384.511,381.249,380.242,379.876,380.311,381.357,383.374,386.1,388.521,390.466,391.849,392.666,392.964,392.831,392.381,390.158,390.158,390.158,387.619,387.619,387.619,387.619,387.619,393.605,393.605,393.605,393.605,393.605,405.831,405.831,405.831,405.831,405.831,414.041,414.041,414.041,414.041,414.041,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848
11,358.042,358.042,358.042,358.042,358.042,349.551,342.905,332.306,326.414,325.236,332.704,345.259,351.431,359.66,370.736,386.929,384.59,381.328,380.321,379.956,380.391,381.437,383.454,386.18,388.601,390.546,391.93,392.747,393.045,392.912,391.029,391.029,391.029,387.79,387.79,387.79,387.79,387.79,391.631,391.631,391.631,391.631,391.631,403.59,403.59,403.59,403.59,403.59,412.949,412.949,412.949,412.949,412.949,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111,415.111
12,355.625,355.625,355.625,355.625,355.625,358.037,349.581,342.926,332.321,326.422,325.235,332.691,345.244,351.416,359.645,370.721,386.913,384.575,381.313,380.308,379.943,380.378,381.425,383.442,386.168,388.589,390.534,391.918,392.736,393.034,391.791,391.791,391.791,388.157,388.157,388.157,388.157,388.157,389.932,389.932,389.932,389.932,389.932,401.095,401.095,401.095,401.095,401.095,411.548,411.548,411.548,411.548,411.548,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119,414.119
13,356.976,356.976,356.976,356.976,356.976,355.375,357.822,349.36,342.699,332.087,326.18,324.983,332.439,344.992,351.164,359.393,370.469,386.66,384.323,381.062,380.058,379.693,380.129,381.176,383.193,385.919,388.34,390.285,391.67,392.488,392.203,392.203,392.203,388.496,388.496,388.496,388.496,388.496,388.473,388.473,388.473,388.473,388.473,398.294,398.294,398.294,398.294,398.294,409.666,409.666,409.666,409.666,409.666,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698,412.698
14,365.176,365.176,365.176,365.176,365.176,356.849,355.284,357.722,349.253,342.584,331.963,326.049,324.853,332.309,344.862,351.034,359.263,370.339,386.53,384.194,380.934,379.931,379.566,380.003,381.05,383.067,385.794,388.215,390.16,391.545,392.528,392.528,392.528,389.083,389.083,389.083,389.083,389.083,387.619,387.619,387.619,387.619,387.619,395.662,395.662,395.662,395.662,395.662,407.66,407.66,407.66,407.66,407.66,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183,411.183
15,371.45,371.45,371.45,371.45,371.45,365.584,357.307,355.732,358.159,349.681,343.002,332.37,326.458,325.263,332.72,345.273,351.445,359.675,370.751,386.941,384.606,381.348,380.346,379.981,380.419,381.467,383.484,386.211,388.633,390.578,393.079,393.079,393.079,390.278,390.278,390.278,390.278,390.278,387.747,387.747,387.747,387.747,387.747,393.737,393.737,393.737,393.737,393.737,405.965,405.965,405.965,405.965,405.965,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966,409.966
16,385.644,385.644,385.644,385.644,385.644,372.748,366.943,358.654,357.065,359.475,350.984,344.287,333.658,327.749,326.555,334.013,346.567,352.739,360.969,372.046,388.235,385.901,382.644,381.643,381.279,381.718,382.767,384.784,387.511,389.933,394.082,394.082,394.082,392.37,392.37,392.37,392.37,392.37,389.139,389.139,389.139,389.139,389.139,392.984,392.984,392.984,392.984,392.984,404.944,404.944,404.944,404.944,404.944,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388,409.388
17,391.952,391.952,391.952,391.952,391.952,388.6,375.801,369.969,361.651,360.031,362.411,353.888,347.195,336.569,330.662,329.472,336.93,349.484,355.656,363.887,374.964,391.152,388.819,385.564,384.563,384.2,384.641,385.69,387.707,390.436,396.189,396.189,396.189,396.067,396.067,396.067,396.067,396.067,392.442,392.442,392.442,392.442,392.442,394.221,394.221,394.221,394.221,394.221,405.386,405.386,405.386,405.386,405.386,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202,410.202
18,391.015,391.015,391.015,391.015,391.015,396.927,393.732,380.885,374.994,366.634,364.963,367.265,358.748,352.058,341.436,335.531,334.343,341.801,354.355,360.527,368.76,379.837,396.023,393.692,390.439,389.439,389.077,389.518,390.568,392.585,399.682,399.682,399.682,401.607,401.607,401.607,401.607,401.607,397.909,397.909,397.909,397.909,397.909,397.891,397.891,397.891,397.891,397.891,407.716,407.716,407.716,407.716,407.716,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76,412.76
19,398.613,398.613,398.613,398.613,398.613,397.774,403.912,400.644,387.715,381.762,373.331,371.552,373.857,365.343,358.657,348.039,342.136,340.95,348.408,360.963,367.135,375.369,386.445,402.631,400.301,397.049,396.05,395.69,396.131,397.181,404.352,404.352,404.352,408.671,408.671,408.671,408.671,408.671,405.236,405.236,405.236,405.236,405.236,403.779,403.779,403.779,403.779,403.779,411.826,411.826,411.826,411.826,411.826,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895,416.895
