Age,2004Est,2005Est,2006Est,2007Est,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
25,92.71571716,92.71571716,92.71571716,92.71571716,92.71571716,90.20506971,89.15618867,88.18002,87.38472856,86.89881949,86.63833909,86.61835786,86.60832549,86.60530091,86.61120421,86.61440129,86.62444878,86.62904602,86.58283545,86.53558419,86.54320533,86.54403798,86.53552084,86.53589363,86.54097835,86.55194803,86.5529742,86.55173484,86.55327135,86.56347807,86.56347807,86.56347807,86.56347807,86.56347807,86.56347807,86.56347807,86.56347807,86.57709707,86.57709707,86.57709707,86.57709707,86.59031069,86.59031069,86.59031069,86.59031069,86.59031069,86.60627671,86.60627671,86.60627671,86.60627671,86.60627671,86.60627671,86.60627671,86.6125411,86.6125411,86.6125411,86.61959699,86.62214908,86.62470118,86.62725328,86.62980538,86.63235748,86.63490958,86.63746168,86.64001378,86.64256588,86.64511798,86.64767008,86.65022218,86.65277428,86.65532638,86.65787848,86.66043057,86.66298267,86.66553477,86.66808687,86.67063897,86.67319107,86.67574317,86.67829527,86.68084737,86.68339947,86.68595157,86.68850367,86.69105577,86.69360787,86.69615996,86.69871206,86.70126416,86.70381626,86.70636836,86.70892046,86.71147256,86.71402466,86.71657676,86.71912886,86.72168096
26,99.84643971,99.84643971,99.84643971,99.84643971,99.84643971,97.58661164,96.53950448,95.79070766,95.37159458,94.95159868,94.69251341,94.68219283,94.65587106,94.64387108,94.64531376,94.64330661,94.65434313,94.66194228,94.67023579,94.61906158,94.56451829,94.57464265,94.57043554,94.55982894,94.56180108,94.56606102,94.57651769,94.5803902,94.57815824,94.58762971,94.58762971,94.58762971,94.58762971,94.58762971,94.58762971,94.58762971,94.58762971,94.60442601,94.60442601,94.60442601,94.60442601,94.61550041,94.61550041,94.61550041,94.61550041,94.61550041,94.62614934,94.62614934,94.62614934,94.62614934,94.62614934,94.62614934,94.62614934,94.63132821,94.63132821,94.63132821,94.63861304,94.64081972,94.6430264,94.64523308,94.64743976,94.64964644,94.65185312,94.6540598,94.65626648,94.65847316,94.66067984,94.66288652,94.66509319,94.66729987,94.66950655,94.67171323,94.67391991,94.67612659,94.67833327,94.68053995,94.68274663,94.68495331,94.68715999,94.68936667,94.69157335,94.69378003,94.69598671,94.69819339,94.70040006,94.70260674,94.70481342,94.7070201,94.70922678,94.71143346,94.71364014,94.71584682,94.7180535,94.72026018,94.72246686,94.72467354,94.72688022
27,106.3738315,106.3738315,106.3738315,106.3738315,106.3738315,104.6001721,103.6319912,102.5894992,101.9877723,101.6193318,101.3562854,101.2899713,101.266776,101.2343193,101.2271775,101.2319468,101.233159,101.2438674,101.2478379,101.2559534,101.2009685,101.1435421,101.1497992,101.1428962,101.1323894,101.1301677,101.1328905,101.1421989,101.1453445,101.1504065,101.1504065,101.1504065,101.1504065,101.1504065,101.1504065,101.1504065,101.1504065,101.1673995,101.1673995,101.1673995,101.1673995,101.1703089,101.1703089,101.1703089,101.1703089,101.1703089,101.1673815,101.1673815,101.1673815,101.1673815,101.1673815,101.1673815,101.1673815,101.1692342,101.1692342,101.1692342,101.1740072,101.1748002,101.1755931,101.176386,101.177179,101.1779719,101.1787649,101.1795578,101.1803508,101.1811437,101.1819366,101.1827296,101.1835225,101.1843155,101.1851084,101.1859014,101.1866943,101.1874872,101.1882802,101.1890731,101.1898661,101.190659,101.191452,101.1922449,101.1930378,101.1938308,101.1946237,101.1954167,101.1962096,101.1970025,101.1977955,101.1985884,101.1993814,101.2001743,101.2009673,101.2017602,101.2025531,101.2033461,101.204139,101.204932,101.2057249
28,112.3162155,112.3162155,112.3162155,112.3162155,112.3162155,109.99503,108.9987049,107.8294931,106.8976492,106.2963007,106.0554701,106.0072722,105.9661023,105.9295413,105.8994722,105.9005657,105.9079609,105.9109519,105.9122674,105.9132574,105.9223974,105.8656791,105.8063826,105.805009,105.7956768,105.7906214,105.7843068,105.7788199,105.7916434,105.7981293,105.7981293,105.7981293,105.7981293,105.7981293,105.7981293,105.7981293,105.7981293,105.8090996,105.8090996,105.8090996,105.8090996,105.8057865,105.8057865,105.8057865,105.8057865,105.8057865,105.7801995,105.7801995,105.7801995,105.7801995,105.7801995,105.7801995,105.7801995,105.7796344,105.7796344,105.7796344,105.7787602,105.7774372,105.7761142,105.7747911,105.7734681,105.7721451,105.770822,105.769499,105.768176,105.7668529,105.7655299,105.7642069,105.7628838,105.7615608,105.7602378,105.7589147,105.7575917,105.7562687,105.7549456,105.7536226,105.7522996,105.7509765,105.7496535,105.7483305,105.7470074,105.7456844,105.7443614,105.7430383,105.7417153,105.7403923,105.7390692,105.7377462,105.7364232,105.7351001,105.7337771,105.7324541,105.731131,105.729808,105.728485,105.7271619,105.7258389
29,118.1643343,118.1643343,118.1643343,118.1643343,118.1643343,116.3398962,115.4133891,114.2176729,113.2675049,112.5825221,112.2888496,112.2792449,112.2632308,112.2406164,112.2137762,112.1892293,112.1847137,112.1919145,112.1978294,112.2004564,112.2012789,112.2082322,112.1497028,112.0863812,112.0915395,112.0808706,112.073247,112.0722484,112.069493,112.0831352,112.0831352,112.0831352,112.0831352,112.0831352,112.0831352,112.0831352,112.0831352,112.0975407,112.0975407,112.0975407,112.0975407,112.0923203,112.0923203,112.0923203,112.0923203,112.0923203,112.0669006,112.0669006,112.0669006,112.0669006,112.0669006,112.0669006,112.0669006,112.0687294,112.0687294,112.0687294,112.0666965,112.0654676,112.0642386,112.0630097,112.0617808,112.0605519,112.0593229,112.058094,112.0568651,112.0556362,112.0544072,112.0531783,112.0519494,112.0507204,112.0494915,112.0482626,112.0470337,112.0458047,112.0445758,112.0433469,112.042118,112.040889,112.0396601,112.0384312,112.0372023,112.0359733,112.0347444,112.0335155,112.0322865,112.0310576,112.0298287,112.0285998,112.0273708,112.0261419,112.024913,112.0236841,112.0224551,112.0212262,112.0199973,112.0187684,112.0175394
30,119.8750173,119.8750173,119.8750173,119.8750173,119.8750173,118.9898787,117.5830591,116.6920394,115.885182,115.27475,114.9870153,114.9581863,114.9465644,114.9542586,114.9552429,114.9314,114.9135333,114.9121089,114.9141424,114.9194541,114.9208687,114.9185495,114.9232181,114.8672214,114.8022401,114.802695,114.7894667,114.7921655,114.7897149,114.7933492,114.7933492,114.7933492,114.7933492,114.7933492,114.7933492,114.7933492,114.7933492,114.802826,114.802826,114.802826,114.802826,114.7969464,114.7969464,114.7969464,114.7969464,114.7969464,114.7679025,114.7679025,114.7679025,114.7679025,114.7679025,114.7679025,114.7679025,114.7637368,114.7637368,114.7637368,114.7633901,114.761551,114.7597118,114.7578727,114.7560335,114.7541944,114.7523553,114.7505161,114.748677,114.7468379,114.7449987,114.7431596,114.7413205,114.7394813,114.7376422,114.7358031,114.7339639,114.7321248,114.7302857,114.7284465,114.7266074,114.7247683,114.7229291,114.72109,114.7192509,114.7174117,114.7155726,114.7137335,114.7118943,114.7100552,114.708216,114.7063769,114.7045378,114.7026986,114.7008595,114.6990204,114.6971812,114.6953421,114.693503,114.6916638,114.6898247
31,120.7226801,120.7226801,120.7226801,120.7226801,120.7226801,119.3949343,118.3891231,117.4035504,116.5648512,115.7308802,115.412318,115.4876676,115.4972369,115.4845391,115.5349307,115.570205,115.5541482,115.5329879,115.5257833,115.5292876,115.5377096,115.5370362,115.5362856,115.5422625,115.4854814,115.4235433,115.4260842,115.41689,115.4147095,115.4182135,115.4182135,115.4182135,115.4182135,115.4182135,115.4182135,115.4182135,115.4182135,115.4350854,115.4350854,115.4350854,115.4350854,115.4314247,115.4314247,115.4314247,115.4314247,115.4314247,115.4042819,115.4042819,115.4042819,115.4042819,115.4042819,115.4042819,115.4042819,115.4017385,115.4017385,115.4017385,115.4037052,115.4024851,115.4012649,115.4000448,115.3988246,115.3976045,115.3963843,115.3951641,115.393944,115.3927238,115.3915037,115.3902835,115.3890634,115.3878432,115.3866231,115.3854029,115.3841828,115.3829626,115.3817424,115.3805223,115.3793021,115.378082,115.3768618,115.3756417,115.3744215,115.3732014,115.3719812,115.3707611,115.3695409,115.3683207,115.3671006,115.3658804,115.3646603,115.3634401,115.36222,115.3609998,115.3597797,115.3585595,115.3573394,115.3561192,115.354899
32,115.8821413,115.8821413,115.8821413,115.8821413,115.8821413,114.7355376,113.6156816,112.480605,111.6637745,110.8712714,110.3806294,110.442418,110.5801836,110.5978392,110.5938133,110.6588038,110.7003255,110.689264,110.6705206,110.6589907,110.6625358,110.667116,110.6707492,110.6716718,110.6781591,110.6230854,110.5630622,110.5625538,110.5547362,110.5675818,110.5675818,110.5675818,110.5675818,110.5675818,110.5675818,110.5675818,110.5675818,110.5803165,110.5803165,110.5803165,110.5803165,110.5805186,110.5805186,110.5805186,110.5805186,110.5805186,110.5594804,110.5594804,110.5594804,110.5594804,110.5594804,110.5594804,110.5594804,110.5584893,110.5584893,110.5584893,110.5603357,110.5595843,110.5588329,110.5580814,110.55733,110.5565786,110.5558272,110.5550758,110.5543244,110.553573,110.5528216,110.5520702,110.5513188,110.5505674,110.5498159,110.5490645,110.5483131,110.5475617,110.5468103,110.5460589,110.5453075,110.5445561,110.5438047,110.5430533,110.5423019,110.5415504,110.540799,110.5400476,110.5392962,110.5385448,110.5377934,110.537042,110.5362906,110.5355392,110.5347878,110.5340364,110.533285,110.5325335,110.5317821,110.5310307,110.5302793
33,107.6317962,107.6317962,107.6317962,107.6317962,107.6317962,106.5520017,105.3298342,104.0546313,102.9615081,102.054641,101.4833762,101.3008666,101.4009879,101.578521,101.6171833,101.6093863,101.6869703,101.7407679,101.7368034,101.7216311,101.7047832,101.7093536,101.7135161,101.7172891,101.7199242,101.7251556,101.6729819,101.6219496,101.6227763,101.6353115,101.6353115,101.6353115,101.6353115,101.6353115,101.6353115,101.6353115,101.6353115,101.6412553,101.6412553,101.6412553,101.6412553,101.6454729,101.6454729,101.6454729,101.6454729,101.6454729,101.6325706,101.6325706,101.6325706,101.6325706,101.6325706,101.6325706,101.6325706,101.6313942,101.6313942,101.6313942,101.6337703,101.6334695,101.6331687,101.632868,101.6325672,101.6322665,101.6319657,101.6316649,101.6313642,101.6310634,101.6307627,101.6304619,101.6301611,101.6298604,101.6295596,101.6292589,101.6289581,101.6286573,101.6283566,101.6280558,101.6277551,101.6274543,101.6271535,101.6268528,101.626552,101.6262512,101.6259505,101.6256497,101.625349,101.6250482,101.6247474,101.6244467,101.6241459,101.6238452,101.6235444,101.6232436,101.6229429,101.6226421,101.6223414,101.6220406,101.6217398
34,97.33582302,97.33582302,97.33582302,97.33582302,97.33582302,95.49071618,94.37082132,93.47099513,92.46387228,91.44022454,90.96146064,90.82153406,90.71055892,90.83510849,91.01165189,91.05038943,91.04120763,91.11249996,91.16590725,91.16767911,91.15686577,91.14184054,91.13773192,91.14467756,91.14705921,91.1531013,91.158096,91.11126781,91.06692548,91.0728461,91.0728461,91.0728461,91.0728461,91.0728461,91.0728461,91.0728461,91.0728461,91.09112714,91.09112714,91.09112714,91.09112714,91.0977504,91.0977504,91.0977504,91.0977504,91.0977504,91.09253446,91.09253446,91.09253446,91.09253446,91.09253446,91.09253446,91.09253446,91.09359289,91.09359289,91.09359289,91.10030515,91.10122762,91.10215008,91.10307255,91.10399501,91.10491748,91.10583995,91.10676241,91.10768488,91.10860734,91.10952981,91.11045227,91.11137474,91.1122972,91.11321967,91.11414213,91.1150646,91.11598706,91.11690953,91.117832,91.11875446,91.11967693,91.12059939,91.12152186,91.12244432,91.12336679,91.12428925,91.12521172,91.12613418,91.12705665,91.12797911,91.12890158,91.12982405,91.13074651,91.13166898,91.13259144,91.13351391,91.13443637,91.13535884,91.1362813,91.13720377
