  Ages,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,330.662,330.662,330.662,330.662,330.662,336.306,347.21,354.254,369.605,377.156,390.906,388.245,392.317,398.979,403.834,394.978,398.896,400.338,401.688,402.742,403.36,403.516,403.224,402.632,401.91,401.05,400.037,398.95,397.863,396.795,396.117,395.439,394.761,394.083,395.8877,397.6924,399.4971,401.3018,403.1065,404.9112,406.7159,408.5206,410.3253,412.13,414.229,416.328,418.427,420.526,422.625,423.194,423.763,424.332,424.901,425.47,425.462,431.0963238,432.7139745,434.3316251,435.9492758,437.5669264,439.1845771,440.8022277,442.4198784,444.037529,445.6551797,447.2728303,448.890481,450.5081316,452.1257823,453.7434329,455.3610835,456.9787342,458.5963848,460.2140355,461.8316861,463.4493368,465.0669874,466.6846381,468.3022887,469.9199394,471.53759,473.1552407,474.7728913,476.390542,478.0081926,479.6258433,481.2434939,482.8611446,484.4787952,486.0964459,487.7140965,489.3317472,490.9493978
11,340.704,340.704,340.704,340.704,340.704,331.032,336.685,347.582,354.748,370.017,377.589,391.282,388.621,392.693,399.356,404.211,395.356,399.275,400.717,402.067,403.121,403.74,403.896,403.604,403.012,402.291,401.431,400.418,399.331,398.245,397.37625,396.5075,395.63875,394.77,396.2604,397.7508,399.2412,400.7316,402.222,403.7124,405.2028,406.6932,408.1836,409.674,412.0524,414.4308,416.8092,419.1876,421.566,422.3974,423.2288,424.0602,424.8916,425.723,425.855,430.3836524,432.0208069,433.6579615,435.295116,436.9322706,438.5694251,440.2065797,441.8437342,443.4808887,445.1180433,446.7551978,448.3923524,450.0295069,451.6666615,453.303816,454.9409706,456.5781251,458.2152797,459.8524342,461.4895887,463.1267433,464.7638978,466.4010524,468.0382069,469.6753615,471.312516,472.9496706,474.5868251,476.2239797,477.8611342,479.4982887,481.1354433,482.7725978,484.4097524,486.0469069,487.6840615,489.321216,490.9583706
12,348.492,348.492,348.492,348.492,348.492,341.072,331.411,337.056,348.08,355.162,370.451,377.964,391.657,388.997,393.069,399.732,404.587,395.733,399.652,401.095,402.445,403.499,404.118,404.275,403.983,403.391,402.671,401.812,400.799,399.712,398.719,397.726,396.733,395.74,396.8828,398.0256,399.1684,400.3112,401.454,402.5968,403.7396,404.8824,406.0252,407.168,409.7694,412.3708,414.9722,417.5736,420.175,421.3014,422.4278,423.5542,424.6806,425.807,426.108,429.3143952,430.9447342,432.5750732,434.2054121,435.8357511,437.46609,439.096429,440.726768,442.3571069,443.9874459,445.6177848,447.2481238,448.8784628,450.5088017,452.1391407,453.7694797,455.3998186,457.0301576,458.6604965,460.2908355,461.9211745,463.5515134,465.1818524,466.8121913,468.4425303,470.0728693,471.7032082,473.3335472,474.9638861,476.5942251,478.2245641,479.854903,481.485242,483.115581,484.7459199,486.3762589,488.0065978,489.6369368
13,360.115,360.115,360.115,360.115,360.115,348.833,341.426,331.761,337.528,348.471,355.572,370.804,378.317,392.01,389.351,393.423,400.086,404.941,396.088,400.007,401.45,402.801,403.855,404.474,404.632,404.34,403.748,403.029,402.17,401.157,400.102,399.047,397.992,396.937,397.7148,398.4926,399.2704,400.0482,400.826,401.6038,402.3816,403.1594,403.9372,404.715,407.4544,410.1938,412.9332,415.6726,418.412,419.859,421.306,422.753,424.2,425.647,426.17,427.8442857,429.4372727,431.0302597,432.6232468,434.2162338,435.8092208,437.4022078,438.9951948,440.5881818,442.1811688,443.7741558,445.3671429,446.9601299,448.5531169,450.1461039,451.7390909,453.3320779,454.9250649,456.5180519,458.111039,459.704026,461.297013,462.89,464.482987,466.075974,467.668961,469.2619481,470.8549351,472.4479221,474.0409091,475.6338961,477.2268831,478.8198701,480.4128571,482.0058442,483.5988312,485.1918182,486.7848052
14,365.07,365.07,365.07,365.07,365.07,360.436,349.168,341.758,332.198,337.896,348.855,355.907,371.139,378.652,392.345,389.687,393.759,400.422,405.278,396.427,400.346,401.79,403.141,404.195,404.815,404.973,404.681,404.09,403.371,402.512,401.44925,400.3865,399.32375,398.261,398.6792,399.0974,399.5156,399.9338,400.352,400.7702,401.1884,401.6066,402.0248,402.443,405.2142,407.9854,410.7566,413.5278,416.299,418.0798,419.8606,421.6414,423.4222,425.203,425.994,425.9918952,427.5167212,429.0415472,430.5663732,432.0911991,433.6160251,435.1408511,436.6656771,438.190503,439.715329,441.240155,442.764981,444.2898069,445.8146329,447.3394589,448.8642848,450.3891108,451.9139368,453.4387628,454.9635887,456.4884147,458.0132407,459.5380667,461.0628926,462.5877186,464.1125446,465.6373706,467.1621965,468.6870225,470.2118485,471.7366745,473.2615004,474.7863264,476.3111524,477.8359784,479.3608043,480.8856303,482.4104563
15,375.418,375.418,375.418,375.418,375.418,365.937,361.315,350.043,342.737,333.112,338.826,349.737,356.789,372.02,379.534,393.226,390.569,394.641,401.305,406.161,397.311,401.231,402.676,404.027,405.081,405.702,405.86,405.568,404.978,404.259,403.2485,402.238,401.2275,400.217,400.3,400.383,400.466,400.549,400.632,400.715,400.798,400.881,400.964,401.047,403.7374,406.4278,409.1182,411.8086,414.499,416.5986,418.6982,420.7978,422.8974,424.997,426.097,424.3688571,425.7945455,427.2202338,428.6459221,430.0716104,431.4972987,432.922987,434.3486753,435.7743636,437.2000519,438.6257403,440.0514286,441.4771169,442.9028052,444.3284935,445.7541818,447.1798701,448.6055584,450.0312468,451.4569351,452.8826234,454.3083117,455.734,457.1596883,458.5853766,460.0110649,461.4367532,462.8624416,464.2881299,465.7138182,467.1395065,468.5651948,469.9908831,471.4165714,472.8422597,474.2679481,475.6936364,477.1193247
16,372.593,372.593,372.593,372.593,372.593,376.893,367.425,362.801,351.622,344.258,334.649,340.319,351.23,358.282,373.513,381.027,394.719,392.063,396.135,402.799,407.655,398.806,402.727,404.173,405.525,406.58,407.201,407.36,407.069,406.479,405.5605,404.642,403.7235,402.805,402.5929,402.3808,402.1687,401.9566,401.7445,401.5324,401.3203,401.1082,400.8961,400.684,403.1802,405.6764,408.1726,410.6688,413.165,415.5442,417.9234,420.3026,422.6818,425.061,426.505,423.0865667,424.3833303,425.6800939,426.9768576,428.2736212,429.5703848,430.8671485,432.1639121,433.4606758,434.7574394,436.054203,437.3509667,438.6477303,439.9444939,441.2412576,442.5380212,443.8347848,445.1315485,446.4283121,447.7250758,449.0218394,450.318603,451.6153667,452.9121303,454.2088939,455.5056576,456.8024212,458.0991848,459.3959485,460.6927121,461.9894758,463.2862394,464.583003,465.8797667,467.1765303,468.4732939,469.7700576,471.0668212
17,375.179,375.179,375.179,375.179,375.179,374.418,378.724,369.259,364.712,353.487,346.137,336.493,342.164,353.075,360.127,375.357,382.871,396.563,393.908,397.98,404.644,409.501,400.654,404.575,406.022,407.374,408.429,409.051,409.21,408.92,408.12625,407.3325,406.53875,405.745,405.2851,404.8252,404.3653,403.9054,403.4455,402.9856,402.5257,402.0658,401.6059,401.146,403.3438,405.5416,407.7394,409.9372,412.135,414.7368,417.3386,419.9404,422.5422,425.144,426.922,421.9426,423.0825052,424.2224104,425.3623156,426.5022208,427.642126,428.7820312,429.9219364,431.0618416,432.2017468,433.3416519,434.4815571,435.6214623,436.7613675,437.9012727,439.0411779,440.1810831,441.3209883,442.4608935,443.6007987,444.7407039,445.8806091,447.0205143,448.1604195,449.3003247,450.4402299,451.5801351,452.7200403,453.8599455,454.9998506,456.1397558,457.279661,458.4195662,459.5594714,460.6993766,461.8392818,462.979187,464.1190922
18,390.72,390.72,390.72,390.72,390.72,378.461,377.705,382.014,372.624,368.026,356.822,349.435,339.794,345.466,356.376,363.429,378.658,386.172,399.864,397.21,401.283,407.947,412.804,403.959,407.88,409.327,410.68,411.735,412.358,412.517,411.90375,411.2905,410.67725,410.064,409.4126,408.7612,408.1098,407.4584,406.807,406.1556,405.5042,404.8528,404.2014,403.55,405.3672,407.1844,409.0016,410.8188,412.636,415.3762,418.1164,420.8566,423.5968,426.337,428.462,422.1218905,423.0829022,424.0439139,425.0049255,425.9659372,426.9269489,427.8879606,428.8489723,429.809984,430.7709957,431.7320074,432.693019,433.6540307,434.6150424,435.5760541,436.5370658,437.4980775,438.4590892,439.4201009,440.3811126,441.3421242,442.3031359,443.2641476,444.2251593,445.186171,446.1471827,447.1081944,448.0692061,449.0302177,449.9912294,450.9522411,451.9132528,452.8742645,453.8352762,454.7962879,455.7572996,456.7183113,457.6793229
19,399.414,399.414,399.414,399.414,399.414,396.807,384.555,383.807,388.198,378.746,374.173,362.924,355.539,345.901,351.575,362.485,369.538,384.766,392.279,405.97,403.318,407.391,414.055,418.913,410.07,413.991,415.438,416.792,417.847,418.471,418.1125,417.754,417.3955,417.037,416.2586,415.4802,414.7018,413.9234,413.145,412.3666,411.5882,410.8098,410.0314,409.253,410.6306,412.0082,413.3858,414.7634,416.141,418.913,421.685,424.457,427.229,430.001,432.461,425.0611714,425.8276286,426.5940857,427.3605429,428.127,428.8934571,429.6599143,430.4263714,431.1928286,431.9592857,432.7257429,433.4922,434.2586571,435.0251143,435.7915714,436.5580286,437.3244857,438.0909429,438.8574,439.6238571,440.3903143,441.1567714,441.9232286,442.6896857,443.4561429,444.2226,444.9890571,445.7555143,446.5219714,447.2884286,448.0548857,448.8213429,449.5878,450.3542571,451.1207143,451.8871714,452.6536286,453.4200857
