Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,254.617903324,247.787815323,240.193353669,232.133645851,224.969280852,225.427211035,225.518801134,225.641056797,225.458989506,225.173801613,225.004618843,224.093334421,223.68211137,223.30678292,222.578329845,222.099896774,221.523360346,221.232686646,221.197075622,221.099403209,221.810450831,222.472453486,223.237367451,224.427242008,222.985524205,221.491313029,219.99763769,218.471238095,216.76145391,216.604107523,216.317306014,215.847673504,215.170030551,214.300800974,213.267143224,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,252.273791937,257.083237172,260.150345782,263.685807063,264.93962307,258.866550312,251.77365606,244.38450395,236.261585473,228.832583271,229.290859847,229.650746194,229.77330296,229.457576264,229.172661833,228.668670416,228.025597828,227.279548323,226.770398618,226.243158778,225.697870903,225.456384557,225.23277594,224.996202408,225.004139251,225.275785192,225.784584655,226.575706389,227.730604965,226.240110365,224.696843054,223.154120427,221.579035663,219.820237551,219.613468869,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,235.627237637,236.700028283,240.051882143,245.280026201,251.580196309,255.58696245,260.196282633,263.666082661,267.068087267,268.456310867,262.051601156,255.36383335,247.642866967,239.657161493,232.633609333,232.891045062,233.117048877,233.038676817,232.991087559,232.63930748,232.068381537,231.2243775,230.545400904,230.237322244,230.437443706,230.571706853,230.694966848,230.79009894,230.895261782,231.125548075,231.619470262,232.350404286,233.363490243,234.740321031,233.472450721,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,267.457656109,262.688029732,257.12054039,250.486337249,245.263289588,244.662133181,245.268121575,249.157689987,254.588051431,260.822050284,265.566940462,269.976075489,273.714656565,277.117163919,278.773625828,272.105611267,265.088058631,258.042925815,249.863159092,242.847395434,243.104948819,243.398002879,243.453661484,243.540081367,244.145586165,244.287972069,243.861751656,242.851669804,241.280606657,241.522348305,241.697886604,241.862059804,241.99772238,242.144442215,242.416346098,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,301.908941072,298.307822345,294.242617383,290.518001712,286.464593833,281.765459002,277.139259822,271.580343147,264.953977026,260.140077082,260.27786096,261.555639945,265.446476463,271.213274344,277.649147521,281.992836322,286.80432625,290.341959148,294.48153359,296.004283073,289.412569564,282.605939593,275.236023541,267.267759562,260.119218758,260.624207356,261.000974757,261.159528273,261.085731998,261.759521486,261.970509342,261.613521352,260.673019084,259.173094123,259.483987767,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,271.864463709,276.498747173,282.207049735,287.179354731,290.208410512,288.82520706,285.167425869,281.312467432,277.194182382,273.684370055,269.126747538,265.043595641,259.62566172,253.542340672,248.802480063,248.807508776,249.885037876,253.575215139,258.538191964,264.170075268,268.51341515,272.92233707,275.923269934,279.727160507,280.794862146,273.38138845,266.13379042,259.128112253,252.35654425,245.090810209,245.465521554,245.712094207,245.740956502,245.538770903,246.08208786,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,266.059070171,266.487967472,267.124563661,268.035415086,270.157511564,274.723478528,278.755167586,284.462413527,289.231049763,292.457344701,291.082075533,287.499063946,283.116282011,279.542912166,275.439071557,271.492436305,267.216540219,261.940760679,255.86608987,251.872776604,251.542954139,252.754069258,255.773335067,260.93633358,263.774655889,267.189650093,271.095719496,275.527776658,280.529195156,281.528617803,274.06229933,266.762192603,259.704314675,252.884050351,245.569806901,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,251.213842438,254.481996543,258.629314587,263.721642104,268.149376426,269.583849984,269.952278914,270.593806648,271.240246981,273.230834568,277.858277273,282.285590793,287.651288854,292.41224733,295.495755915,294.330531984,290.756975677,286.182836861,282.554336566,279.401729711,274.527271137,270.127905481,265.131148337,259.26968678,257.94262374,259.966638671,262.324149379,265.045321769,268.175495886,271.279521652,274.957641178,279.122923798,283.810211013,289.068374301,290.338146562,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.070810609,282.975801193,271.561451074,259.970057808,251.885001365,252.737385842,256.008473357,260.357091377,265.112546638,270.005711813,270.973232482,271.209554812,271.853650465,272.904978557,275.031916604,279.448539466,284.065332284,289.551532007,294.634882704,297.438527897,295.817794539,291.72194951,288.100200339,284.286316015,281.751511239,278.05583443,273.427072944,267.770976418,261.014088888,259.660266956,261.635051711,263.938827352,266.601641496,269.674195141,272.723792347,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,318.089547688,313.834122698,311.484440712,307.35084946,302.233595573,291.896035732,282.587635998,270.955919484,259.613015541,251.841769958,252.49549123,255.901694092,260.251512244,265.074866622,270.235692072,271.611017387,271.852227707,272.633754735,273.354831263,275.82210926,279.890738688,284.29273507,289.898358384,294.965869936,296.406134881,293.389558151,290.157228255,286.689951682,282.996773082,280.37122108,276.591577399,271.885516253,266.159477125,259.343990102,257.892834052,
