Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,254.617903324,247.787815323,240.193353669,232.133645851,224.969280852,225.427211035,225.518801134,225.641056797,225.458989506,225.173801613,225.004618843,224.093334421,223.68211137,223.30678292,222.578329845,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,252.273791937,257.083237172,260.150345782,263.685807063,264.93962307,258.866550312,251.77365606,244.38450395,236.261585473,228.832583271,229.290859847,229.650746194,229.77330296,229.457576264,229.172661833,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,235.627237637,236.700028283,240.051882143,245.280026201,251.580196309,255.58696245,260.196282633,263.666082661,267.068087267,268.456310867,262.051601156,255.36383335,247.642866967,239.657161493,232.633609333,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,267.457656109,262.688029732,257.12054039,250.486337249,245.263289588,244.662133181,245.268121575,249.157689987,254.588051431,260.822050284,265.566940462,269.976075489,273.714656565,277.117163919,278.773625828,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,301.908941072,298.307822345,294.242617383,290.518001712,286.464593833,281.765459002,277.139259822,271.580343147,264.953977026,260.140077082,260.27786096,261.555639945,265.446476463,271.213274344,277.649147521,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,271.864463709,276.498747173,282.207049735,287.179354731,290.208410512,288.82520706,285.167425869,281.312467432,277.194182382,273.684370055,269.126747538,265.043595641,259.62566172,253.542340672,248.802480063,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,266.059070171,266.487967472,267.124563661,268.035415086,270.157511564,274.723478528,278.755167586,284.462413527,289.231049763,292.457344701,291.082075533,287.499063946,283.116282011,279.542912166,275.439071557,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,251.213842438,254.481996543,258.629314587,263.721642104,268.149376426,269.583849984,269.952278914,270.593806648,271.240246981,273.230834568,277.858277273,282.285590793,287.651288854,292.41224733,295.495755915,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.070810609,282.975801193,271.561451074,259.970057808,251.885001365,252.737385842,256.008473357,260.357091377,265.112546638,270.005711813,270.973232482,271.209554812,271.853650465,272.904978557,275.031916604,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,318.089547688,313.834122698,311.484440712,307.35084946,302.233595573,291.896035732,282.587635998,270.955919484,259.613015541,251.841769958,252.49549123,255.901694092,260.251512244,265.074866622,270.235692072,
50-54,289.1,289.1,289.1,289.1,289.1,297.7,303.738713171,310.02156073,314.131812795,316.865478502,318.214378308,315.936312058,312.011394444,309.448611534,305.698359165,300.491820597,290.147718134,281.435762352,270.268984416,259.125196449,251.15161718,
55-59,254.2,254.2,254.2,254.2,254.2,257.9,263.378702383,269.834450437,277.670922732,285.67613969,293.306248952,300.00130159,305.792222456,310.13266311,312.882536102,313.968889145,312.487549438,308.218202935,305.983725484,302.295264535,297.417412894,
60-64,258.0,258.0,258.0,258.0,258.0,252.2,250.152467214,247.988246828,247.509917097,248.97413964,251.83760611,256.931989429,264.135837335,272.167636793,280.083138856,287.741604277,293.98575811,300.456725141,304.336396092,307.294098342,308.581031109,
65-69,239.9,239.9,239.9,239.9,239.9,251.6,252.574705891,254.264630159,254.634158206,246.479758558,241.970167194,239.928194768,238.215255313,238.090738379,240.087258086,242.531332591,247.987453674,255.007861871,262.650025486,270.503551613,278.156744752,
70-74,172.2,172.2,172.2,172.2,172.2,177.6,187.059006435,195.885363553,205.884154028,222.320371117,233.037479868,234.431721214,236.890122816,237.559002319,229.918001694,226.01608111,224.336302154,222.96700626,223.450224518,225.179461147,227.811767059,
75-79,140.0,140.0,140.0,140.0,140.0,143.4,146.202107593,148.199316035,148.942399146,151.056840911,155.97842095,164.604347805,173.209781124,182.300104336,197.812259227,207.999057149,209.593780989,211.605742397,212.614136662,205.967729267,202.433874388,
80-84,105.4,105.4,105.4,105.4,105.4,105.9,106.626372036,107.997490123,109.456017598,111.173756878,114.07962383,117.560865807,119.823993894,121.018517885,123.266798121,127.903981965,135.285764773,143.177926616,150.974154951,164.550881316,172.81160999,
85-89,64.5,64.5,64.5,64.5,64.5,64.9,65.3666000676,66.1937482339,68.2465709368,69.5730004682,70.4483692926,72.509929796,74.0928105596,76.1338208737,78.125450915,80.9195487168,84.1607403815,86.0688394544,87.2482747409,89.2400712664,93.1056934766,
90+,34.6,34.6,34.6,34.6,34.6,35.7,37.1754464869,38.3184048964,39.0281088891,39.4347978808,39.924308511,41.9254770119,43.2848551029,45.5413968266,47.6118153314,48.933490136,51.2655964999,53.9509554477,56.6324111747,59.5388572906,62.4067607425,
Total,4287.7,4287.7,4287.7,4287.7,4287.7,4313.1,4323.45738597,4335.54877893,4348.26962056,4359.91542091,4374.64748211,4387.9044126,4399.82337599,4414.50386707,4426.20734951,4441.1506599,4452.97836948,4465.46815116,4476.91614314,4487.92441551,4499.68880216,
Births,na,na,na,na,na,na,44.54,44.455,44.625,44.625,44.71,44.795,44.88,44.88,44.71,44.625,44.625,44.37,44.2,44.2,44.03,
Deaths,na,na,na,na,na,na,49.6778959982,49.3338713184,48.6162868856,48.1639911009,47.9081449733,47.8031817283,47.8006626465,47.767908623,48.2693424298,49.0298298384,49.5033801622,49.7532274872,49.9254671126,50.0541725328,50.9202812251,
Migration,na,na,na,na,na,na,15.4952819684,16.9702642758,16.7121285214,15.1847914491,17.930206169,16.2651122262,14.8396260353,17.568399696,15.2628248705,19.3481402308,16.7060897392,17.8730091673,17.1734590993,16.8624449039,18.6546678714,
West Midlands,
0-4,361.2,361.2,361.2,361.2,361.2,361.8,351.799252909,342.408432644,332.290604073,321.440846133,311.707976974,312.06865687,312.459801189,312.626614495,312.038000194,311.748222653,311.355376716,310.828295812,310.051089572,309.407785702,308.710350146,
5-9,337.0,337.0,337.0,337.0,337.0,345.7,350.570691216,354.703935937,358.501744023,362.767604134,363.879438396,354.424426596,344.705709591,334.794755891,323.481246253,313.686022649,314.248134048,314.706741389,314.739979374,314.285820409,313.929357495,
10-14,331.3,331.3,331.3,331.3,331.3,326.1,326.442343769,328.528805583,333.430700871,339.672868431,346.987061871,352.194220209,356.2616699,359.859433622,364.260108783,365.573589339,355.922207888,346.341800823,336.167169422,325.394034929,315.603524036,
