OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,84573, 197575, 0.5,0.5,0.5,0.5,30860.8233988,30130.4487099,33295.3773733,29338.3832029,26274.9070708,21026.4885522,15126.0500821,8853.89063139,2669.08322248,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,99625.8093958,97949.6428481,0.5,0.5,0.5,
29UL,46192, 113463, 0.5,0.5,0.5,0.5,14747.8362099,14899.2989825,14316.04012,15342.5167607,15048.8122157,13888.1988663,13892.48415,8172.24738688,3155.99583998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,57408.9619787,56054.4685533,0.5,0.5,0.5,
00MA,60374, 113963, 0.5,0.5,0.5,0.5,15628.0565272,17089.4770857,14664.982601,17168.1613844,17044.4257703,14778.3441869,10769.1076144,5229.80518584,1590.55255745,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59284.7640131,54678.1489,0.5,0.5,0.5,
00MG,172004, 293922, 0.5,0.5,0.5,0.5,42686.1683954,44241.3959562,30929.5415871,40164.3276189,43267.3194757,35534.4941419,28969.8800078,20093.9198467,8035.12517946,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,145823.832104,148098.340106,0.5,0.5,0.5,
00MF,105852, 135152, 0.5,0.5,0.5,0.5,15271.348081,18642.4383922,11047.8757976,16311.9443405,20800.4767992,19019.1934542,16351.594369,11472.6862784,6234.08200389,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68372.8238451,66778.815671,0.5,0.5,0.5,
00ME,90163, 157158, 0.5,0.5,0.5,0.5,22549.11126,23696.425736,15174.7305956,20673.5535553,21938.4466824,19459.6744126,16186.2173192,10943.2744037,6536.91236295,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,73982.6063883,83175.7399396,0.5,0.5,0.5,
00MD,81572, 185264, 0.5,0.5,0.5,0.5,33616.4063936,32411.1640068,26029.1259366,28459.2321545,26408.2537999,19089.9119656,12212.3478754,5795.63675679,1242.09325701,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,93817.9792811,91446.192865,0.5,0.5,0.5,
29UD,72519, 133395, 0.5,0.5,0.5,0.5,20740.0237932,19671.098984,16956.1195083,19893.6726049,18522.4636804,15563.6701218,12633.7933643,6817.10416727,2596.84617415,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,65242.8338838,68151.9585144,0.5,0.5,0.5,
29UE,45217, 117163, 0.5,0.5,0.5,0.5,13134.1427345,14394.4712841,14350.8661948,15627.7439004,15450.7728057,14518.7807693,14403.8578192,10334.4662735,4947.46749728,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60252.3526867,56910.216592,0.5,0.5,0.5,
29UG,53920, 143173, 0.5,0.5,0.5,0.5,19674.0430135,19804.7608754,17572.0977767,18980.6936189,18374.7580315,16756.1604342,14906.8681674,10761.3319839,6342.10125121,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68520.9751347,74651.840018,0.5,0.5,0.5,
