OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,132834, 197336, 0.5,0.5,0.5,0.5,19741.944543,20334.7132832,31560.3143919,27406.4668388,24265.4456284,18759.4614249,13402.6494308,12063.0670018,29801.7651659,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,101871.737662,95464.0900462,0.5,0.5,0.5,
29UL,145953, 172158, 0.5,0.5,0.5,0.5,12184.8144457,12493.6232965,11746.3474095,14084.9563942,15584.0910713,16554.5220328,21881.3084691,21385.7622941,46243.0293724,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,86700.076051,85458.3787346,0.5,0.5,0.5,
00MA,117427, 166315, 0.5,0.5,0.5,0.5,14994.229983,16592.0871837,13889.791607,18978.3169613,20563.5519719,18941.932881,17776.6481123,14668.8014669,29909.6513598,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,84938.2578055,81376.7537215,0.5,0.5,0.5,
00MG,222498, 392661, 0.5,0.5,0.5,0.5,40032.8213417,40875.8765547,26641.021521,45246.9338934,49550.0519227,41502.0520475,42436.2347869,36658.9204836,69717.0308081,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,195340.266243,197320.677117,0.5,0.5,0.5,
00MF,177777, 232310, 0.5,0.5,0.5,0.5,20416.1627845,23691.0655343,12137.4227053,21465.8706084,27760.3651913,25211.1555806,25483.9597985,23441.9977872,52702.4415315,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,120001.805896,112308.635625,0.5,0.5,0.5,
00ME,158897, 218011, 0.5,0.5,0.5,0.5,19126.5182752,21705.8405045,11466.5428878,22280.6613814,25776.4286192,23424.2517639,24052.7911793,21294.9257448,48882.7862366,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,109157.237667,108853.508925,0.5,0.5,0.5,
00MD,99306, 198975, 0.5,0.5,0.5,0.5,23815.2545567,22824.2098114,19584.6818382,28302.6266419,27732.6338201,21801.4149535,18765.7374366,13637.9136856,22510.8965582,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,103908.015487,95067.3538152,0.5,0.5,0.5,
29UD,96885, 157083, 0.5,0.5,0.5,0.5,14935.0159956,15006.6508357,13587.0902778,19909.5637843,20201.2557951,17798.6874263,17098.4508092,12624.6443202,25921.8623828,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79768.5507697,77314.6708574,0.5,0.5,0.5,
29UE,127722, 163278, 0.5,0.5,0.5,0.5,12432.2274419,13180.1388768,11552.6619115,13145.0842728,14167.0509711,15074.707363,19838.7241282,20068.4622254,43819.4138876,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,82340.0714612,80938.3996171,0.5,0.5,0.5,
29UG,98053, 156770, 0.5,0.5,0.5,0.5,15602.2360949,16274.477372,13767.6716374,17118.9547699,18015.4369968,17095.295681,17357.0817749,13995.6597427,27543.5249962,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79289.1709509,77481.1681147,0.5,0.5,0.5,
