OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,280652, 234275, 0.5,0.5,0.5,0.5,19925.4316558,21754.5214872,33030.7122729,28422.1873764,25452.7105133,21662.4419102,18446.7943259,15463.3728115,50116.9008723,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,119909.440379,114365.632847,0.5,0.5,0.5,
29UL,434369, 242644, 0.5,0.5,0.5,0.5,14671.8962102,14823.1342788,13978.316533,16217.2772519,17613.8449202,19135.8947275,25850.2093698,27434.4921353,92919.0414691,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,124156.572172,118487.534724,0.5,0.5,0.5,
00MA,295008, 190566, 0.5,0.5,0.5,0.5,13361.2061439,15545.5019577,11903.2488755,17413.9685629,18963.6360934,19232.7127684,18925.2295364,17284.7833714,57936.1758689,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,99782.9242254,90783.5389532,0.5,0.5,0.5,
00MG,340529, 429016, 0.5,0.5,0.5,0.5,31988.8456732,35623.528543,16456.0140396,36658.3326372,44358.0497433,40708.5914337,41711.861854,39430.7151723,142079.645675,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,215772.531311,213243.05346,0.5,0.5,0.5,
00MF,358475, 261415, 0.5,0.5,0.5,0.5,14599.2044021,19752.72971,6699.31643865,15910.7592733,23813.3150197,24382.9400086,25519.9435585,25377.0429918,105360.131756,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,142527.7232,118887.659959,0.5,0.5,0.5,
00ME,326822, 261964, 0.5,0.5,0.5,0.5,17288.5362048,20934.5139842,9244.55767298,19464.2979669,23754.9012818,24481.1196347,24905.833299,23501.0821552,98389.0537175,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,132486.107249,129477.788668,0.5,0.5,0.5,
00MD,154133, 201142, 0.5,0.5,0.5,0.5,20911.4055036,21218.3251586,15381.4868908,23959.4473225,23848.8082034,19049.9096004,16450.5752365,13663.5977196,46658.2661217,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,103606.035688,97535.7860694,0.5,0.5,0.5,
29UD,169135, 180913, 0.5,0.5,0.5,0.5,12552.0617723,13232.1763217,11098.2235989,18739.178489,19499.3908309,18352.0841693,18136.2573441,15295.2327201,54008.1027506,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,93236.1203272,87676.5876698,0.5,0.5,0.5,
29UE,321401, 233489, 0.5,0.5,0.5,0.5,16731.1285686,17464.0798062,16135.2830043,17529.1176074,17819.9700243,18711.1621824,22939.9571639,24220.4031681,81937.8323716,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,121221.142569,112267.791328,0.5,0.5,0.5,
29UG,179597, 202410, 0.5,0.5,0.5,0.5,17295.4214076,18577.3666112,15827.7326,19396.0903143,19810.2965461,19579.638402,19628.8825658,17578.1906616,54716.5093903,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,105169.856342,97240.2721573,0.5,0.5,0.5,
