CODE,AREA,AGE GROUP,2004Est,2005Est,2006Est,2007Est,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00DA,Leeds,25-29,35.5,35.5,35.5,35.5,35.5,37.1,38.3,39.1,39.9,40.7,41.6,42.3,43,43.4,43.3,43,42.5,41.8,41.2,40.8,40.3,39.8,39.2,38.6,38.3,38.4,38.8,39.5,40.3,41.3
00DA,Leeds,30-34,24.5,24.5,24.5,24.5,24.5,25.1,26.6,28.5,30.5,32.4,33.8,34.8,35.6,36.3,37,37.8,38.3,38.8,39.2,39,38.8,38.3,37.7,37.2,36.8,36.4,36,35.5,35,34.7
00DA,Leeds,35-39,26.7,26.7,26.7,26.7,26.7,25.9,25.3,24.5,23.8,23.6,24.2,25.4,27,28.7,30.3,31.6,32.5,33.2,33.9,34.6,35.3,35.7,36.2,36.5,36.4,36.1,35.7,35.2,34.7,34.3
00DA,Leeds,40-44,26.9,26.9,26.9,26.9,26.9,26.8,26.5,26.4,26.1,25.6,24.9,24.3,23.5,22.8,22.6,23.1,24.2,25.6,27.2,28.7,29.9,30.8,31.4,32.1,32.8,33.4,33.8,34.2,34.5,34.4
00DA,Leeds,45-49,25,25,25,25,25,25.5,25.9,26.1,26.2,26.1,26,25.7,25.6,25.3,24.8,24.1,23.5,22.8,22.1,21.8,22.3,23.3,24.7,26.1,27.6,28.7,29.5,30.2,30.8,31.5
00DA,Leeds,50-54,21.1,21.1,21.1,21.1,21.1,21.7,22.4,23.2,23.6,24,24.5,24.9,25.1,25.3,25.2,25.1,24.8,24.6,24.4,24,23.3,22.7,22,21.3,21,21.5,22.4,23.7,25.1,26.4
00DA,Leeds,55-59,19.9,19.9,19.9,19.9,19.9,19.4,19.1,19.1,19.5,20,20.6,21.3,22,22.4,22.8,23.3,23.7,23.9,24.1,24,23.9,23.6,23.5,23.2,22.8,22.2,21.6,20.9,20.2,20
00DA,Leeds,60-64,19.4,19.4,19.4,19.4,19.4,19.9,20.2,20.3,19.4,18.6,18.2,17.9,17.9,18.3,18.8,19.3,20,20.7,21.1,21.5,21.9,22.3,22.5,22.7,22.6,22.5,22.3,22.2,21.9,21.6
00DA,Leeds,65-69,15.4,15.4,15.4,15.4,15.4,15.4,15.5,15.9,17.2,18,18.5,18.8,18.8,18,17.3,17,16.7,16.7,17.1,17.6,18.1,18.7,19.3,19.7,20.1,20.6,21,21.2,21.3,21.2
00DA,Leeds,70-74,14.6,14.6,14.6,14.6,14.6,14.7,14.7,14.4,14.1,14.1,14.2,14.3,14.7,15.9,16.6,17.2,17.4,17.5,16.8,16.2,15.9,15.6,15.6,16,16.5,16.9,17.5,18.1,18.5,18.9
00DA,Leeds,75-79,12.7,12.7,12.7,12.7,12.7,12.5,12.4,12.5,12.7,12.8,13,13.1,12.9,12.6,12.7,12.7,12.9,13.2,14.4,15.1,15.5,15.8,15.9,15.3,14.7,14.5,14.3,14.3,14.6,15.1
00DA,Leeds,80-84,10,10,10,10,10,10,10.1,10.1,10.2,10.1,10,10.1,10.2,10.4,10.6,10.9,10.9,10.8,10.6,10.7,10.8,11,11.3,12.3,12.9,13.4,13.6,13.7,13.2,12.7
00DA,Leeds,85-89,6.8,6.8,6.8,6.8,6.8,6.9,6.8,6.7,6.7,6.7,6.8,6.9,7,7.1,7.2,7.2,7.3,7.5,7.7,8,8.2,8.3,8.2,8.1,8.2,8.3,8.5,8.8,9.6,10.1
00DA,Leeds,90+,3.6,3.6,3.6,3.6,3.6,3.7,3.9,4.2,4.4,4.5,4.6,4.7,4.9,5,5.1,5.3,5.4,5.6,5.8,6,6.1,6.4,6.7,7,7.3,7.6,7.9,8,8.2,8.5
