Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,263.623524981,264.978766617,262.800530129,258.751731546,257.949899929,259.014301394,258.150630467,257.893582686,256.918684902,256.019619357,255.820304688,253.651458974,253.941902917,253.892784299,252.689670597,252.716498218,251.874291439,251.92335845,252.256928564,251.381137446,252.742675743,253.669484368,254.522172013,255.850516418,259.389756212,263.71087524,268.308332409,273.330721719,279.940715652,281.072879827,282.036666888,282.749314331,283.205734989,283.371444729,283.241154349,282.822452398,282.157779197,281.254680878,280.163884094,278.921639971,277.568493488,276.153883882,274.71827545,273.311388695,271.964628957,270.722390989,269.614423013,268.664644171,267.8829908,267.273350462,266.836821697,266.560784356,266.43139275,266.429678653,266.541631763,266.750581254,267.035557519,267.371118443,267.731129717,268.090612305,268.420344328,268.698974411,268.900033724,269.008161705,269.008345775,268.891162942,268.658795801,268.317324082,267.882720752,267.372227596,266.808194512,266.216779811,265.62822436,265.070607056,264.565992256,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,257.229646023,268.58095699,273.043858415,279.364803932,276.693276502,280.800920838,281.089616642,279.701422881,275.383341651,273.517609125,274.578177795,274.770907888,274.510228989,273.00123798,272.098536904,270.571260863,269.45930089,268.421971799,267.840190749,267.429101959,267.188492327,267.669585251,267.981909692,267.519126427,267.062551328,266.688031993,267.01170692,267.970848908,269.164817222,272.505979107,276.629250871,281.028933145,285.853850737,292.265843593,293.200869209,293.967588343,294.483293371,294.743108768,294.711913073,294.384735693,293.76915643,292.907501004,291.807589561,290.519871809,289.080699471,287.53060905,285.919071829,284.286705721,282.682510452,281.138786771,279.699630486,278.394746389,277.248088124,276.282974531,275.49169437,274.873337338,274.4154066,274.105914773,273.935000324,273.877755064,273.917676168,274.033978495,274.201482734,274.393601071,274.594414284,274.771076339,274.897968932,274.948656923,274.907306128,274.759139045,274.532850129,274.227529482,273.836958621,273.4138819,272.990307791,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,225.862103933,223.496667986,230.136111806,244.194128219,262.491964536,270.656677448,281.208445174,287.257600913,293.045470823,290.901452812,293.681157285,295.557317224,292.841441199,289.05117219,288.773562595,289.036737379,288.697425697,287.640125279,287.189003174,286.019219442,284.225421503,282.316864413,281.542958921,281.754737084,284.22312299,286.672007626,288.59694326,290.171537615,291.060102479,291.481558521,291.985039712,293.186518976,295.023248105,297.094741086,301.313230392,306.313670316,311.590431934,317.292317625,324.581039165,326.393648913,328.037957184,329.431379854,330.568950133,331.415425771,331.965924371,332.228044404,332.244065054,332.021868717,331.61146222,331.050042484,330.377632319,329.643757002,328.889027654,328.162866259,327.510299692,326.977792633,326.594980546,326.385773444,326.359910738,326.507354145,326.827284029,327.307430134,327.934228755,328.68880513,329.557493469,330.524004332,331.567746185,332.663752314,333.785677045,334.909122352,336.004921462,337.104936007,338.241307586,339.390791623,340.560446307,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,274.906731748,277.151048111,276.185905425,270.955405413,271.269862987,262.27380881,258.042280302,266.792731906,281.639025304,299.666933486,310.740449068,320.492395899,327.596830309,333.38110634,332.294624317,334.009856808,334.557253307,334.488656448,329.899832147,329.619501901,329.879773676,329.802947176,329.27347323,329.350573323,331.972587883,333.005041453,332.753707038,330.674339332,325.886644318,328.514889157,331.123059231,333.207035307,334.94028952,335.988196947,336.569997769,337.233308038,338.593960356,340.589165163,342.819514558,347.197016939,352.355847372,357.790528295,363.649826619,371.095756833,373.067314302,374.870307746,376.422265793,377.718322974,378.723031996,379.43317628,379.85449806,380.029440779,379.96599038,379.715400124,379.313019488,378.799553072,378.224505148,377.628459915,377.06144489,376.567771948,376.194012687,375.969685829,375.918798389,376.051806587,376.357777475,376.835969798,377.474260205,378.259150956,379.172394393,380.199477943,381.324116009,382.525864282,383.794797213,385.148542853,386.598541758,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,318.500230679,323.362151416,326.238943567,330.655760993,334.240169172,336.569771377,338.857885788,337.561249437,331.935588382,333.548743781,327.32053506,325.747129268,334.279279418,350.108916923,368.564156962,377.78639524,388.869291871,394.91009776,403.462198799,401.72611132,403.734912971,405.106798013,403.775647746,400.044036551,399.358908044,400.692522158,401.041026632,401.009228393,400.52796108,403.396521262,404.69486948,404.731345808,402.878074785,398.389921849,401.247287813,404.071309675,406.366227952,408.420640676,409.775034465,410.68556223,411.705589837,413.446948544,415.822128145,418.434342401,423.224719053,428.795061831,434.633219096,440.882508156,448.695719856,451.089684353,453.320105808,455.309071738,457.053101189,458.560217618,459.825287317,460.858876266,461.70296736,462.364908163,462.853152402,463.197467808,463.434550046,463.623501543,463.817724949,464.079061279,464.446100244,464.959251514,465.635856187,466.491045019,467.53413627,468.764564103,470.189373197,471.804950219,473.587204431,475.50740547,477.549555351,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,266.776763515,266.494906503,270.58692849,271.648501393,264.995247287,276.708396014,279.741401829,281.868688216,283.052646145,286.597581674,289.118745167,293.437699846,292.747202568,289.094166257,290.673629598,283.908165191,281.378829604,289.112884026,301.707259238,316.928153437,326.064756728,335.47277149,339.309338494,346.505021579,342.991371911,341.762826337,341.395369033,341.500764329,342.474251187,341.340831146,342.217028275,342.116995231,341.64597467,340.73583323,343.076244183,343.859259256,343.39494072,341.057463567,336.104678521,338.462318994,340.78202632,342.567802238,344.107428799,344.940283199,345.343784281,345.852998006,347.078980943,348.93377654,351.018358672,355.304461746,360.355064497,365.657541366,371.35577424,378.603926574,380.424301086,382.083250436,383.50471755,384.685327376,385.633371234,386.342563674,386.822008816,387.111864047,387.217995818,387.14869469,386.933243981,386.608829019,386.234606451,385.903366933,385.701639322,385.67691665,385.868269559,386.292700418,386.926300821,387.751874583,388.762777293,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,268.691923192,269.5357628,271.14203798,273.777479591,281.157124838,282.222642871,281.045238593,286.427380134,287.932784602,283.36284513,293.646340349,295.463137577,294.077966547,296.061209213,295.848957811,300.769579046,304.307542984,303.899577248,300.207690412,304.660672573,296.565823592,294.565001804,299.650653127,313.042818071,317.246835088,322.742785004,330.196944794,339.734290833,351.688663541,347.906428288,346.404567542,345.76288401,345.593487156,346.293657247,344.885711259,345.484718986,345.108908371,344.362882204,343.180561367,345.241857149,345.747149309,345.006201984,342.393856516,337.170769136,339.250109656,341.290671711,342.79717676,344.056934364,344.607413017,344.734115695,344.965797329,345.913226609,347.488154654,349.295453391,353.301416215,358.070541798,363.090734382,368.505704502,375.469639915,377.009925433,378.388671807,379.529694232,380.429682273,381.098168299,381.5276381,381.727089238,381.736826452,381.56261854,381.220643563,380.744497972,380.159583046,379.524569977,378.934566907,378.488136422,378.233554107,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,245.712482606,250.954353365,259.601591572,271.923888753,281.568981644,286.38215827,286.925287179,288.502601879,290.054712339,296.885818956,300.04813348,302.292760369,308.127523789,311.305527905,308.028935035,317.249436729,317.192835854,313.35255913,313.317081022,314.879687328,316.043057672,319.003815583,319.60760217,316.659396301,331.598560828,332.853972191,335.436356014,339.40122236,344.780240403,350.043318847,356.589060646,365.086559798,375.660416123,388.648351998,385.935976206,385.496692256,385.916043002,386.806800056,388.570242914,388.223211621,389.87883536,390.56148257,390.874905458,390.758017843,393.873894178,395.435311117,395.751697469,394.199068247,390.036811989,393.172334276,396.267688399,398.828581692,401.141808962,402.75197661,403.936187948,405.224229749,407.225871836,409.852867852,412.713703357,417.772641278,423.592657617,429.662381066,436.125094535,444.136522182,446.730114304,449.161684699,451.354870928,453.306485937,455.029100623,456.520127992,457.818868195,458.946531495,459.909166616,460.707943127,461.366738694,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.814624682,289.062702132,275.912161624,261.849972153,261.458874599,257.172873586,262.39390679,271.826320518,282.822616196,294.328510208,297.267998232,297.262703226,298.81749675,301.935048005,309.274151684,313.040580528,317.583628931,325.355206049,331.31403696,328.234047325,334.170048942,330.687807942,329.069404952,326.770061272,329.309761882,335.077837765,337.070119403,334.994893872,328.364452329,343.06118895,344.120287757,346.498581469,350.252029235,355.415700841,360.473686669,366.80338655,375.077248292,385.419884,398.171284874,395.270761163,394.63498222,394.855885948,395.547102008,397.111629881,396.564740317,398.01555869,398.496350612,398.60949433,398.286441753,401.193716084,402.549213186,402.661988478,400.909366523,396.561404039,399.488069909,402.373137505,404.724056893,406.82729528,408.229098121,409.206699797,410.286817095,412.07853212,414.494019248,417.143527221,421.989383005,427.594080706,433.44732672,439.692513399,447.48387673,449.865092102,452.084980668,454.086871379,455.8677519,457.435209261,458.791288651,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,324.704803073,320.140154577,322.851221574,318.285294121,309.640585309,300.702207108,295.620357052,281.156723534,267.650757733,268.088583525,262.98529306,268.717954992,278.13007006,289.370740191,301.920816139,306.410772445,306.369821488,308.426062855,310.184944347,318.812969181,322.338289743,327.017839734,336.188886181,343.005686278,337.01236977,336.38625608,335.078127265,333.08165864,330.363645795,330.461174067,335.732701738,337.245266038,334.707934186,327.636306285,341.797516234,342.374148106,344.263215817,347.520781311,352.182103552,356.744106431,362.569407995,370.332128851,380.156472773,392.381230847,389.008272895,387.891712653,387.629178133,387.835551408,388.902098899,387.871687987,388.833238797,388.827129094,388.454592744,387.658210394,390.070151071,390.933901836,390.557811064,388.320651252,383.494295026,385.924723746,388.312954974,390.16788803,391.775587355,392.682839775,393.167190558,393.753077111,395.048961978,396.967082663,399.186625094,403.531222131,408.637535353,414.013908737,419.810187678,427.182299451,429.34010349,
